dictionary	vortaro
lukewarm	varmeta
lukewarm	indiferenta
lukewarm	neentuziasma
thai	tajlanda
thai	tajlandano
thai	tajlandanino
rainbow	ĉielarko
rainbow	gamo
rainbow	multkolora
other	alia
other	alio
other	krom
not	ne
that	ke
that	por ke
that	tiu
that	tio
that	kiu
finger	fingrumi
finger	fingri
men	homoj
male	vira
male	virseksa
male	maskla
male	iĉa
male	viro
female	ina
female	ino
thumb	polekso
thumb	dikfingro
forefinger	montra fingro
forefinger	montrofingro
middle finger	longa fingro
middle finger	meza fingro
middle finger	mezfingro
ring finger	ringofingro
little finger	malgranda fingro
little finger	etfingro
norwegian	norvego
norwegian	norvegino
norwegian	la norvega
norwegian	norvega lingvo
norwegian	norvegia
norwegian	norveguja
norwegian	norvega
norwegian	norveglingva
vegetable	vegetaĵo
vegetable	kreskaĵo
vegetable	planto
vegetable	legomo
vegetable	legoma
tulip	tulipo
habitually	kutime
theirs	la ilia
theirs	la sia
very	tre
astronaut	astronaŭto
astronaut	astronaŭtino
astronaut	kosmonaŭto
astronaut	kosmonaŭtino
complete	kompleti
complete	plenigi
complete	kompletigi
complete	kompleta
visit	viziti
experiment	eksperimento
experiment	eksperimenti
crimson	karmezino
crimson	karmezina
azure	lazuro
azure	lazura
afrikaans	afrikansa
afrikaans	afrikansa [[lingvo]]
afrikaans	eo
aquamarine	akvamarina
aquamarine	akvamarino
annually	jare
monthly	ĉiumonate
mortgage	hipoteko
mortgage	hipoteki
chocolate	ĉokolado
chocolate	ĉokoladkoloro
chocolate	ĉokolada
chocolate	ĉokoladkolora
cream	kremo
cream	pomado
cream	haŭtkremo
cream	kremkoloro
cream	ungvento
cream	kremkolora
cyan	ciankoloro
cyan	ciankolora
cyan	cejana
homonym	homonimo
kerosene	keroseno
kerosene	petrolo
candidate	kandidato
candidate	kandidatino
fuchsia	fuksio
available	preta
available	uzebla
available	havebla
available	akirebla
available	valida
update	ĝisdatigo
update	ĝisdatigi
atmosphere	atmosfero
atmosphere	etoso
indigo	indigo
indigo	indiga
ivory	eburo
ivory	ebura
sombrero	sombrero
bronze	bronzo
backbone	vertebraro
comet	kometo
tadpole	ranido
tadpole	bufido
pajamas	piĵamo
coral	koralo
coral	korala
suffix	postafikso
suffix	sufikso
teddy bear	pluŝa urso
travel	vojaĝi
travel	vojaĝado
olive	olivo
saffron	safrano
tortoise	testudo
pen	plumo
chair	seĝo
chair	prezidi
salmon	salmo
tin	stano
chairperson	prezidanto
chairperson	prezidantino
chainsaw	motorsegilo
chain	ĉeno
chain	kateno
chain	alkateni
turquoise	turkiso
turquoise	turkisa
silly	sensenca
silly	stulteta
fascism	faŝismo
however	kontraŭe
however	tamen
however	kiom ajn
however	kiel ajn
teal	kreko
teal	krekanaso
helicopter	helikoptero
mosquito	kulo
hello	saluton
goodbye	adiaŭ
goodbye	adiaŭo
primrose	primolo
amber	sukceno
amber	sukcenkoloro
amber	sukcenkolora
periodic table	perioda tabelo
caracal	karakalo
enough	sufiĉa
enough	sufiĉe
enough	[[sufiĉe]] da
computing	komputili
computer-aided design	perkomputila projektado
computer-aided design	perkomputila dezajnado
city	urbo
city	civito
civil	civila
civilian	civilulo
clergy	ekleziularo
clergy	pastraro
minister	ministro
priest	pastro
priest	pastrino
jehovah	Jehovo
hallelujah	haleluja
mustard	sinapo
mustard	mustardo
strawberry	frago
scarlet	skarlata
sepia	sepio
sepia	sepia
lemon	citrono
lemon	citrinarbo
diesel	dizelo
grape	vinbero
grape	traŭbo
fascist	faŝisma
fascist	faŝisto
cinnamon	cinamo
emerald	smeraldo
avocado	avokado
avocado	avokadarbo
avocado	avokadujo
omelette	omleto
epilepsy	epilepsio
episode	epizodo
equinox	ekvinokso
auburn	ruĝbruna
hazel	avelujo
