#swadesh 207 id	part-of-speech	English	Proto-Indo-European	Proto-Germanic	Proto-Italic	Proto-Indo-Iranian	Proto-Balto-Slavic	Proto-Slavic		 Latin 	Portuguese 	Spanish 	French 	Italian	Romanian
93	verb	eat	*h₁ed-	*etaną	*manðō	*Hátˢti	*ḗˀstei	*(j)ěsti		edere, mandūcāre, comedere	comer	comer	manger	mangiare	mânca
94	verb	bite	*denḱ-, *h₁ed-	*bītaną	*mordeō	*dáćati	*kanˀstei	*kǫsati		mordēre	morder	morder	mordre	mordere, morsicare rare	mușca
95	verb	suck	*dʰeh₁(y)-	*sūganą	*sowgō	*dʰáyati		*sъsati		sūgere	chupar	chupar	sucer	succhiare	suge
96	verb	spit	*sp(y)ew-	*spīwaną	*spujō		*(s)pjāˀutei	*pľьvati		spūtāre, spuere, exconspuere	cuspir	escupir	cracher	sputare	scuipa
97	verb	vomit	*wemh₁-, *h₁reug-	*spīwaną	*wemō	*wámHati	*rūˀgā́ˀtei, *bljauˀtei	*bľьvati		vomere, vomitāre	vomitar	vomitar	vomir	vomitare	vomita, voame (reg., rare)
98	verb	blow	*h₂weh₁-	*wēaną	*speizō	*Hwā́ti*, *dʰámati	*dumˀtei, *wḗˀtei	*dǫti, *duxati, *dъmuxati, *vějati*		flāre, sufflāre	soprar	soplar	souffler	soffiare, fiatare (dial.)	sufla
99	verb	breathe	*pnew-	*anþijaną	*flaō			*dyxati		spīrāre, respīrāre	respirar	respirar	respirer	respirare	respira
100	verb	laugh	*(s)mey-	*hlahjaną	*reideō	*smáyatay	*smīˀ-	*smьjati sę		rīdēre	rir	reír	rire	ridere	râde
101	verb	see	*derḱ-, *weyd-	*sehwaną	*widēō	*čáštay	*weiˀdēˀtei	*viděti, *zьrěti		vidēre	ver	ver	voir	vedere	vedea
102	verb	hear	*ḱlew-	*hauzijaną	*awizdjō	*ćr̥náwti	*klauˀšitei	*slyšati		"audīre, intendere (rare, meaning ""to understand"") "	ouvir	oír	entendre, (obs.) ouïr	sentire, udire, intendere (dial.)	auzi
103	verb	know	*ǵneh₃-, *ǵnéh₃-sḱ-, *weyd-	*knēaną, *kunnaną, *witaną	*skijō	*ȷ́ānáHti	*źnōˀtei	*věděti, *znati		scīre, sapere (to be wise)	saber	saber	savoir	sapere	ști
104	verb	think	*memóne, *teng-	*þankijaną, *þunkijaną, *munaną	*rēōr	*mányatay	*minḗˀtei	*dumati, *mysliti, *mьněti		putāre, cōgitāre, pēnsāre (to consider)	pensar	pensar	penser	pensare	gândi, cugeta
105	verb	smell	*h₃ed-	*smuljaną, *reukaną	*odō		*ṓˀstei	*ǫxati, *paxnǫti, *voňati		olēre, sentīre (to perceive a smell)	cheirar	oler	sentir	sentire	mirosi
106	verb	fear		*aganą	*werēōr	*bʰáyHti	*bajāˀtei	*bojati sę, *straxovati		timēre	temer	temer	craindre	temere	teme
107	verb	sleep	*swep-, *drem-	*slēpaną	*swepjō	*swápati		*sъpati		dormīre	dormir	dormir	dormir	dormire	dormi
108	verb	live	*gʷeyh₃-	*libjaną	*gʷīwō	*ǰíHwati	*gīˀwetei	*žiti		vīvere	viver	vivir	vivre	vivere	trăi, via (obs.)
109	verb	die	*mer-, *dʰew-	*dawjaną	*morjōr	*mriyátay	*mertéi, *mir-	*merti		morior	morrer	morir	mourir	morire, se murì (dial.))	muri
110	verb	kill	*gʷʰen-	*daudijaną	*nekō	*ǰʰánti	*mareitei	*ubiti		necāre, occidere	matar	matar	tuer	uccidere	ucide
111	verb	fight		*fehtaną	*pugnō	*Hyáwdʰati, *Hyúdʰyati	*bárˀtei	*borti		pugnāre, luctor	lutar	luchar, puñar (obs.)	lutter	lottare	lupta
112	verb	hunt	*weyh₁-, *sekʷh₃-	*huntōną, *jakkōną	*weynor	*wáyHti*		*loviti		vēnor, captāre (to hunt down / capture)	caçar	cazar	chasser	cacciare	vâna
113	verb	hit	*pleh₂k-	*slahaną	*ferjō		*káuˀtei	*udariti		pellere, battuere	golpear, bater	golpear, batir	frapper, battre	colpire, battere, menare (dial.)	lovi, bate
114	verb	cut	*kr̥t-	*maitaną, *snīþaną	*kaidō, *skindō	*śćinátˢti	*gínˀtei, *skerstei, *tinˀtei	*krojiti, *rězati, *tęti		secāre, curtāre, taliāre (vulg.)	cortar	cortar	couper	tagliare, segare (for hard objects)	tăia
115	verb	split	*skéydt, *skinédti	*splītaną, *dailijaną	*findō	*bʰinátˢti	*skéltei, *dail-	*děliti, *cěpiti		partior, dividere, findere, scindere	partir, dividir	partir, dividir	fendre, diviser	scindere, dividere, fendere, spartire	diviza, împărți
116	verb	stab	*dʰeygʷ-, *bʰod-	*stikaną	*pungō		*bádīˀtei, *bestei, *kálˀtei	*bosti, *kolti		traicere, pungere	apunhalar, esfaquear	apuñalar	poignarder	pugnalare, accoltellare	înjunghia, străpunge
117	verb	scratch	*gerbʰ-	*krattōną, *hrībaną	*skaβō		*késtei	*drapati, *draskati		scalpere, rasicāre, rādere	rascar, raspar, arranhar	rascar, raspar, arañar	gratter	grattare, graffiare, raschiare, scalfire rare	scărpina, zgâria
118	verb	dig	*dʰeygʷ-	*grabaną	*fodjō		*grebtei	*kopati, *ryti		fodere, cavāre (to hollow out)	cavar, escavar	cavar, excavar	creuser	scavare, cavare (residual)	săpa, excava
119	verb	swim	*(s)neh₂-	*swimmaną	*snāō		*plauˀtei	*pluti		natāre	nadar	nadar	nager	nuotare	înota
120	verb	fly	*peth₂-, *gʷel-	*fleuganą	*gʷelajō			*letěti		volāre, exvolāre (vulg.)	voar	volar	voler	volare	zbura
121	verb	walk	*gʰredʰ-	*walkaną, *gāną, *līþaną, *ganganą	*kezdō, *eō	*pádyati	*eitei	*xoditi		gradior, ambulāre, vādere	andar, caminhar	caminar, andar	marcher, se promener (intrans.)	camminare, andare (a piedi)	merge, umbla
122	verb	come	*gʷémt, *gʷm̥sḱéti, *gʷeh₂-	*kwemaną	*gʷenjō			*jьti		venīre	vir	venir	venir	venire	veni
123	verb	lay	*légʰyeti, *ḱéytor	*ligjaną	*jakēō		*legtei	*ležati*, *leťi*		iacēre	jazer	yacer	gésir	giacere	zăcea
124	verb	sit	*sédt, *sísdeti	*sitjaną	*sedēō	*síždati	*sēdḗˀtei	*sěděti*, *sěsti*		sedēre	sentar	sentarse (intrans.)	s'asseoir (intrans.)	sedere, assettarsi (dial. only)	ședea
125	verb	stand	*stéh₂t, *stestóh₂e, *stísteh₂ti	*standaną, *stāną	*staēō	*stíštaHti	*stā́ˀtei	*stojati*, *stati*		stāre	estar (de pé)	estar (parado/de pie), levantarse, pararse	être (debout)	stare (in piedi)	sta (în picioare)
126	verb	turn	*wértti	*þrēaną	*wertō		*wirtḗˀtei, *wártīˀtei, *suk-	*vьrtěti		vertere, gȳrāre, tornāre, torquēre	girar	girar	tourner	girare, voltare	întoarce
127	verb	fall	*ḱh₂d-	*fallaną	*kadō		*pṓˀstei	*pasti		cadere 	cair	caer	tomber	cadere	cădea
128	verb	give	*déh₃t, *dédeh₃ti	*gebaną	*didō	*dádaHti	*dṓˀtei	*dati		dare, dōnāre (to give a present)	dar	dar	donner	dare, donare (to give a present)	da
129	verb	hold	*segʰ-	*haldaną	*haβēō	*dʰárati, *dʰāráyati		*dьržati		tenēre	"ter (means also ""to have"")"	"tener (means also ""to have""), sostener"	tenir	"tenere (in some dialects means also ""to have""), mantenere"	ține
130	verb	squeeze		*hnīpaną	*premō		*gémtei	*tiskati, *žęti		premere, comprimere, exprimere, stringere (tighten) 	apertar, comprimir, espremer	apretar, comprimir, exprimir	presser, comprimer	spremere, pressare, comprimere, stringere, sprisciare (only for some southern dialects)	strânge, presa
