						
dream 	*swep-, *swo ́pniyom, *swo ́pnos					C *h₃ e ́nr̥
dregs 			WC *dhrogh-			
dress(ed) 	*wes-					
drink 	*h₁e ̄gʷ hmi					
drip 			WC *leg-,  *stag-			
drive 	*hₐegˆ-, *kel-	NW *dhreibh-				
drizzle 	*h₃meigh-		WC *mregh-			
drone (< buzz) 			WC *dhren-			
drone (bee) 			WC *km̥ hₓ p-hₐ-			
dry 	*h₂es-, *kseros, *sausos, *sek-, *sisku-, *ters-	NW *senk-		GA *kˆse ̄ros		
duck 	*hₐn̥hₐ ti-, *pad-					
dumb 	*mu ̄-					
dung 	*kˆo ́kʷ r̥, *so ́kˆr̥	NW *dher-	WC *kˆuhₓ do ́s			
dust 	*pe ̄(n)s-					
dwell 	*h₂wes-			GA *tkˆei-		
dwelling 	*h₂wo ́stu, *kus-	NW *solo/ehₐ- ~ *selo-	WC *tre ̄bs			
dye 				GA *reg-		
eagle 	*h₃or-					
ear 	*hₐo ́us-					
early 	*hₐeyer-, *pro ̄-					
ear of grain 	*hₐekˆes-					
earth 	*dhe ́gˆho ̄m		WC *h₁ er-			
east 	*hₐeust(e)ro-					
eat 	*gras-, *gˆeP-, *h₁ e ́dmi, *h₄eu-					
eel 			WC *hₓ Vnghel-			
egg 	*h₁endro ́s, *hₐ o ̄(w)i-om					
eight 	*hₓokˆto ̄ ́(u)					
eighth 	*hₓokˆto-wo ́s					
elbow 	*h₃elVn-		WC *h₃ elek-			
elephant 	?*(y)ebh-					
elf 	*h₄(e)l̥bh-					
elk/American moose 	*hₓo ́lkˆis	NW *h₁elh₁ nı ́hₐ-				
elm 	*pteleyehₐ-, *wi(n)gˆ-	NW *h₁ e ́lem				
empty 	*h₁eu(hₐ)-, *teus-, *tusskˆyos, *wak-	NW *w(e)hₐ stos				C *kˆeno ́s
enclose 	*ghrebh-					
enclosure 	*gho ́rdhos, *mand-, *worPo-, *wr̥to/ehₐ-	NW *kagh-				
end 	*termn-					
enemy 		NW *ghostis		GA *des-		
enjoy 	*gˆeus-	NW *neud-				
enter 	*ye ́bhe/o-					
entrails 	*gˆhorhₓ nehₐ-					
entwine 			WC *leug-			
ermine 		NW *kˆormon-				
established 	*dhe ́h₁ mi-, *dhe ́h₁ men-, *dhe ́h₁ tis					
estuary 		NW *h₃ eust(y)o-				
evening 			WC *we ́speros ~ *we ́keros			
evening meal 			WC *do ́rkʷ om			
evil 	*gˆhₐlhₓ ros, *h₁ e ́dwo ̄l					
ewe 	*h₂ owike ́hₐ-					
excellent 	*wesu-					
exchange 	*mei-, *meit-, *per-					
excited 	*nei-					
excrement 	*kˆo ́kʷ r̥, *so ́kˆr̥	NW *dher-				
exhₐusted 	*streug-, *temhₓ-					
express 	*yek-					
express a liquid 	*seu(hₓ)-					
extend 	*h₃ regˆ-	NW *reigˆ-				
extinguish 	*gʷ es-					
eye 	*h₃ ekʷ-					
eyebrow 	*bhru ́hₓ s					
fabricate 	*tekˆs-					
fabricator 	*tekˆs-(t)or/n-					
face 	*h₁ e ́ni-h₃ kʷ-o/ehₐ-, *pro ́ti-h₃(o ̄)kʷ-o/ehₐ-					
facial hair 	*we/ondhso-					
fail 	*mel-					
faithfulness 	*weh₁ r-					
falcon 		NW *kap-				
fall 	*kˆad-, *ped-, *pteh₁-		WC *pho ̄			
7						
l-						
(	*phₓ o ̄					
7						
l-	?)					
fallow land 		NW *polkˆe ́hₐ-				
fame 	*kˆle ́wes-					
family 	*gˆe ́nh₁ es-, *wikˆ-, *wikˆs			GA *do ̄ ́m		
far 	*witeros					
fart 	*pe ́rde/o-		WC *pesd-			
fast 	*hₐ egˆilos, *h₁ o ̄kˆ-us	NW /PIE? *kˆeigh-,  *bhris- ~ *bhers-,  *h₂e ̄hₓtro-		GA *h₂ r̥gˆ-ro ́s		
fasten 	*h₂ ep-, *pehₐ gˆ- ~ *pehₐ kˆ-, *seg-, *(s)ner-					
fat(ness) 	*m(e)hₐ d-, *peihₓ-, *pen-, *pı ́hₓ wr̥, *se ́lpes-, *sph₁ ro ́s, *tegus, *teuhₐ-					
father 	*at-, *gˆenh₁to ̄r, *papa, *ph8a te ̄ ́r, *t-at-					
