appear	infinitive	simple	apparaître											
resemble	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
resemble	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
resemble	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
resemble	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
resemble	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
resemble	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
resemble	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
rest	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
rest	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
rest	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
rest	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
rest	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
rest	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
rest	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
see	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
see	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
