chapter_id	entry_id	meaning	Mandarin Chinese_Pinyin	Mandarin Chinese_StandOrth (Simplified);StandOrth (Traditional)	comment
5	121	cooked	shāoshú	烧熟;燒熟	
5	122	raw	shēng	生;生	
5	123	ripe	chéngshú	成熟;成熟	
5	124	green, unripe	wèi chéngshú	未成熟;未成熟	
5	125	rotten	fǔlàn	腐烂;腐爛	
5	130	drink	hē	喝;喝	
5	140	hunger	jī'è	饥饿;饑餓	
5	141	famine	jīhuāng	饥荒;饑荒	
5	150	thirst	kǒukě	口渴;口渴	
5	160	suck	xī	西;西, 吸;吸, 锡;錫	
5	180	chew	jǔjué	咀嚼;咀嚼	
5	181	swallow	tūn	吞;吞	
5	190	choke	zhìxī	窒息;窒息	
5	210	cook	pēngzhì; zhǔ	烹制;烹制; 煮;煮	general; in water
5	220	boil (vb)	shāokāi	烧开;燒開	
5	230	roast, fry	kǎo; yóujiān	烤;烤; 油煎;油煎	roast; fry
5	240	bake	hōng	烘;烘	
5	250	oven	kǎoxiāng	烤箱;烤箱	
5	260	pot, cooking vessel	guō	锅;鍋	
5	270	kettle	shuǐhú	水壶;水壺	
5	280	pan	píngdǐguō	平底锅;平底鍋	
5	310	dish	diézi	碟子;碟子	
5	320	plate	pánzi	盘子;盤子	
5	330	bowl	wǎn	碗;碗, 晚;晚	
5	340	pitcher, jug	hú	壶;壺, 湖;湖	
5	350	cup, drinking vessel	bēizi	杯子;杯子	
5	360	saucer	chátuō	茶托;茶托	
5	370	spoon	chízi; sháozi	匙子;匙子; 勺子;勺子	Southern; Northern
5	380	knife (2)	dāo	刀;刀	
5	390	fork (2)	chāzi	叉子;叉子	
5	391	tongs	jiāzi	夹子;夾子	
5	410	meal (a)	cān; yìcān	餐;餐; 一餐;一餐	
5	420	breakfast	zǎocān	早餐;早餐	
5	430	lunch	wǔcān	午餐;午餐	
5	440	dinner	wǎncān; zhèngcān	晚餐;晚餐; 正餐;正餐	
5	450	supper	wǎncān; xiāoyè	晚餐;晚餐; 宵夜;宵夜	
5	460	peel	qùpí; xiāopí	去皮;去皮; 削皮;削皮	
5	470	sieve, strain	shāi; guòlǜ	筛;篩; 过滤;過濾	solid; liquid
5	480	scrape	guā	刮;刮	
5	490	stir, mix	jiǎodòng; hùnhé	搅动;攪動; 混合;混合	stir; mix
5	510	bread	miànbāo	面包;麵包	
5	530	dough	shēng miàntuán	生面团;生麵團	
5	540	knead	róu	揉;揉	
5	550	meal, flour	miànfěn	面粉;麵粉	
5	560	crush, grind	yā suì; mó suì	压碎;壓碎; 磨碎;磨碎	crush; grind
5	570	mill	mòfáng	磨坊;磨坊	
5	580	mortar (2)	yánbō	研钵;研缽	
5	590	pestle	chǔ	杵;杵	
5	610	meat	ròu	肉;肉	
5	630	sausage	xiāngcháng	香肠;香腸	
5	640	soup, broth	tāng	汤;湯	
5	650	vegetables	shūcài	蔬菜;蔬菜	
5	660	bean	dòu	豆;豆	
5	700	potato	tǔdòu	土豆;土豆	
5	710	fruit	shuǐguǒ	水果;水果	
5	712	bunch	shù; chuàn	束;束, 树;樹; 串;串	flowers; other
5	750	fig	wúhuāguǒ	无花果;無花果	
5	760	grape	pútáo	葡萄;葡萄	
5	770	nut	jiānguǒ	坚果;堅果	
5	780	olive	gǎnlǎn	橄榄;橄欖	
5	790	oil	yóu	油;油	
5	791	grease, fat	yóuzhī	油脂;油脂	
5	810	salt	yán	盐;鹽	
5	820	pepper	hújiāofěn	胡椒粉;胡椒粉	
5	821	chili pepper	làjiāo	辣椒;辣椒	
5	840	honey	fēngmì	蜂蜜;蜂蜜	
5	850	sugar	táng	糖;糖	
5	860	milk (noun)	nǎi	奶;奶	
5	870	milk (vb)	jǐ nǎi	挤奶;擠奶	
5	880	cheese	nǎilào	奶酪;奶酪	
5	890	butter	huángyóu	黄油;黃油	
5	900	beverage, drink	yǐnliào	饮料;飲料	
5	910	mead	fēngmìjiǔ	蜂蜜酒;蜂蜜酒	
5	920	wine	pútaojiǔ	葡萄酒;葡萄酒	
5	930	beer	píjiǔ	啤酒;啤酒	
5	940	fermented drink	jiǔ	酒;酒, 九;九	
5	970	egg	dàn	蛋;蛋	
5	971	egg yolk	dànhuáng	蛋黄;蛋黃	
6	110	put on (clothes)	chuān	穿;穿	
6	120	clothing, clothes	yīfu	衣服;衣服	
6	130	tailor	cáifeng	裁缝;裁縫	
6	210	cloth	bùliào	布料;布料	
6	220	wool	yángmáo	羊毛;羊毛	
6	230	linen, flax	yàmá	亚麻;亞麻	
6	240	cotton	miánbù	棉布;棉布	
6	250	silk	sīchóu	丝绸;絲綢	
6	270	felt	máozhān	毛毡;毛氈	
6	280	fur	máopí	毛皮;毛皮	
6	290	leather	pígé	皮革;皮革	
6	310	spin	fǎng	纺;紡	
6	320	spindle	fǎngchuí	纺锤;紡錘	
6	330	weave	biānzhī	编织;編織	
6	340	loom	zhībùjī	织布机;織布機	
6	350	sew	féng	缝;縫	
6	360	needle	zhēn	针;針	
6	370	awl	jiānzhuī	尖锥;尖錐	
6	380	thread	xiàn	线;線	
6	390	dye	rǎnliào	染料;染料	
6	410	cloak	pīfēng	披风;披風	
6	411	poncho	dǒupéng	斗篷;斗篷	
6	420	woman's dress	liányīqún	连衣裙;連衣裙	
6	430	coat	wàitào	外套;外套	
6	440	shirt	chènshān	衬衫;襯衫	
6	450	collar	lǐngzi	领子;領子	
6	460	skirt	qúnzi	裙子;裙子	
6	461	grass-skirt	cǎoqún	草裙;草裙	
6	480	trousers	kùzi	裤子;褲子	
6	490	stocking, sock	chángwà; wàzi	长袜;長襪; 袜子;襪子	stocking; sock
6	510	shoe	xié	鞋;鞋	
6	520	boot	xuēzi	靴子;靴子	
6	540	shoemaker, cobbler	xiéjiàng	鞋匠;鞋匠	
6	550	hat, cap	màozi	帽子;帽子	
6	570	belt, girdle	yāodài	腰带;腰帶	
6	580	glove	shǒutào	手套;手套	
6	590	veil	miànshā	面纱;面紗	
6	610	pocket	yīdài	衣袋;衣袋	
6	620	button	niǔkòu	纽扣;紐扣	
6	630	pin	biézhēn	别针;別針	
6	710	ornament, adornment	zhuāngshìpǐn	装饰品;裝飾品	
6	720	jewel	zhūbǎo	珠宝;珠寶	
