*	*	*	*	*	present	past	imperative	#				
hit	active	3	plural	transliteration	wa-al-ḫa-an-zi 	wa-al-ḫe-er 	wa-al-ḫa-an-du 	#				
hit	active	3	plural	latin	walḫanzi 	walḫer 	walḫandu 	#				
hit	middle	1	singular	cuneiform	𒉿𒀠𒄴𒄩𒊑 	𒉿𒀠𒄴𒄩𒀜 	𒉿𒀠𒄴𒄩𒊒	#				
hit	middle	1	singular	transliteration	wa-al-aḫ-ḫa-ri 	wa-al-aḫ-ḫa-at 	wa-al-aḫ-ḫa-ru	#				
hit	middle	1	singular	latin	walaḫḫari 	walaḫḫat 	walaḫḫaru 	#				
hit	middle	2	singular	cuneiform	𒉿𒀠𒄴𒋫𒊑 	𒉿𒀠𒄴𒋫𒀜 	𒉿𒀠𒄴𒄷𒌓	#				
hit	middle	2	singular	transliteration	wa-al-aḫ-ta-ri 	wa-al-aḫ-ta-at 	wa-al-aḫ-ḫu-ut	#				
hit	middle	2	singular	latin	walaḫtari 	walaḫtat 	walaḫḫut 	#				
hit	middle	3	singular	cuneiform	𒉿𒀠𒄩𒊑, 𒉿𒀠𒄴𒋫𒊑 	𒉿𒀠𒄴𒋫𒀜 	𒉿𒀠𒄩𒊒, 𒉿𒀠𒄴𒋫𒊒	#				
hit	middle	3	singular	transliteration	wa-al-ḫa-ri, wa-al-aḫ-ta-ri 	wa-al-aḫ-ta-at 	wa-al-ḫa-ru, wa-al-aḫ-ta-ru	#				
hit	middle	3	singular	latin	walḫari, walaḫtari 	walaḫtat 	walḫaru, walaḫtaru 	#				
hit	middle	1	plural	cuneiform	𒉿𒀠𒄷𒉿𒀸𒋫 	𒉿𒀠𒄷𒉿𒀸𒋫𒀜 	𒉿𒀠𒄷𒉿𒀸𒋫𒀜	#				
hit	middle	1	plural	transliteration	wa-al-ḫu-wa-aš-ta 	wa-al-ḫu-wa-aš-ta-at 	wa-al-ḫu-wa-aš-ta-at	#				
hit	middle	1	plural	latin	walḫuašta 	walḫuaštat 	walḫuaštat 	#				
hit	middle	2	plural	cuneiform	𒉿𒀠𒄴𒁺𒈠 	𒉿𒀠𒄴𒁺𒈠𒀜 	𒉿𒀠𒄴𒌅𒈠𒀜	#				
hit	middle	2	plural	transliteration	wa-al-aḫ-du-ma 	wa-al-aḫ-du-ma-at 	wa-al-aḫ-tu-ma-at	#				
hit	middle	2	plural	latin	walaḫduma 	walaḫdumat 	walaḫtumat 	#				
hit	middle	3	plural	cuneiform	𒉿𒀠𒄩𒀭𒋫𒊑 	𒉿𒀠𒄩𒀭𒋫𒀜 	𒀀𒀭𒋫𒊒	#				
hit	middle	3	plural	transliteration	wa-al-ḫa-an-ta-ri 	wa-al-ḫa-an-ta-at 	wa-al-ḫa-an-ta-ru 	#				
hit	middle	3	plural	latin	walḫantari 	walḫantat 	walḫantaru 	#				
startle	active	1	singular	cuneiform	𒈾𒄴𒊭𒅈𒉡𒈪 	𒈾𒄴𒊭𒅈𒉡𒌦 	𒈾𒄴𒊭𒅈𒉡𒀠𒇻	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	1	singular	transliteration	na-aḫ-ša-ar-nu-mi 	na-aḫ-ša-ar-nu-un 	na-aḫ-ša-ar-nu-al-lu	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	1	singular	latin	naḫšarnunumi 	naḫšarnununun 	naḫšarnunuwallu 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	2	singular	cuneiform	𒈾𒄴𒊭𒅈𒉡𒅆 	𒈾𒄴𒊭𒅈𒉡𒋫 	𒈾𒄴𒊭𒅈𒉡	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	2	singular	transliteration	na-aḫ-ša-ar-nu-ši 	na-aḫ-ša-ar-nu-ut 	na-aḫ-ša-ar-nu	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	2	singular	latin	naḫšarnunuši 	naḫšarnunut 	naḫšarnunu 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	3	singular	cuneiform	𒈾𒄴𒊭𒅈𒉡𒊻𒍣 	𒈾𒄴𒊭𒅈𒉡𒋫 	𒈾𒄴𒊭𒅈𒉡𒁺	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	3	singular	transliteration	na-aḫ-ša-ar-nu-uz-zi 	na-aḫ-ša-ar-nu-ut 	na-aḫ-ša-ar-nu-ud-du	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	3	singular	latin	naḫšarnunuzzi 	naḫšarnunut 	naḫšarnunuddu 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	1	plural	cuneiform	𒈾𒄴𒊭𒅈𒉡𒈨𒉌 	𒈾𒄴𒊭𒅈𒉡𒈨𒂗 	𒈾𒄴𒊭𒅈𒉡𒈨𒉌	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	1	plural	transliteration	na-aḫ-ša-ar-nu-me-ni 	na-aḫ-ša-ar-nu-me-en 	na-aḫ-ša-ar-nu-me-ni	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	1	plural	latin	naḫšarnunumeni 	naḫšarnunumen 	naḫšarnunumeni 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	2	plural	cuneiform	𒈾𒄴𒊭𒅈𒉡𒋼𒉌 	𒈾𒄴𒊭𒅈𒉡𒋼𒂗 	𒈾𒄴𒊭𒅈𒉡𒋼𒂗	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	2	plural	transliteration	na-aḫ-ša-ar-nu-ut-te-ni 	na-aḫ-ša-ar-nu-ut-te-en 	na-aḫ-ša-ar-nu-ut-te-en	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	2	plural	latin	naḫšarnunutteni 	naḫšarnunutten 	naḫšarnunutten 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	3	plural	cuneiform	𒈾𒄴𒊭𒅈𒉡𒀭𒍣 	𒈾𒄴𒊭𒅈𒉡𒅕 	𒈾𒄴𒊭𒅈𒉡𒀭𒁺	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	3	plural	transliteration	na-aḫ-ša-ar-nu-an-zi 	na-aḫ-ša-ar-nu-er 	na-aḫ-ša-ar-nu-an-du 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	active	3	plural	latin	naḫšarnunuwanzi 	naḫšarnunuer 	naḫšarnunuwandu 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	1	singular	cuneiform	𒈾𒄴𒊭𒅈𒉡𒄴𒄩𒊑 	𒈾𒄴𒊭𒅈𒉡𒄴𒄩𒀜 	𒈾𒄴𒊭𒅈𒉡𒄴𒄩𒊒	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	1	singular	transliteration	na-aḫ-ša-ar-nu-uḫ-ḫa-ri 	na-aḫ-ša-ar-nu-uḫ-ḫa-at 	na-aḫ-ša-ar-nu-uḫ-ḫa-ru	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	1	singular	latin	naḫšarnunuḫḫari 	naḫšarnunuḫat 	naḫšarnunuaḫḫaru 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	2	singular	cuneiform	𒈾𒄴𒊭𒅈𒉡𒌓𒋫𒊑 	𒈾𒄴𒊭𒅈𒉡𒌓𒋫𒀜 	𒈾𒄴𒊭𒅈𒉡𒄴𒄷𒌓	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	2	singular	transliteration	na-aḫ-ša-ar-nu-ut-ta-ri 	na-aḫ-ša-ar-nu-ut-ta-at 	na-aḫ-ša-ar-nu-ḫu-ut	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	2	singular	latin	naḫšarnunuttari 	naḫšarnunutat 	naḫšarnunuḫḫut 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	3	singular	cuneiform	𒈾𒄴𒊭𒅈𒉡𒀀𒊑, 𒈾𒄴𒊭𒅈𒉡𒌓𒋫𒊑 	𒈾𒄴𒊭𒅈𒉡𒌓𒋫𒀜 	𒈾𒄴𒊭𒅈𒉡𒀀𒊒, 𒈾𒄴𒊭𒅈𒉡𒌓𒋫𒊒	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	3	singular	transliteration	na-aḫ-ša-ar-nu-a-ri, na-aḫ-ša-ar-nu-ut-ta-ri 	na-aḫ-ša-ar-nu-ut-ta-at 	na-aḫ-ša-ar-nu-a-ru, na-aḫ-ša-ar-nu-ut-ta-ru	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	3	singular	latin	naḫšarnunuari, naḫšarnunuttari 	naḫšarnunutat 	naḫšarnunuwaru, naḫšarnunuttaru 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	1	plural	cuneiform	𒈾𒄴𒊭𒅈𒉡𒈠𒀸𒋫 	𒈾𒄴𒊭𒅈𒉡𒈠𒀸𒋫𒀜 	𒈾𒄴𒊭𒅈𒉡𒈠𒀸𒋫𒀜	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	1	plural	transliteration	na-aḫ-ša-ar-nu-u-wa-aš-ta 	na-aḫ-ša-ar-nu-ma-aš-ta-at 	na-aḫ-ša-ar-nu-ma-aš-ta-at	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	1	plural	latin	naḫšarnunumašta 	naḫšarnunumaštat 	naḫšarnunumaštat 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	2	plural	cuneiform	𒈾𒄴𒊭𒅈𒉡𒌓𒁺𒈠 	𒈾𒄴𒊭𒅈𒉡𒌓𒁺𒈠𒀜 	𒈾𒄴𒊭𒅈𒉡𒌓𒌅𒈠𒀜	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	2	plural	transliteration	na-aḫ-ša-ar-nu-ud-du-ma 	na-aḫ-ša-ar-nu-ud-du-ma-at 	na-aḫ-ša-ar-nu-tu-ma-at	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	2	plural	latin	naḫšarnunudduma 	naḫšarnunudumat 	naḫšarnunuttumat 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	3	plural	cuneiform	𒈾𒄴𒊭𒅈𒉡𒀭𒋫𒊑 	𒈾𒄴𒊭𒅈𒉡𒀭𒋫𒀜 	𒈾𒄴𒊭𒅈𒉡𒀭𒋫𒊒	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	3	plural	transliteration	na-aḫ-ša-ar-nu-an-ta-ri 	na-aḫ-ša-ar-nu-an-ta-at 	na-aḫ-ša-ar-nu-an-ta-ru 	#	"closer to meaning ""fighten"" or ""terrify"""			
startle	middle	3	plural	latin	naḫšarnunuanttari 	naḫšarnunuantat 	naḫšarnunuantaru 	#	"closer to meaning ""fighten"" or ""terrify"""			
resist	active	1	singular	cuneiform	𒀀𒊏𒀀𒈪 	𒀀𒊏𒀀𒀭𒌦 	𒀀𒊏𒀀𒀠𒇻	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	1	singular	transliteration	a-ra-a-mi 	a-ra-a-an-un 	a-ra-a-al-lu	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	1	singular	latin	arāmi 	arānun 	arāllu 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	2	singular	cuneiform	𒀀𒊏𒀀𒅆 	𒀀𒊏𒀀𒅖 	𒀀𒊏𒀀𒄿	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	2	singular	transliteration	a-ra-a-ši 	a-ra-a-iš 	a-ra-a-i	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	2	singular	latin	arāsi 	arāiš² 	arāi 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	3	singular	cuneiform	𒀀𒊏𒀀𒄑𒍣 	𒀀𒊏𒀀𒀉 	𒀀𒊏𒀀𒀉𒁺	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	3	singular	transliteration	a-ra-a-iz-zi 	a-ra-a-it 	a-ra-a-id-du	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	3	singular	latin	arāizzi 	arāit 	arāiddu 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	1	plural	cuneiform	𒀀𒊏𒀀𒌑𒂊𒉌 	𒀀𒊏𒀀𒌑𒂗 	𒀀𒊏𒀀𒌑𒂊𒉌	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	1	plural	transliteration	a-ra-a-ú-e-ni 	a-ra-a-ú-en 	a-ra-a-ú-e-ni	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	1	plural	latin	arāweni 	arāwen 	arāweni 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	2	plural	cuneiform	𒀀𒊏𒀜𒋼𒉌 	𒀀𒊏𒀜𒋼𒂗 	𒀀𒊏𒀀𒀜𒋼𒂗	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	2	plural	transliteration	a-ra-a-at-te-ni 	a-ra-a-at-te-en 	a-ra-a-at-te-en	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	2	plural	latin	arātteni 	arātten 	arāitten 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	3	plural	cuneiform	𒀀𒊏𒀀𒀭𒍣 	𒀀𒊏𒀀𒅕 	𒀀𒊏𒀀𒀭𒁺	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	3	plural	transliteration	a-ra-a-an-zi 	a-ra-a-er 	a-ra-a-an-du 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	active	3	plural	latin	arānzi 	arāer 	arāndu 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	1	singular	cuneiform	𒀀𒊏𒀀𒄴𒄩𒊑 	𒀀𒊏𒀀𒄴𒄩𒀜 	𒀀𒊏𒄴𒄩𒊒	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	1	singular	transliteration	a-ra-a-aḫ-ḫa-ri 	a-ra-a-aḫ-ḫa-at 	a-ra-a-aḫ-ḫa-ru	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	1	singular	latin	arāḫḫari 	arāḫḫat 	arāḫḫaru 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	2	singular	cuneiform	𒀀𒊏𒀀𒀜𒋫𒊑 	𒀀𒊏𒀀𒀜𒋫𒀜 	𒀀𒊏𒀀𒄴𒄷𒌓	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	2	singular	transliteration	a-ra-a-at-ta-ri 	a-ra-a-at-ta-at 	a-ra-a-aḫ-ḫu-ut	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	2	singular	latin	arāttari 	arāttat 	arāḫḫut 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	3	singular	cuneiform	𒀀𒊏𒀀𒊑, 𒀀𒊏𒀀𒀉𒋫𒊑 	𒀀𒊏𒀀𒀉𒋫𒀜 	𒀀𒊏𒀀𒊒, 𒀀𒊏𒀀𒀉𒋫𒊒	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	3	singular	transliteration	a-ra-a-ri, a-ra-a-it-ta-ri 	a-ra-a-it-ta-at 	a-ra-a-ru, a-ra-a-it-ta-ru	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	3	singular	latin	arāri, arāittari 	arāittat 	arāru, arāittaru 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	1	plural	cuneiform	𒀀𒊏𒀀𒌋𒉿𒀸𒋫 	𒀀𒊏𒀀𒌋𒉿𒀸𒋫𒀜 	𒀀𒊏𒀀𒌋𒉿𒀸𒋫𒀜	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	1	plural	transliteration	a-ra-a-a-u-wa-aš-ta 	a-ra-a-a-u-wa-aš-ta-at 	a-ra-a-u-wa-aš-ta-at	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	1	plural	latin	arāwasta 	arāwastat 	arāwastat 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	2	plural	cuneiform	𒀀𒊏𒀜𒁺𒈠 	𒀀𒊏𒀀𒀜𒁺𒈠𒀜 	𒀀𒊏𒀀𒀜𒌅𒈠𒀜	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	2	plural	transliteration	a-ra-a-ad-du-ma 	a-ra-ad-du-ma-at 	a-ra-a-at-tu-ma-at	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	2	plural	latin	arāttuma 	arāttumat 	arāttumat 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	3	plural	cuneiform	𒀀𒊏𒀀𒀭𒋫𒊑 	𒀀𒊏𒀀𒀭𒋫𒀜 	𒀀𒊏𒀀𒀭𒋫𒊒	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	3	plural	transliteration	a-ra-a-an-ta-ri 	a-ra-a-an-ta-at 	a-ra-a-an-ta-ru 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
resist	middle	3	plural	latin	arāntari 	arāntat 	arāntaru 	#	"closer to meaning ""rise"", ""revolt"", or ""halt"""			
