#swadesh 207 id	part-of-speech	English	Proto-Slavic	Old Church Slavonic	Czech	Polish	Slovak	Lower Sorbian	Upper Sorbian	Bulgarian	Macedonian	Serbo-Croatian	Slovene	Belarusian	Russian	Rusyn	Ukranian
71	noun	hair	*kosa, *volsъ	власъ (vlasŭ)	vlasy	włos	vlasy	włose	włosy	коса (kosa), косъм (kosǎm)	коса (kosa)*, влакно (vlakno)*	kosa, dlaka, vlas	lasje	валасы́ (valasý)	во́лос (vólos), во́лосы (vólosy)	волося (volosja), волосы (volosŷ)	воло́сся (volóssja)
72	noun	head	*golva	глава (glava)	hlava	głowa	hlava	głowa	hłowa	глава (glava)	глава (glava)	glava	glava	галава́ (halavá)	голова́ (golová), глава́ (glavá)*	голова (holova)	голова́ (holová)
73	noun	ear	*uxo	оухо (uxo)	ucho	ucho	ucho	wucho	wucho	ухо (uho)	уво (uvo)	uho, uvo	uho	ву́ха (vúxa)	у́хо (úxo)	ухо (uxo)	ву́хо (vúxo)
74	noun	eye	*oko	око (oko)	oko	oko	oko	woko	wóčko	око (oko)	око (oko)	oko	oko	во́ка (vóka)	глаз (glaz), о́ко (óko)*	око (oko)	о́ко (óko)
75	noun	nose	*nosъ	носъ (nosŭ)	nos	nos	nos	nos	nós	нос (nos)	нос (nos)	nos	nos	нос (nos)	нос (nos)	ніс (nis)	ніс (nis)
76	noun	mouth	*usta	оуста (usta)	ústa, pusa, huba	usta	ústa	guba	huba	уста (usta)	уста (usta)	usta	usta	рот (rot)	рот (rot)	рот (rot), уста (usta)	рот (rot)
77	noun	tooth	*rъtъ, *zǫbъ	зѫбъ (zǫbŭ)	zub	ząb	zub	zub	zub	зъб (zǎb)	заб (zab)	zub	zob	зуб (zub)	зуб (zub)	зуб (zub)	зуб (zub)
78	noun	tongue	*(j)ęzykъ	ѩзꙑкъ (językŭ)	jazyk	język	jazyk	jězyk	jazyk	език (ezik)	јазик (jazik)	jezik	jezik	язы́к (jazýk)	язы́к (jazýk)	язык (jazŷk)	язи́к (jazýk)
79	noun	fingernail	*nogъtь	ногъть (nogŭtĭ)	nehet	paznokieć	necht	nokś	nochć	нокът (nokǎt)	нокт (nokt)	nokat	noht	пазно́гаць (paznóhacʹ)	но́готь (nógotʹ)	нохоть (noxotʹ)	ні́готь (níhotʹ)
80	noun	foot	*noga, *stopa	стопа (stopa)	noha, chodidlo, stopa	stopa	noha, chodidlo	noga	noha	крак (krak), стъпало (stǎpalo), ходило (hodilo), нога (noga)	стапало (stapalo)	stopa, stopalo	noga, stopalo	ступня́ (stupnjá)	стопа́ (stopá), нога́ (nogá)	стопа (stopa)	стопа́ (stopá), нога́ (nohá)
81	noun	leg	*korkъ, *noga	нога (noga)	noha	noga	noha	noga	noha	крак (krak)	нога (noga)	noga	noga	нага́ (nahá)	нога́ (nogá)	нога (noha)	нога́ (nohá)
82	noun	knee	*kolěno	колѣно (kolěno)	koleno	kolano	koleno	kóleno	koleno	коляно (koljano)	колено (koleno)	koleno, koljeno	koleno	кале́на (kaljéna)	коле́но (koléno)	колїно (koljino)	колі́но (kolíno)
83	noun	hand	*rǫka	рѫка (rǫka)	ruka, dlaň	ręka	ruka	ruka	ruka	ръка (rǎka)	рака (raka)	ruka, šaka	roka	дало́нь (dalónʹ), рука́ (ruká)	рука́ (ruká)	рука (ruka)	рука́ (ruká)
84	noun	wing	*kridlo	крило (krilo)	křídlo	skrzydło	krídlo	kśidło	křidło	крило (krilo)	крило (krilo)	krilo	krilo	крыло́ (kryló)	крыло́ (kryló)	крыло (krŷlo)	крило́ (kryló)
85	noun	belly	*břuxo, *červo	чрѣво (črěvo)	břicho	brzuch	brucho	brjuch	brjuch	корем (korem), търбух (tǎrbuh)	стомак (stomak)	stomak, trbuh	trebuh	жыво́т (žyvót)	живо́т (živót), брю́хо (brjúxo)	черево (čerevo), бріх (brix)	живі́т (žyvít)
86	noun	guts	*ǫtroba	ѫтроба (ǫtroba), чрѣво (črěvo)	vnitřnosti, útroby	trzewia, wnętrzności	vnútornosti	crjowo	črjewa	вътрешности (vǎtrešnosti), черва (červa)	црева (creva)	crevo, crijevo	drobovje	вантро́бы (vantróby)	кишки́ (kiškí), вну́тренности (vnútrennosti)	кышкы (kŷškŷ), флякы (fljakŷ)	кишки́ (kyšký), ну́трощі (nútrošči)
87	noun	neck	*kъrkъ, *šija, *vortъ	шїѧ (šię)	krk, šíje	szyja, kark	krk	šyja	šija	врат (vrat), шия (šija)	врат (vrat)	vrat	vrat	шы́я (šýja)	ше́я (šéja)	шыя (šŷja)	ши́я (šýja)
88	noun	back	*xrьbьtъ	хребетъ (xrebetŭ)	záda, hřbet	plecy, grzbiet	chrbát	kśebjat	chribjet	гръб (grǎb), гърбина (gǎrbina)	грб (grb)	leđa	hrbet	спі́на (spína)	спина́ (spiná)	хырбет (xŷrbet)	спина́ (spyná)
89	noun	breast	*grǫdь, *pьrsь	прьси (prĭsi)	prs, hruď, ňadro	pierś	prsia, hruď	bok	hrudź	гръд (grǎd), гърда (gǎrda)	града (grada)	grudi, prsa	prsi, grudi	гру́дзі (hrúdzi)	грудь (grudʹ)	груди (hrudy)	гру́ди (hrúdy)
90	noun	heart	*sьrdьce	срьдьцє (srĭdĭce)	srdce	serce	srdce	wutšoba	wutroba	сърце (sǎrce)	срце (srce)	srce	srce	сэ́рца (sérca)	се́рдце (sérdce)	сердце (serdce)	се́рце (sérce)
91	noun	liver	*ętro		játra	wątroba	pečeň	jětša	jatra	черен дроб (čeren drob)	џигер (džiger), црн дроб (crn drob)	jetra	jetra	пе́чань (pjéčanʹ)	пе́чень (péčenʹ), печёнка (pečónka)	печунка (pečunka)	печі́нка (pečínka)
92	verb	drink	*piti	пити (piti)	pít	pić	piť	piś	pić	пия (pija)	пие (pie)	piti	piti	піць (picʹ)	пить (pitʹ), вы́пить (výpitʹ)	пити (pyty)	пи́ти (pýty)
93	verb	eat	*(j)ěsti	ꙗсти (jasti)	jíst	jeść	jesť	jěsć	jěsć	ям (jam)	јаде (jade)	jesti	jesti	е́сці (jésci)	есть (jestʹ), съесть (sʺjestʹ), ку́шать (kúšatʹ), ску́шать (skúšatʹ)	їсти (jisty)	ї́сти (jísty)
94	verb	bite	*kǫsati	хапати (xapati)	kousat, hryzat	gryźć, kąsać	hrýzť	kusaś	kusać	хапя (hapja), гриза (griza)	каса (kasa), гризе (grize)	ujesti, ugristi	gristi	куса́ць (kusácʹ)	куса́ть (kusátʹ), укуси́ть (ukusítʹ)	кусати (kusaty), грызти (hrŷzty)	куса́ти (kusáty)
95	verb	suck	*sъsati	съсати (sŭsati)	sát, cucat	ssać	sať	cycaś	cycać	суча (suča)	цица (cica)	sisati	sesati	смакта́ць (smaktácʹ), ссаць (ssacʹ)	соса́ть (sosátʹ), пососа́ть (pososátʹ)	ссати (ssaty)	смокта́ти (smoktáty), сса́ти (ssáty)
96	verb	spit	*pľьvati	пльвати (plĭvati)	plivat	pluć	pľuť	pluwaś	pluwać	плюя (pljuja)	плука (pluka)	pljuvati	pljuvati	плява́ць (pljavácʹ)	плева́ть (plevátʹ), плю́нуть (pljúnutʹ)	плювати (pljuvaty)	плюва́ти (pljuváty)
97	verb	vomit	*bľьvati	бльвати (blĭvati)	zvracet, blít, dávit	wymiotować, zwracać	vracať	bluwaś	wróćeć, bluwać	повръщам (povrǎštam), бълвам (bǎlvam)	повраќа (povraḱa), блуе (blue)	povraćati	bljuvati, bruhati	ванітава́ць (vanitavácʹ)	рвать (rvatʹ), блева́ть (blevátʹ)	блювати (bljuvaty)	блюва́ти (bljuváty)
98	verb	blow	*dǫti, *duxati, *dъmuxati, *vějati*	доухати (duxati)	foukat, vanout, vít	dmuchać, dąć, wiać	fúkať, viať	duś	duć	духам (duham)	дува (duva)	puhati, duvati	pihati	дзьмуць (dzʹmucʹ)	дуть (dutʹ), поду́ть (podútʹ)	дути (duty)	ду́ти (dúty)
99	verb	breathe	*dyxati	дꙑхати (dyxati)	dýchat	dychać, oddychać	dýchať	dychaś	dychać	дишам (dišam)	дише (diše), вдишува (vdišuva)	disati	dihati	ды́хаць (dýxacʹ)	дыша́ть (dyšátʹ)	дыхати (dŷxaty)	ди́хати (dýxaty)
