	code	name	latitude	longitude	genus	family	Vso	Vso2	Vom	Vson	Vson2	Vn	Vsoq	Vsow	Vsow2	Np	Nr	Ng	Nd	Nn	Na
1175	pok	Poko-Rawo	-2.83333333333	141.583333333	Serra Hills	Skou	No dominant order	SOV or SVO	No dominant order				Final	Not initial interrogative phrase		No dominant order		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1176	pol	Polish	52.0	20.0	Slavic	Indo-European	SVO			SNegVO		NegV	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1177	por	Portuguese	39.0	-8.0	Romance	Indo-European	SVO			SNegVO		NegV	Initial			Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun		Noun-Adjective
1178	ppc																	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	
1179	ppi	Pitta Pitta	-22.8333333333	140.0	Central Pama-Nyungan	Pama-Nyungan	No dominant order		No dominant order			NegV	No question particle	Initial interrogative phrase				Genitive-Noun			Noun-Adjective
1180	pra	Prasuni	35.5	71.0	Nuristani	Indo-European	SOV		XOV	More than one position		Type 1 / Type 3		Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1181	pre	Pare	-4.0	36.5	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1182	prh	Pirahã	-7.0	-62.0	Mura	Mura	SOV		XOV	MorphNeg		[V-Neg]	Final	Not initial interrogative phrase		Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1183	prk	Purki	34.6666666667	76.0	Bodic	Sino-Tibetan	SOV			MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun		Demonstrative-Noun	Noun-Numeral	Adjective-Noun
1184	prs	Persian	32.0	54.0	Iranian	Indo-European	SOV			MorphNeg		[Neg-V]	Initial	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
1185	psh	Pashto	33.0	67.0	Iranian	Indo-European	SOV			MorphNeg		[Neg-V]	No question particle	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1186	psj											[V-Neg]									
1187	psm	Passamaquoddy-Maliseet	45.0	-67.0	Algonquian	Algic	No dominant order		No dominant order			ObligDoubleNeg				Prepositions			Demonstrative-Noun		
1188	pso	Pomo (Southeastern)	39.0	-122.5	Pomoan	Hokan	SOV		OXV	ObligDoubleNeg		ObligDoubleNeg	No question particle	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	
1189	psw	Port Sandwich	-16.5	167.75	Oceanic	Austronesian	SVO			MorphNeg		[Neg-V]	No question particle			Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1190	ptt	Pattani	32.75	76.75	Bodic	Sino-Tibetan	SOV			MorphNeg		[Neg-V]	No question particle			Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1191	ptw	Patwin	39.0	-122.333333333	Wintuan	Penutian	No dominant order		No dominant order	MorphNeg		[V-Neg]				Postpositions					
1192	pul	Puluwat	7.33333333333	149.333333333	Oceanic	Austronesian	SVO			SNegVO		NegV		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
1193	pum	Pumi	28.0	101.0	Na-Qiangic	Sino-Tibetan	SOV			MorphNeg		Type 3 / Type 4		Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1194	pun	Pungupungu	-13.5	130.416666667	Wandjiginy	Wandjiginy	SOV		No dominant order	Other		NegV		Not initial interrogative phrase		Postpositions		Genitive-Noun		Noun-Numeral	Noun-Adjective
1195	puq												No question particle			Postpositions					
1196	pur	Purépecha	19.5	-101.666666667	Tarascan	Tarascan	SVO			Other		NegV		Initial interrogative phrase		No dominant order	Noun-Relative clause	No dominant order	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
1197	pwn											[Neg-V]						Genitive-Noun	Demonstrative prefix	Numeral-Noun	
1198	qaf	Qafar	12.0	42.0	Lowland East Cushitic	Afro-Asiatic	SOV									Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1199	qaw									Other		VNeg	No question particle			Postpositions		Genitive-Noun		No dominant order	
1200	qhu	Quechua (Huallaga)	-9.5	-75.5	Quechuan	Quechuan	SOV			ObligDoubleNeg		ObligDoubleNeg	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1201	qia											[Neg-V]	No question particle			Postpositions	Relative clause-Noun	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1202	qim	Quechua (Imbabura)	0.333333333333	-78.0	Quechuan	Quechuan	SOV		XOV	More than one position		NegV	Final	Initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1203	qui	Quileute	47.9166666667	-124.25	Chimakuan	Chimakuan	VSO			NegVSO		NegV	No question particle	Initial interrogative phrase				Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1204	qum	Sipakapense	15.25	-91.75	Mayan	Mayan	VSO		VOX	NegVSO		NegV	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1205	rag	Raga	-15.5	168.166666667	Oceanic	Austronesian	SVO			ObligDoubleNeg		ObligDoubleNeg				Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1206	ral	Ralte	23.75	92.75	Kuki-Chin	Sino-Tibetan	SOV											Genitive-Noun		Noun-Numeral	Noun-Adjective
1207	ram	Rama	11.75	-83.75	Rama	Chibchan	SOV		No dominant order	More than one position		Type 1 / Type 4		Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1208	rao	Rao	-4.75	144.5	Rao	Ramu-Lower Sepik	SOV			MorphNeg		[V-Neg]		Not initial interrogative phrase				Genitive-Noun			Noun-Adjective
1209	rap	Rapanui	-27.1166666667	-109.366666667	Oceanic	Austronesian	VSO			OptDoubleNeg		OptDoubleNeg	Initial			Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
1210	ras	Rashad	11.8333333333	31.05	Rashad	Kordofanian	SOV			MorphNeg		[Neg-V]						Noun-Genitive	Noun-Demonstrative		Noun-Adjective
1211	raw	Rawang	27.5	97.5	Nungish	Sino-Tibetan	SOV			SONegV		NegV	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1212	rem								XOV	MorphNeg		[Neg-V]	No question particle	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1213	res	Resígaro	-2.41666666667	-71.5	Japura-Colombia	Arawakan	SOV		No dominant order	NegSOV		NegV	Initial	Mixed		Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1214	ret	Retuarã	-0.5	-70.6666666667	Tucanoan	Tucanoan	SOV			MorphNeg		[V-Neg]	Initial	Initial interrogative phrase		Postpositions	Internally headed	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1215	rga	Ronga	-26.0	32.5	Bantu	Niger-Congo	SVO									Prepositions		Noun-Genitive	Noun-Demonstrative	No dominant order	Noun-Adjective
1216	rgc	rGyalrong (Caodeng)	31.6666666667	101.75	Na-Qiangic	Sino-Tibetan	SOV			MorphNeg		[Neg-V]					Internally headed	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1217	ria	Riantana	-7.5	138.5	Kolopom	Kolopom	SOV														
1218	rik	Rikbaktsa	-11.8333333333	-57.5	Rikbaktsa	Macro-Ge	SOV			Other		NegV				Postpositions					
1219	rim	Rimi	-5.0	34.6666666667	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]									
1220	rit	Ritharngu	-12.8333333333	135.5	Western Pama-Nyungan	Pama-Nyungan	No dominant order		No dominant order			[V-Neg]	Final	Initial interrogative phrase							
1221	rji													Not initial interrogative phrase							No dominant order
1222	rmb	Rembarnga	-12.8333333333	134.583333333	Eastern Gunwinyguan	Gunwinyguan	SOV												Demonstrative-Noun		
1223	rnd											[Neg-V]									
1224	rny	Runyankore	-0.5	30.5	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1225	rom	Romanian	46.0	25.0	Romance	Indo-European	SVO			SNegVO		NegV	No question particle	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Mixed	Numeral-Noun	Noun-Adjective
1226	ron	Ron	9.0	8.75	West Chadic	Afro-Asiatic	SVO			SVONeg		VNeg	Final	Not initial interrogative phrase			Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	
1227	rot	Rotuman	-12.5	177.066666667	Oceanic	Austronesian	SVO		VOX	ObligDoubleNeg		ObligDoubleNeg	Initial	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1228	rov	Roviana	-8.25	157.333333333	Oceanic	Austronesian	VSO		VOX	NegVSO		NegV	No question particle				Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
1229	rpa	Rang Pas	30.3333333333	79.3333333333	Bodic	Sino-Tibetan	SOV			Other		NegV								Numeral-Noun	Adjective-Noun
1230	rru	Runyoro-Rutooro	1.5	31.3333333333	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]									Noun-Adjective
1231	rsu	Romansch (Sursilvan)	46.6666666667	8.83333333333	Romance	Indo-European	SVO			Other		VNeg					Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
1232	ruk	Rukai (Tanan)	22.8333333333	120.833333333	Rukai	Austronesian	No dominant order	VSO or VOS		More than one position		NegV	No question particle	Not initial interrogative phrase		Prepositions	Mixed	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	No dominant order
1233	rum	Rumu	-7.16666666667	144.25	Turama-Kikorian	Trans-New Guinea	SOV			MorphNeg		[V-Neg]	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1234	run	Runga	10.3333333333	21.0	Maban	Maban	SOV			OptDoubleNeg		OptDoubleNeg	No question particle			Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	No dominant order	Noun-Adjective
1235	rus	Russian	56.0	38.0	Slavic	Indo-European	SVO			SNegVO		NegV	Second position	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1236	rut	Rutul	41.5	47.4166666667	Lezgic	Nakh-Daghestanian	SOV									Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1237	rwa	Rawa	-5.83333333333	146.0	Finisterre	Trans-New Guinea	SOV			Other		NegV		Not initial interrogative phrase					Mixed	Noun-Numeral	Noun-Adjective
1238	rwe	Romani (Welsh)	52.0	-4.0	Indic	Indo-European	No dominant order	SVO or VSO		OptDoubleNeg		OptDoubleNeg	Initial			Prepositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1239	ryu												No question particle	Not initial interrogative phrase		Postpositions					
1240	saa															Prepositions		Noun-Genitive		Numeral-Noun	Noun-Adjective
1241	sah	Sahu	1.16666666667	127.5	North Halmaheran	North Halmaheran	SVO			More than one position		VNeg	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1242	sak	Sakao	-15.1666666667	167.083333333	Oceanic	Austronesian	SVO			MorphNeg		[Neg-V]		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1243	sal	Salinan	36.0	-121.0	Salinan	Hokan	SVO		No dominant order	ObligDoubleNeg		ObligDoubleNeg	No question particle			Prepositions		Noun-Genitive	Demonstrative-Noun	Numeral-Noun	No dominant order
1244	sam	Samoan	-13.9166666667	-171.833333333	Oceanic	Austronesian	No dominant order	VSO or VOS		More than one position		NegV	Initial	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Mixed	No dominant order	Noun-Adjective
1245	san	Sango	5.0	18.0	Ubangi	Niger-Congo	SVO		VOX	SVONeg		VNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Adjective-Noun
1246	sap	Sapuan	15.1666666667	106.833333333	Bahnaric	Austro-Asiatic	SVO			SNegVO		NegV	Final	Not initial interrogative phrase							Noun-Adjective
1247	sar	Sare	-4.5	143.166666667	Sepik Hill	Sepik	SOV		No dominant order	MorphNeg		Type 3 / Type 4	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1248	sav	Savi	35.0	71.5	Indic	Indo-European	SOV							Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun		Adjective-Noun
1249	saw											VNeg									
1250	sba											[V-Neg]				Postpositions					
1251	scr	Serbian-Croatian	44.0	19.0	Slavic	Indo-European	SVO			Other		NegV	In either of two positions			Prepositions		No dominant order	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1252	sdw	Sandawe	-5.0	35.0	Sandawe	Sandawe	SOV		No dominant order	MorphNeg		[V-Neg]		Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1253	sea	Southeast Ambrym	-16.3	168.216666667	Oceanic	Austronesian	SVO						No question particle				Noun-Relative clause		Noun-Demonstrative		Noun-Adjective
1254	seb	Sebei	1.33333333333	34.5833333333	Southern Nilotic	Eastern Sudanic	VSO									Prepositions		Noun-Genitive	Demonstrative suffix	Noun-Numeral	Noun-Adjective
1255	sec																	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1256	sed	Sedang	14.8333333333	108.0	Bahnaric	Austro-Asiatic	SVO		VOX	SNegVO		NegV	Other position	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
1257	see	Seediq	24.1666666667	121.416666667	Atayalic	Austronesian	VOS			NegVOS		NegV					Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	No dominant order
1258	sel	Selknam	-53.0	-70.0	Chonan Proper	Chonan	OVS			OVNegS		VNeg				Postpositions					Adjective-Noun
1259	sem								XOV	MorphNeg		[V-Neg]	Final	Not initial interrogative phrase		Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1260	sen															Prepositions					Noun-Adjective
1261	ser	Seri	29.0	-112.0	Seri	Hokan	SOV		XOV	MorphNeg		[Neg-V]	Final	Not initial interrogative phrase		Postpositions	Internally headed	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Only internally-headed relative clauses
1262	ses	Sesotho	-28.0	27.0	Bantu	Niger-Congo	SVO		VOX	Other		NegV	No question particle			Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative		Noun-Adjective
1263	sgb	Sougb	-1.5	134.0	East Bird's Head	East Bird's Head	SVO			SVONeg		VNeg		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1264	sge															Prepositions			Mixed		
1265	sgl	Sengele	-1.83333333333	17.3333333333	Bantu	Niger-Congo	SVO			ObligDoubleNeg		ObligDoubleNeg				Prepositions					
1266	sgu	Sangu	-1.5	11.8333333333	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]					Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1267	sha	Shan	22.0	98.0	Kam-Tai	Tai-Kadai	SVO											Noun-Genitive			
1268	shb	Shabo	7.58333333333	35.4166666667	Shabo	Shabo	SOV			SOVNeg		VNeg				Postpositions	Noun-Relative clause			Numeral-Noun	Adjective-Noun
1269	she	Sherpa	27.75	86.8333333333	Bodic	Sino-Tibetan	SOV			MorphNeg		[Neg-V]	Final	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1270	shh	Sharanahua	-11.0	-70.0	Panoan	Pano-Tacanan	SOV			MorphNeg		[V-Neg]	Final	Initial interrogative phrase		Postpositions			Demonstrative-Noun		
1271	shi	Shiriana	3.5	-62.8333333333	Yanomam	Yanomam	SOV			SOVNeg		VNeg	Final	Initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
1272	shk	Shipibo-Konibo	-7.5	-75.0	Panoan	Pano-Tacanan	SOV			MorphNeg		[V-Neg]	Second position	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	No dominant order
1273	shl	Shilluk	9.66666666667	31.75	Western Nilotic	Eastern Sudanic	SVO			SNegVO		NegV	No question particle	Not initial interrogative phrase		Prepositions		Noun-Genitive		Noun-Numeral	Noun-Adjective
1274	shm	Shambala	-4.25	38.25	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]							Demonstrative-Noun		Noun-Adjective
1275	shn	Shona	-18.0	31.0	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1276	sho	Shoshone	41.0	-114.0	Northern Uto-Aztecan	Uto-Aztecan	SOV		XOV					Not initial interrogative phrase					Demonstrative-Noun		Adjective-Noun
1277	shp	Klikitat	46.5	-120.0	Sahaptian	Penutian	VSO			NegVSO		NegV		Initial interrogative phrase					Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1278	shs	Shasta	41.8333333333	-122.666666667	Shasta	Hokan	No dominant order		No dominant order												
1279	sht	Shatt	10.8333333333	30.0	Daju	Eastern Sudanic	SVO			SVONeg		VNeg					Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1280	shu	Shuswap	52.0	-120.0	Interior Salish	Salishan	No dominant order	VSO or VOS		More than one position		NegV	In either of two positions			Prepositions		Noun-Genitive			
1281	shy											VNeg				Postpositions					
1282	sia	Siane	-6.08333333333	145.2	Siane-Yagaria	Trans-New Guinea	SOV			MorphNeg		[V-Neg]	No question particle	Initial interrogative phrase				Genitive-Noun			Noun-Adjective
1283	sid	Sidaama	6.66666666667	38.5	Highland East Cushitic	Afro-Asiatic	SOV			SONegV		NegV	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1284	sil	Sila	12.3333333333	21.75	Daju	Eastern Sudanic	SOV			SONegV		NegV						Noun-Genitive			Noun-Adjective
1285	sim															Prepositions		Noun-Genitive	Noun-Demonstrative		Noun-Adjective
1286	sin									MorphNeg		[V-Neg]						Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1287	sio	Sio	-5.95	147.333333333	Oceanic	Austronesian	SVO		VOX	SVONeg		VNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1288	sir	Siar	-4.66666666667	152.916666667	Oceanic	Austronesian	SVO			SNegVO		NegV				Prepositions	Noun-Relative clause	Noun-Genitive	Mixed	Numeral-Noun	Adjective-Noun
1289	sis	Sisiqa	-7.0	156.833333333	Oceanic	Austronesian	SVO			SNegVO		NegV		Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
1290	siu	Siuslaw	44.0	-124.0	Siuslawan	Oregon Coast	No dominant order		No dominant order			OptDoubleNeg		Initial interrogative phrase		No adpositions		No dominant order	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1291	skk									Other		VNeg	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Mixed	Noun-Numeral	Noun-Adjective
1292	skm	Sukuma	-2.83333333333	32.0	Bantu	Niger-Congo	SVO			MorphNeg		ObligDoubleNeg									
1293	sko	Skou	-2.66666666667	140.916666667	Western Skou	Skou	SOV						Final	Not initial interrogative phrase		Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1294	skp	Selkup	65.0	82.0	Samoyedic	Uralic	SOV							Not initial interrogative phrase				Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1295	skr																Noun-Relative clause				
1296	sku	Suku	-6.0	17.6666666667	Bantu	Niger-Congo	SVO												Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1297	skw	Shekhawati	28.0	75.5	Indic	Indo-European	SOV			Other		NegV	No question particle	Not initial interrogative phrase		Postpositions	Mixed				
1298	sla	Slave	67.0	-125.0	Athapaskan	Na-Dene	SOV		XOV	SOVNeg		VNeg	Initial	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1299	slb	Saliba (in Papua New Guinea)	-10.5833333333	150.716666667	Oceanic	Austronesian	SOV		OVX	SNegOV		NegV	Final	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1300	sle	Samba Leko	8.5	12.5	Samba-Duru	Niger-Congo	SVO						Final	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1301	slg												Final	Not initial interrogative phrase							
1302	slo	Slovene	46.0	15.0	Slavic	Indo-European	SVO			SNegVO		NegV				Prepositions		No dominant order	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1303	slp															Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1304	sme	Seme	11.0	-4.91666666667	Siamou	Siamou	SOV		OVX	SOVNeg		VNeg		Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun		Noun-Adjective
1305	sml	Semelai	3.0	103.0	Aslian	Austro-Asiatic	No dominant order	VSO or VOS	VOX	More than one position		NegV	No question particle	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
1306	smn	Seminole	33.0	-84.0	Muskogean	Muskogean	SOV			MorphNeg		[V-Neg]	No question particle			Postpositions		Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1307	smp	Shompen	7.0	93.75	Shompen	Shompen	VSO													Numeral-Noun	Adjective-Noun
1308	sna	Shina	36.0	74.0	Indic	Indo-European	SOV			SONegV		NegV	No question particle	Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1309	snc	Seneca	42.5	-77.5	Northern Iroquoian	Iroquoian	No dominant order		No dominant order												
1310	sng	Sinaugoro	-9.83333333333	147.833333333	Oceanic	Austronesian	SOV			SONegV		NegV	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1311	snh	Sinhala	7.0	80.5	Indic	Indo-European	SOV									Postpositions	Noun-Relative clause			No dominant order	Adjective-Noun
1312	snm	Sanuma	4.5	-64.6666666667	Yanomam	Yanomam	SOV		XOV	SOVNeg		VNeg	No question particle	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Demonstrative-Noun		Noun-Adjective
1313	snn	Soninke	15.0	-10.5	Western Mande	Mande	SOV			SNegOV		NegV	Final	Not initial interrogative phrase							Noun-Adjective
1314	sno	Saami (Northern)	69.0	24.0	Saami	Uralic	SVO			Other		NegV				Postpositions		Genitive-Noun			Adjective-Noun
1315	snt	Sentani	-2.58333333333	140.583333333	Sentanic	Sentanic	SOV			MorphNeg		[Neg-V]		Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1316	so	So	2.58333333333	34.75	Kuliak	Eastern Sudanic	VSO			NegVSO		NegV	Final	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1317	sob	Sobei	-1.91666666667	138.75	Oceanic	Austronesian	SVO		VOX	SNegVO		NegV	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1318	sod	Soddo	8.5	38.5	Semitic	Afro-Asiatic	SOV			MorphNeg		[Neg-V]				No dominant order		Genitive-Noun			Adjective-Noun
1319	som	Somali	3.0	45.0	Lowland East Cushitic	Afro-Asiatic	SOV			SONegV		NegV	Other position	Not initial interrogative phrase		No dominant order	Noun-Relative clause	No dominant order	Demonstrative suffix	Numeral-Noun	Noun-Adjective
1320	son	Sonsorol-Tobi	5.33333333333	132.25	Oceanic	Austronesian	SVO			Other		NegV	Initial	Not initial interrogative phrase		Prepositions		Noun-Genitive	Noun-Demonstrative	Numeral-Noun	No dominant order
1321	sor											[Neg-V]				Postpositions					
1322	spa	Spanish	40.0	-4.0	Romance	Indo-European	SVO		VOX	SNegVO		NegV	No question particle	Initial interrogative phrase	Vsom	Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
1323	spi	Spitian	32.25	78.0	Bodic	Sino-Tibetan	SOV							Not initial interrogative phrase					Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1324	squ	Squamish	49.6666666667	-123.166666667	Central Salish	Salishan	VSO			NegVSO		NegV	Second position			Prepositions	Mixed	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1325	srb	Sorbian	51.5	14.0	Slavic	Indo-European	SOV			MorphNeg		[Neg-V]				Prepositions					Adjective-Noun
1326	src	Sarcee	52.5	-116.0	Athapaskan	Na-Dene	SOV			Other		NegV	No question particle	Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
1327	srd	Sardinian	40.0	9.0	Romance	Indo-European	SVO			SNegVO		NegV	Initial				Noun-Relative clause			Numeral-Noun	Noun-Adjective
1328	sre	Sre	11.5	108.0	Bahnaric	Austro-Asiatic	SVO			SNegVO		NegV	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
1329	srn	Sirionó	-15.5833333333	-64.0	Maweti-Guarani	Tupian	SOV		OVX				Final	Initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun		Noun-Adjective
