	latitude	longitude	code	name	pattern	family	genus	Vso	Vsom	Vson	Vsoq	Vsow	Nprgdna
560	-11.5	132.666666667	iwa	Iwaidja		Iwaidjan	Iwaidjan	sVo	sVo 	sVo		wsVo	p dg#aN     p
832	-11.9166666667	133.5	mau	Maung		Iwaidjan	Iwaidjan	sVo	sVom	snVo	qsVo	wsVo	p dg#aN    r 
574	-2.5	-78.0	jiv	Jivaro		Jivaroan	Jivaroan	soV	soV 	soVⁿ			   g#aN      
589	11.0	29.6666666667	kad	Kadugli		Kadu	Kadugli	sVo	sVo 	snV¹o			      N  gd  
718	10.8333333333	29.6666666667	ktc	Katcha		Kadu	Kadugli	sVo	sVo 	snV¹o			      Na#gdr 
707	10.5	30.0	kro	Krongo		Kadu	Kadugli	Vso	Vsom	nVnꜝ¹so		Vso	      Na#gdr 
103	-5.75	141.416666667	awi	Aekyom		Kamula-Elevala	Elevala	soV	soV 	soV		soV	   g  Na# d  
677	-13.25	-61.0	kno	Kanoê		Kapixana	Kapixana	soV	soV 	soV	soVq	wsoV	  dg# Na     
703	-10.0	-37.0	kri	Kipea		Kariri	Kariri	Vos	Vos 	Vⁿos			p d # Na g r 
1423	-6.41666666667	139.25	tmg	Tamagario		Kayagar	Kayagar	soV	soV 	soV			      N      
599	-4.25	144.133333333	kbo	Kambot		Keram	Ap Ma	soV	soV 	soVⁿ			      Na    p
14	34.9166666667	-107.583333333	aco	Acoma		Keresan	Keresan	*	* 	*			  dg#aNa#   p
712	35.4166666667	-106.666666667	ksa	Keresan (Santa Ana)		Keresan	Keresan	*	* 	*	q*		  dg  N     p
65	-18.9166666667	21.9166666667	ani	//Ani		Khoe-Kwadi	Khoe-Kwadi	*	* 	*	*q	*	  dg#aN      
706	-29.5	20.5	krn	Korana		Khoe-Kwadi	Khoe-Kwadi	*	* 	*	*q	w*	 rdg#aN    rp
742	-17.5	22.5	kxo	Kxoe		Khoe-Kwadi	Khoe-Kwadi	osV	osV 	osVn	osVq		  dg#aN     p
626	-25.5	18.0	kho	Nama		Khoe-Kwadi	Khoe-Kwadi	soV	smoV	soVn		wsoV	 rdg#aN     p
633	-8.0	138.5	kim	Kimaghama		Kolopom	Kolopom	soV	soV 	soVn	soVq		   g  N #   p
1217	-7.5	138.5	ria	Riantana		Kolopom	Kolopom	soV	soV 	soV			      N      
687	8.75	33.75	kom	Komo		Koman	Koman	sVo	sVo 	snVo			      Na gd  
954	11.0	30.1666666667	mro	Moro		Kordofanian	Heiban	sVo	sVom	snVo	qsVo	sVo	p     Na#gdrp
1135	11.1666666667	30.5	otr	Otoro		Kordofanian	Heiban	sVo	sVo 	snVnꜝ¹o			      Na#gd  
721	11.8333333333	29.3333333333	ktl	Katla		Kordofanian	Katla-Tima	sVo	sVo 	snVnꜝ¹o			      Na gdr 
1398	11.6666666667	29.25	tia	Tima		Kordofanian	Katla-Tima	sVo	sVo 	sVo			      Na g   
1127	12.1666666667	30.8333333333	ori	Orig		Kordofanian	Rashad	soV	soV 	soⁿV			      Na#gd  
1210	11.8333333333	31.05	ras	Rashad		Kordofanian	Rashad	soV	soV 	soⁿV			      Na gd  
963	10.6666666667	30.0	msk	Masakin		Kordofanian	Talodi	sVso	sVso 	nsVon			      Na#gᵈr 
675	14.5	37.0	knm	Kunama		Kunama	Kunama	soV	soV 	soVⁿ			   g  Na# drp
95	-23.0	-69.0	atm	Atacameño		Kunza	Kunza	soV	soV 	soV			      Na     
727	-3.05	151.5	kuo	Kuot		Kuot	Kuot	Vso	Vsom	nVso		Vso	p d # Na g r 
728	28.0	84.6666666667	kus	Kusunda		Kusunda	Kusunda	soV	soV 	soVⁿ			      N     p
729	49.5	-116.0	kut	Kutenai		Kutenai	Kutenai	Vsos	Vsos 	nV¹sos	qVsos	wVsos	  d #N⁷ g ⁵ 
741	-12.5833333333	-60.6666666667	kwz	Kwaza		Kwaza	Kwaza	soVo	soVo 	soVⁿo			   g  Na   r 
739	-3.5	141.5	kwt	Kwomtari		Kwomtari	Kwomtari	soV	somV	soV¹⁰&nVnˀ¹		soV	 rdg aNa#   p
516	-25.5	25.0	huc	=|Hoan		Kxa	=|Hoan	sVo	sVo 	snVo		sVo	p  g  Na# drp
583	-19.0	21.0	juh	Ju|'hoan		Kxa	Ju-Kung	sVo	sVo 	snVo		sVo	   g  Na# drp
753	10.0	17.6666666667	laa	Laal		Laal	Laal	sVo	sVo 	sVon		sVo	p     Na gd  
1136	-4.5	141.75	owi	Owininga		Left May	Left May	soV	soV 	soV		soV	   g  N #   p
773	-15.0	-67.9166666667	lec	Leko		Leko	Leko	*	* 	*			  d # N      
817	13.75	20.8333333333	mab	Maba		Maban	Maban	soV	soV 	sonVnˀ¹		soV	   g  Na#gdrp
964	13.3333333333	22.0	msl	Masalit		Maban	Maban	soV	soV 	soVⁿ		soV	      Na#g r 
1234	10.3333333333	21.0	run	Runga		Maban	Maban	soV	soV 	sonVnˀ¹			   g# Na# drp
697	-15.5	-41.0	kqq	Krenak		Macro-Ge	Aimore	soV	soV 	soV		soV	   g  Na# d  
570	-12.25	-62.25	jbt	Jabutí		Macro-Ge	Jabutí	soV	soV 	soV			  d   Na    p
1579	-10.0	-48.1666666667	xer	Xerénte		Macro-Ge	Je Central	soV	soV 	soV			  dg  Na     
672	-26.0	-52.0	kng	Kaingang		Macro-Ge	Je Meridional	soV	soV 	soVn			   g  Na    p
73	-5.5	-48.0	api	Apinayé		Macro-Ge	Je Setentrional	soV	smoV	soV	qsoV	wsoV	   g  Na  d p
288	-7.0	-45.0	cnl	Canela		Macro-Ge	Je Setentrional	soV	smoV	soVn	qsoV	wsoV	 r g  Na  drp
748	-9.0	-52.0	kyp	Kayapó		Macro-Ge	Je Setentrional	soV	smoV	soVn	qsoV	wsoV	      N      
702	-8.0	-48.0	krh	Krahô		Macro-Ge	Je Setentrional	soV	soV 	soVⁿ			      Na    p
1170	-10.0	-55.0	pnx	Panará		Macro-Ge	Je Setentrional	soVo	soVo 	soVo	qsoVo	wsoVo	   g  Na#  rp
585	-10.0	-50.3333333333	jva	Karajá		Macro-Ge	Karajá	soV	soV 	soV		soV	  dg# Na#   p
834	-18.0	-40.0	max	Maxakalí		Macro-Ge	Maxakalian	soV	soV 	soV	qsoV		      N     p
1218	-11.8333333333	-57.5	rik	Rikbaktsa		Macro-Ge	Rikbaktsa	soV	soV 	sonV¹			      N     p
957	-3.5	134.0	mrs	Mairasi		Mairasic	Mairasic	soV	soV 	soVⁿ			      N      
195	10.5	3.5	bok	Boko		Mande	Eastern Mande	soV	soV 	sonVnˀ¹			   g  Na#  rp
230	9.66666666667	4.0	bus	Busa		Mande	Eastern Mande	soV	soVm	soVn	soVq		   g  Na#  rp
322	7.5	-8.0	dan	Dan		Mande	Eastern Mande	soV	soV 	sonV¹	soVq	soV	   g  Na# drp
827	7.0	-9.0	man	Mano		Mande	Eastern Mande	soV	soVm	snoV		soV	   g  Na#   p
1553	7.83333333333	-5.86666666667	wna	Wan		Mande	Eastern Mande	soV	soVm	soVn			   g  Na#   p
123	12.5	-7.5	bam	Bambara		Mande	Western Mande	soV	soVm	snoV	soVq		  dg  Na# d⁸p
894	13.4166666667	-16.0	mkg	Mandinka (Gambian)		Mande	Western Mande	soV	soVm	snoV		soV	  dg  Na#   p
833	13.0	-11.0	maw	Maninka (Western)		Mande	Western Mande	soV	soVm	snoV	soVq	soV	   g  Na# drp
891	8.33333333333	-7.5	mka	Mauka		Mande	Western Mande	soV	soVm	sonVnˀ¹	soVq	soV	   g  Na# d⁸p
851	7.83333333333	-11.5	mde	Mende		Mande	Western Mande	soV	soVm	sonV¹		wsoV	   g  Na# d p
1313	15.0	-10.5	snn	Soninke		Mande	Western Mande	soV	soV 	snoV	soVq	soV	      Na     
1344	10.0	-13.0	sus	Susu		Mande	Western Mande	soV	soVm	soV			  dg  N     p
1513	6.91666666667	-11.25	vai	Vai		Mande	Western Mande	soV	soVm	snoV		soV	   g  Na# d⁸p
1576	14.25	-10.5	xas	Xasonga		Mande	Western Mande	soV	soVm	soV		soV	 rdg  Na#  rp
997	-14.6666666667	133.5	myi	Mangarrayi		Mangarrayi-Maran	Mangarrayi	oVs	oVs 	onVs	oVsq	oVs	p dg# Na#g r 
42	-15.1666666667	134.25	alw	Alawa		Mangarrayi-Maran	Mara	*	* 	*			p d  aNa     
947	-15.0	135.166666667	mra	Mara		Mangarrayi-Maran	Mara	*	* 	*		w*	p dg  Na g   
1566	-14.4166666667	135.583333333	wrn	Warndarang		Mangarrayi-Maran	Mara	sVo	sVo 	snVnˀ¹o			      N  g   
221	-12.25	134.583333333	bua	Burarra		Mangrida	Burarran	soV	soV 	sonV¹			     aNa    p
462	-12.25	134.416666667	grg	Gurr-goni		Mangrida	Burarran	*	* 	*			  d  aNa     
1027	-12.1666666667	134.116666667	ndj	Ndjébbana		Mangrida	Ndjébbana	*	* 	*		*	  d   Na#   p
241	14.5	-91.0	cak	Cakchiquel		Mayan	Mayan	Vos	Vos 	nVnꜝ¹os		wVos	p d #aN  g r 
287	18.1666666667	-92.5833333333	cmy	Chontal Maya		Mayan	Mayan	sVo	sVo 	snVo		wsVo	p d #aN  gdꜝounr 
266	15.9166666667	-91.5833333333	chj	Chuj		Mayan	Mayan	Vos	Vos 	nVnˀ¹os		wVos	p   # N  gdr 
514	22.0833333333	-99.3333333333	htc	Huastec		Mayan	Mayan	sVo	sVom	snVo		wsVo	p d #aN  g r 
562	15.5	-91.0	ixi	Ixil		Mayan	Mayan	Vso	Vsom	Vso			p     N      
566	15.6666666667	-91.6666666667	jak	Jakaltek		Mayan	Mayan	Vso	Vso 	nVso		wVso	p   #aN  gdr 
755	17.0	-91.5	lac	Lacandón		Mayan	Mayan	sVos	sVos 	snV¹os	sVosq		p d #aN  g   
826	15.0	-91.8333333333	mam	Mam		Mayan	Mayan	Vso	Vsom	nVso		wVso	p d #aNa g r 
1204	15.25	-91.75	qum	Sipakapense		Mayan	Mayan	Vso	Vsom	nVso	qVso	wVso	p d #aN  g r 
1488	16.5	-92.6666666667	tzo	Tzotzil		Mayan	Mayan	Vos	Voms	nVos	qVos		p     N  g   
1489	14.6666666667	-91.3333333333	tzu	Tzutujil		Mayan	Mayan	sVos	sVoms	snV¹os	qsVos	wsVos	p d #aNa gdr 
835	-1.33333333333	132.5	may	Maybrat		Maybrat	Maybrat	sVo	sVom	sVon	sVoq	sVo	p  g  Na#gdr 
349	-17.75	134.0	dji	Djingili		Mirndi	Djingili	soV	soV 	sonV	qsoV	wsoV	      Na g  p
567	-15.0833333333	130.5	jam	Jaminjung		Mirndi	Jaminjungan	*	* 	*			  d #aNa# d  
1524	-18.6666666667	135.75	wam	Wambaya		Mirndi	Wambayan	*	* 	*			  d   N      
933	-8.25	138.75	mom	Mombum		Mombum	Mombum	soV	soV 	sonVnꜝ¹			   g  N #   p
952	-8.58333333333	140.666666667	mri	Moraori		Moraori	Moraori	soV	soV 	sonV¹	soVq		   g  N #   p
937	-14.75	-67.8333333333	mos	Mosetén		Mosetenan	Mosetenan	sVo	sVo 	snV¹o		wsVo	   g aNa   r 
940	-13.8333333333	-65.6666666667	mov	Movima		Movima	Movima	Vsos	Vsos 	nV¹sos		wVsos	p     N      
945	-0.75	133.25	mpu	Mpur		Mpur	Mpur	sVo	sVo 	sVon	sVoq	sVo	p     Na# dr 
1182	-7.0	-62.0	prh	Pirahã		Mura	Mura	soV	smoV	soVⁿ	soVq	soV	   g  Na# d p
252	32.25	-88.5	cct	Choctaw		Muskogean	Muskogean	soV	smoV	soVⁿ	soVq	soV	   g N⁷# d⁵p
681	34.8333333333	-85.1666666667	koa	Koasati		Muskogean	Muskogean	soV	soVm	soVⁿ			 rdg  Na#  rp
896	32.0	-85.0	mki	Mikasuki		Muskogean	Muskogean	soV	soV 	soVⁿ			      N      
1306	33.0	-84.0	smn	Seminole		Muskogean	Muskogean	soV	soV 	soVⁿ			  dg  Na#   p
77	33.75	-110.0	apw	Apache (Western)		Na-Dene	Athapaskan	soV	somV	sonVnꜝ¹		soV	  d   N #  r 
269	59.0	-106.0	chp	Chipewyan		Na-Dene	Athapaskan	soV	soV 	soVn	soVq		  d # N    rp
520	41.0833333333	-123.666666667	hup	Hupa		Na-Dene	Athapaskan	*	* 	*		*	  dg# Na   rp
1016	36.1666666667	-108.0	nav	Navajo		Na-Dene	Athapaskan	soV	somV	sonV¹		soV	  dg# Na   ⁵p
1326	52.5	-116.0	src	Sarcee		Na-Dene	Athapaskan	soV	soV 	sonV¹		wsoV	  dg# Na   rp
1298	67.0	-125.0	sla	Slave		Na-Dene	Athapaskan	soV	smoV	soVn	qsoV	soV	 rdg  Na#  rp
1417	59.0	-135.0	tli	Tlingit		Na-Dene	Tlingit	soV	soV 	sonV			 rdg#aNa    p
323	-0.25	-67.0833333333	daw	Dâw		Nadahup	Nadahup	soV	soV 	soV		wsoV	  dg# Na    p
513	0.166666666667	-69.25	hpd	Hup		Nadahup	Nadahup	soV	soV 	soVⁿ		woVs	 rdg# Na    p
1005	-1.0	-66.5	nad	Nadëb		Nadahup	Nadahup	osV	osV 	nsVo/oⁿVs		osV	   g  N     p
98	42.5	46.5	ava	Avar		Nakh-Daghestanian	Avar-Andic-Tsezic	soV	soV 	soVn		soV	  dg#aN     p
524	42.1666666667	46.25	hzb	Hunzib		Nakh-Daghestanian	Avar-Andic-Tsezic	soV	soV 	soVⁿ			 rdg#aN     p
1466	42.25	45.75	tsz	Tsez		Nakh-Daghestanian	Avar-Andic-Tsezic	soV	soV 	soVn			  dg#aN     p
366	42.25	47.4166666667	drg	Dargwa		Nakh-Daghestanian	Dargwic	soV	soV 	soV			 r g#aN     p
79	42.0	46.8333333333	arc	Archi		Nakh-Daghestanian	Lezgic	soV	smoV	soVⁿ		soV	  dg#aN     p
711	41.0833333333	48.0	krz	Kryz		Nakh-Daghestanian	Lezgic	soV	soV 	soV			  dg#aN      
781	41.6666666667	47.8333333333	lez	Lezgian		Nakh-Daghestanian	Lezgic	soV	soV 	soVⁿ		soV	 rdg#aN     p
1236	41.5	47.4166666667	rut	Rutul		Nakh-Daghestanian	Lezgic	soV	soV 	soV			  dg#aN     p
1492	41.0	48.0	udi	Udi		Nakh-Daghestanian	Lezgic	soV	soV 	soⁿV			  d #aN      
260	43.25	45.8333333333	chc	Chechen		Nakh-Daghestanian	Nakh	soV	soV 	sonV		soV	 rdg#aN     p
1471	42.5	45.5	ttu	Tsova-Tush		Nakh-Daghestanian	Nakh	soV	soV 	sonV		soV	 rdg#aN     p
1071	-14.0	-59.5	nmb	Nambikuára (Southern)		Nambikuaran	Nambikuaran	soV	soV 	soVⁿ			      N      
1014	31.75	-91.3333333333	nat	Natchez		Natchez	Natchez	soV	soV 	soV			      Na   rp
17	5.41666666667	-4.58333333333	adi	Adioukrou		Niger-Congo	Agneby	sVo	sVom	sVⁿo	sVoq	sVo	   g  Na# drp
99	5.16666666667	-5.5	avk	Avikam		Niger-Congo	Avikam-Alladian	sVo	sVom	sVo	sVoq		      N   d  
179	12.25	-15.3333333333	blz	Balanta		Niger-Congo	Balanta	sVo	sVo 	sⁿVo			      Na#gd  
130	1.08333333333	17.25	bbl	Babole		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	p     Na#  r 
170	4.25	9.25	bku	Bakueri		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	  d   Na#g r 
186	4.41666666667	9.58333333333	bnk	Bankon		Niger-Congo	Bantu	sVo	sVo 	sVo		sVo	p     Na g   
127	3.91666666667	10.5	bas	Basaá		Niger-Congo	Bantu	sVo	sVom	sVn¹o			p     Na#gd  
208	1.5	30.03	brq	Bera		Niger-Congo	Bantu	sVo	sVo 	sVo			p     Na g   
191	-1.33333333333	17.3333333333	bob	Bobangi		Niger-Congo	Bantu	sVo	sVo 	snVnꜝ¹o			p     N  g r 
196	-1.25	18.3333333333	bol	Bolia		Niger-Congo	Bantu	sVo	sVo 	snVnˀ¹o			p     N  gd  
222	3.5	8.66666666667	bub	Bubi		Niger-Congo	Bantu	sVo	sVo 	sVo			  d   Na     
136	2.0	28.0	bdu	Budu		Niger-Congo	Bantu	sVo	sVo 	sVo			p     Na#gd  
213	-4.5	21.5	bsh	Bushoong		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	p     Na  dr 
361	3.216666667	19.28333333	dok	Bwele		Niger-Congo	Bantu	sVo	sVo 	sVo			p     N   d  
257	-3.0	37.0	cga	Chaga		Niger-Congo	Bantu	sVo	sVo 	sⁿVo	sVoq		      Na     
276	-14.0	34.0	cic	Chichewa		Niger-Congo	Bantu	sVo	sVom	sⁿVo	qsVo	sVo	p     Na#gdr 
369	4.0	9.41666666667	dua	Duala		Niger-Congo	Bantu	sVo	sVo 	snVo			  d   Na g   
355	-0.95	13.0	dma	Duma		Niger-Congo	Bantu	sVo	sVo 	snVnˀ¹o			      Na# d  
383	-16.5	39.5	eko	Ekoti		Niger-Congo	Bantu	sVo	sVo 	snVnꜝ¹o			      N      
403	4.0	12.0	ewo	Ewondo		Niger-Congo	Bantu	sVo	sVo 	snVnˀ¹o	qsVo	sVo	p     Na#gdr 
523	-2.0	31.5	hya	Haya		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	p     Na# dr 
494	-8.0	36.0	heh	Hehe		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	p     Na#    
496	-6.25	27.1666666667	hem	Hemba		Niger-Congo	Bantu	sVo	sVo 	sVo			p     Na# d  
511	-5.16666666667	29.9166666667	hol	Holoholo		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			  d   Na# dr 
508	-1.16666666667	28.8333333333	hnd	Hunde		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			      Na#gdr 
533	-3.66666666667	15.3333333333	ifm	Ifumu		Niger-Congo	Bantu	sVo	sVom	snVnꜝ¹o	sVoq	sVo	p     Na#gd  
543	-15.5833333333	26.5	ila	Ila		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			p     Na gdr 
740	-5.5	12.25	kwy	Iwoyo		Niger-Congo	Bantu	sVo	sVom	snVnꜝ¹o			p   # Na# d  
597	-1.5	38.0	kba	Kamba		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	      Na gd  
719	-7.0	22.8333333333	kte	Kete		Niger-Congo	Bantu	sVo	sVo 	sVo			p     Na# dr 
631	-0.75	36.75	kik	Kikuyu		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	p     Na gdr 
632	-8.0	26.0	kil	Kiluba		Niger-Congo	Bantu	sVo	sVo 	sⁿVo	sVoq	sVo	p     N      
614	-9.0	34.0	kga	Kinga		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			p     Na#g   
634	-2.0	30.0	kin	Kinyarwanda		Niger-Congo	Bantu	sVo	sVom	sⁿVo		sVo	p d   Na#    
688	-5.0	15.0	kon	Kongo		Niger-Congo	Bantu	sVo	sVo 	sV¹⁰&nVnꜝ¹o			p     Na#gd  
736	-18.0	19.5	kwn	Kwangali		Niger-Congo	Bantu	sVo	sVo 	snV¹o	sVoq		p     Na#gdr 
794	-13.0	28.0	lmb	Lamba		Niger-Congo	Bantu	*	* 	*		*	p d   Na gd  
782	-4.5	36.0	lgi	Langi		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			p     Na#gd  
772	1.75	25.0	leb	Lebeo		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			p     Na# d  
774	-2.83333333333	27.1666666667	leg	Lega		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			      N    r 
789	2.0	18.5	lin	Lingala		Niger-Congo	Bantu	sVo	sVom	sVon		sVo	      Na g   
770	5.0	9.16666666667	ldo	Londo		Niger-Congo	Bantu	sVo	sVo 	sⁿVo	sVoq		p     Na#gd  
807	-14.0	20.0	luc	Lucazi		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			      Na     
768	-10.6666666667	24.0	lbu	Lunda		Niger-Congo	Bantu	sVo	sVom	snVnꜝ¹o		sVo	p d   Na#gdr 
813	-12.0	22.0	luv	Luvale		Niger-Congo	Bantu	sVo	sVom	snVnꜝ¹o		sVo	p     Na#gdr 
902	3.41666666667	12.25	mkz	Makaa		Niger-Congo	Bantu	sVo	sVo 	snVnꜝ¹o			      Na  d  
892	-11.0	40.0	mkd	Makonde		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	      Na#    
974	-15.0	38.6666666667	mua	Makua		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			p d   Na#gd  
969	-8.5	39.0	mtb	Matuumbi		Niger-Congo	Bantu	sVo	sVo 	sVn¹o			      Na#gd  
879	-17.5	15.0	mhu	Mbalanhu		Niger-Congo	Bantu	sVo	sVo 	snVo			      N      
837	-0.5	14.0	mbe	Mbere		Niger-Congo	Bantu	sVo	sVo 	snVnˀ¹o			p     Na# d  
858	-1.25	15.5	mdw	Mbosi		Niger-Congo	Bantu	sVo	sVo 	soVn			      Na#gd  
873	0.0	21.0	mgo	Mongo		Niger-Congo	Bantu	sVo	sVo 	sVo			p     Na#gdr 
986	-9.0	39.0	mwe	Mwera		Niger-Congo	Bantu	sVo	sVom	sⁿVo			      Na#g   
1024	-25.3333333333	29.0	ndb	Ndebele		Niger-Congo	Bantu	sVo	sVo 	snVnꜝ¹o	sVoq	sVo	      Na gd  
1028	-18.0	17.0	ndo	Ndonga		Niger-Congo	Bantu	sVo	sVo 	snV¹o		sVo	p     Na#gdr 
1031	-1.66666666667	13.5833333333	ndu	Ndumu		Niger-Congo	Bantu	sVo	sVo 	snVnꜝ¹o		sVo	p     Na#gd  
1019	3.0	23.0	nbe	Ngombe		Niger-Congo	Bantu	sVo	sVo 	sVo			      N      
1049	-11.0	36.0	ngo	Ngoni		Niger-Congo	Bantu	sVo	sVo 	sⁿVn¹o		sVo	p     Na#gdr 
1068	-0.916666666667	29.8333333333	nko	Nkore-Kiga		Niger-Congo	Bantu	sVo	sVom	sⁿVo	sVoq	sVo	p     Na#gdr 
1086	-14.5	30.8333333333	nse	Nsenga		Niger-Congo	Bantu	sVo	sVo 	sⁿVn¹o			p d   Na  d  
1091	-2.0	18.3333333333	nto	Ntomba		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			      Na#    
1104	-5.0	33.0	nym	Nyamwezi		Niger-Congo	Bantu	*	* 	*			      Na#gd  
1077	-1.25	28.1666666667	nng	Nyanga		Niger-Congo	Bantu	sVo	sVo 	sVo			      Na gd  
1166	-10.0	34.75	png	Pangwa		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			p     Na     
1181	-4.0	36.5	pre	Pare		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	p d   Na#g r 
1173	-8.75	36.5	pog	Pogoro		Niger-Congo	Bantu	sVo	sVo 	sVn¹o			p     N      
1219	-5.0	34.6666666667	rim	Rimi		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			      N      
1215	-26.0	32.5	rga	Ronga		Niger-Congo	Bantu	sVo	sVo 	sVo			p   # Na#gd  
1224	-0.5	30.5	rny	Runyankore		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	p     Na#gdr 
1230	1.5	31.3333333333	rru	Runyoro-Rutooro		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			      Na     
1266	-1.5	11.8333333333	sgu	Sangu		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			      Na#gdr 
1265	-1.83333333333	17.3333333333	sgl	Sengele		Niger-Congo	Bantu	sVo	sVo 	snVnꜝ¹o			p     N      
1262	-28.0	27.0	ses	Sesotho		Niger-Congo	Bantu	sVo	sVom	snV¹o			p     Na gdr 
1274	-4.25	38.25	shm	Shambala		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			  d   Na     
1275	-18.0	31.0	shn	Shona		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	p     Na#gdr 
1335	-24.0	29.0	stn	Sotho (Northern)		Niger-Congo	Bantu	sVo	sVo 	snVnꜝ¹o			      N  g   
1296	-6.0	17.6666666667	sku	Suku		Niger-Congo	Bantu	sVo	sVo 	sVo			      Na# d  
1292	-2.83333333333	32.0	skm	Sukuma		Niger-Congo	Bantu	sVo	sVo 	snVnꜝ¹o			      N      
1346	-6.5	39.0	swa	Swahili		Niger-Congo	Bantu	sVo	sVo 	sⁿVo	qsVo	sVo	p     Na#gdr 
1348	-26.5	31.0	swt	Swati		Niger-Congo	Bantu	*	* 	*	*q		  d #aNa#g r 
1372	-8.0	29.5	tbw	Tabwa		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	p d   Na#gd  
1358	0.416666666667	29.6666666667	tal	Talinga		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			p     N      
1384	-4.0	24.0	tet	Tetela		Niger-Congo	Bantu	sVo	sVom	sⁿVo	sVoq	sVo	p     N #gd  
1445	-17.0	27.0	toz	Tonga (in Zambia)		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	      Na#gdr 
1412	4.58333333333	11.5	tki	Tuki		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	      N      
1436	4.75	10.6666666667	tnn	Tunen		Niger-Congo	Bantu	soV	soVm	snoV	soVq	soV	p d   Na#g rp
1514	-22.0	30.0	ven	Venda		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			      Na#    
1580	-32.0	27.0	xho	Xhosa		Niger-Congo	Bantu	sVo	sVo 	sⁿVo		sVo	p d   Na#gdr 
1587	-14.5	35.5	yao	Yao (in Malawi)		Niger-Congo	Bantu	sVo	sVo 	sⁿVo			      Na  d  
1640	-30.0	30.0	zul	Zulu		Niger-Congo	Bantu	sVo	sVo 	snVnˀ¹o	sVoq	sVo	p d   Na gdr 
1081	6.41666666667	10.5833333333	non	Noni		Niger-Congo	Beboid	sVo	sVom	sV¹⁰&nVnꜝ¹o	sVoq	sVo	p     Na#gdrp
162	9.66666666667	8.83333333333	bir	Birom		Niger-Congo	Benue-Congo Plateau	sVo	sVom	sVon	sVoq	sVo	p     Na#gdr 
417	9.58333333333	9.33333333333	fye	Fyem		Niger-Congo	Benue-Congo Plateau	sVo	sVo 	snVnˀ¹o	sVoq	sVo	p     Na#gdr 
480	9.91666666667	8.16666666667	gwo	Gworok		Niger-Congo	Benue-Congo Plateau	sVo	sVo 	sVon			p     N #gd  
569	9.5	8.6666667	jar	Izere		Niger-Congo	Benue-Congo Plateau	sVo	sVom	sVon	sVoq	sVo	p     Na gd  
1030	14.9166666667	-16.9166666667	ndt	Ndut		Niger-Congo	Cangin	sVo	sVom	sVⁿo		sVo	p     Na#gdr 
1082	14.8333333333	-16.8333333333	noo	Noon		Niger-Congo	Cangin	sVo	sVo 	sVⁿo	sVoq	sVo	p     Na#gdr 
1110	4.75	6.86666666667	obg	Ogbronuagum		Niger-Congo	Central Delta	sVo	sVo 	sⁿVo	sVoq	sVo	p   #aN   dr 
370	11.1666666667	5.08333333333	duk	Duka		Niger-Congo	Central Kainji	sVo	sVom	sVon	sVoq		p d   Na#g r 
324	8.75	17.8333333333	day	Day		Niger-Congo	Day	sVo	sVo 	sVo			      Na#gdr 
1610	8.0	4.33333333333	yor	Yoruba		Niger-Congo	Defoid	sVo	sVo 	snVo		wsVo	p     Na#gdr 
184	6.41666666667	5.83333333333	bni	Bini		Niger-Congo	Edoid	sVo	sVom	snVo			p     Na#gdr 
327	4.75	6.75	deg	Degema		Niger-Congo	Edoid	sVo	sVo 	snVnꜝ¹o			     aNa# dr 
1124	7.08333333333	5.91666666667	ora	Emai		Niger-Congo	Edoid	sVo	sVo 	sVo		wsVo	p     N # d  
380	5.16666666667	6.38333333333	egn	Engenni		Niger-Congo	Edoid	sVo	sVom	snative Tone¹o	sVoq	sVo	p     Na#gdr 
