direct	aorist		active	optative	ᾰ̓γᾰ́γοιμῐ	ᾰ̓γᾰ́γοις	ᾰ̓γᾰ́γοι	ᾰ̓γᾰ́γοιτον	ᾰ̓γᾰγοίτην	ᾰ̓γᾰ́γοιμεν	ᾰ̓γᾰ́γοιτε	ᾰ̓γᾰ́γοιεν								
direct	aorist		active	imperative	 	ᾰ̓́γᾰγε	ᾰ̓γᾰγέτω	ᾰ̓γᾰ́γετον	ᾰ̓γᾰγέτων	 	ᾰ̓γᾰ́γετε	ᾰ̓γᾰγόντων								
direct	aorist		middle	indicative	ἠγᾰγόμην	ἠγᾰ́γου	ἠγᾰ́γετο	ἠγᾰ́γεσθον	ἠγᾰγέσθην	ἠγᾰγόμεθᾰ	ἠγᾰ́γεσθε	ἠγᾰ́γοντο								
direct	aorist		middle	subjunctive	ᾰ̓γᾰ́γωμαι	ᾰ̓γᾰ́γῃ	ᾰ̓γᾰ́γηται	ᾰ̓γᾰ́γησθον	ᾰ̓γᾰ́γησθον	ᾰ̓γᾰγώμεθᾰ	ᾰ̓γᾰ́γησθε	ᾰ̓γᾰ́γωνται								
direct	aorist		middle	optative	ᾰ̓γᾰγοίμην	ᾰ̓γᾰ́γοιο	ᾰ̓γᾰ́γοιτο	ᾰ̓γᾰ́γοισθον	ᾰ̓γᾰγοίσθην	ᾰ̓γᾰγοίμεθᾰ	ᾰ̓γᾰ́γοισθε	ᾰ̓γᾰ́γοιντο								
direct	aorist		middle	imperative	 	ᾰ̓γᾰγοῦ	ᾰ̓γᾰγέσθω	ᾰ̓γᾰ́γεσθον	ᾰ̓γᾰγέσθων	 	ᾰ̓γᾰ́γεσθε	ᾰ̓γᾰγέσθων								
direct	aorist		active	indicative	ἦξᾰ	ἦξᾰς	ἦξε(ν)	ἤξᾰτον	ἠξᾰ́την	ἤξᾰμεν	ἤξᾰτε	ἦξᾰν								
direct	aorist		active	subjunctive	ᾰ̓́ξω	ᾰ̓́ξῃς	ᾰ̓́ξῃ	ᾰ̓́ξητον	ᾰ̓́ξητον	ᾰ̓́ξωμεν	ᾰ̓́ξητε	ᾰ̓́ξωσῐ(ν)								
direct	aorist		active	optative	ᾰ̓́ξαιμῐ	ᾰ̓́ξειᾰς,ᾰ̓́ξαις	ᾰ̓́ξειε(ν),ᾰ̓́ξαι	ᾰ̓́ξαιτον	ᾰ̓ξαίτην	ᾰ̓́ξαιμεν	ᾰ̓́ξαιτε	ᾰ̓́ξειᾰν,ᾰ̓́ξαιεν								
direct	aorist		active	imperative	 	ᾰ̓́ξον	ᾰ̓ξᾰ́τω	ᾰ̓́ξᾰτον	ᾰ̓ξᾰ́των	 	ᾰ̓́ξᾰτε	ᾰ̓ξᾰ́ντων								
direct	aorist		middle	indicative	ἠξᾰ́μην	ἤξω	ἤξᾰτο	ἤξᾰσθον	ἠξᾰ́σθην	ἠξᾰ́μεθᾰ	ἤξᾰσθε	ἤξᾰντο								
direct	aorist		middle	subjunctive	ᾰ̓́ξωμαι	ᾰ̓́ξῃ	ᾰ̓́ξηται	ᾰ̓́ξησθον	ᾰ̓́ξησθον	ᾰ̓ξώμεθᾰ	ᾰ̓́ξησθε	ᾰ̓́ξωνται								
direct	aorist		middle	optative	ᾰ̓ξαίμην	ᾰ̓́ξαιο	ᾰ̓́ξαιτο	ᾰ̓́ξαισθον	ᾰ̓ξαίσθην	ᾰ̓ξαίμεθᾰ	ᾰ̓́ξαισθε	ᾰ̓́ξαιντο								
direct	aorist		middle	imperative	 	ᾰ̓́ξαι	ᾰ̓ξᾰ́σθω	ᾰ̓́ξᾰσθον	ᾰ̓ξᾰ́σθων	 	ᾰ̓́ξᾰσθε	ᾰ̓ξᾰ́σθων								
direct	aorist		passive	indicative	ἤχθην	ἤχθης	ἤχθη	ἤχθητον	ἠχθήτην	ἤχθημεν	ἤχθητε	ἤχθησᾰν								
direct	aorist		passive	subjunctive	ᾰ̓χθῶ	ᾰ̓χθῇς	ᾰ̓χθῇ	ᾰ̓χθῆτον	ᾰ̓χθῆτον	ᾰ̓χθῶμεν	ᾰ̓χθῆτε	ᾰ̓χθῶσῐ(ν)								
direct	aorist		passive	optative	ᾰ̓χθείην	ᾰ̓χθείης	ᾰ̓χθείη	ᾰ̓χθεῖτον,ᾰ̓χθείητον	ᾰ̓χθείτην,ᾰ̓χθειήτην	ᾰ̓χθεῖμεν,ᾰ̓χθείημεν	ᾰ̓χθεῖτε,ᾰ̓χθείητε	ᾰ̓χθεῖεν,ᾰ̓χθείησᾰν								
direct	aorist		passive	imperative	 	ᾰ̓́χθητῐ	ᾰ̓χθήτω	ᾰ̓́χθητον	ᾰ̓χθήτων	 	ᾰ̓́χθητε	ᾰ̓χθέντων								
direct	perfect		active	indicative	ἦχᾰ	ἦχᾰς	ἦχε(ν)	ἤχᾰτον	ἤχᾰτον	ἤχᾰμεν	ἤχᾰτε	ἤχᾱσῐ(ν)								
direct	perfect		active	subjunctive	ἤχω	ἤχῃς	ἤχῃ	ἤχητον	ἤχητον	ἤχωμεν	ἤχητε	ἤχωσῐ(ν)								
direct	perfect		active	optative	ἤχοιμῐ,ἠχοίην	ἤχοις,ἠχοίης	ἤχοι,ἠχοίη	ἤχοιτον	ἠχοίτην	ἤχοιμεν	ἤχοιτε	ἤχοιεν								
direct	perfect		active	imperative	 	ἦχε	ἠχέτω	ἤχετον	ἠχέτων	 	ἤχετε	ἠχόντων								
direct	perfect		middle/passive	indicative	ἦγμαι	ἦξαι	ἦκται	ἦχθον	ἦχθον	ἤγμεθᾰ	ἦχθε	ἤγᾰται								
direct	perfect		middle/passive	subjunctive	ἠγμένος ὦ	ἠγμένος ᾖς	ἠγμένος ᾖ	ἠγμένω ἦτον	ἠγμένω ἦτον	ἠγμένοι ὦμεν	ἠγμένοι ἦτε	ἠγμένοι ὦσῐ(ν)								
direct	perfect		middle/passive	optative	ἠγμένος εἴην	ἠγμένος εἴης	ἠγμένος εἴη	ἠγμένω εἴητον/εἶτον	ἠγμένω εἰήτην/εἴτην	ἠγμένοι εἴημεν/εἶμεν	ἠγμένοι εἴητε/εἶτε	ἠγμένοι εἴησᾰν/εἶεν								
direct	perfect		middle/passive	imperative	 	ἦξο	ἤχθω	ἦχθον	ἤχθων	 	ἦχθε	ἤχθων								
direct	perfect		active	indicative	ᾰ̓γήγοχᾰ	ᾰ̓γήγοχᾰς	ᾰ̓γήγοχε(ν)	ᾰ̓γηγόχᾰτον	ᾰ̓γηγόχᾰτον	ᾰ̓γηγόχᾰμεν	ᾰ̓γηγόχᾰτε	ᾰ̓γηγόχᾱσῐ(ν)								
