	Id	English	Part	hieroglyphics	transcription	
312	14-170	late	adjective			
313	14-180	now	adverb			
314	14-190	immediately	adverb	𓁷𓏤𓂝𓏤𓅱𓏭	ḥr ꜥwy	
315	14-210	swift|fast|quick	adjective	𓆷𓄿𓂋𓈙𓂾𓂻	šrš	
316	14-220	slow	adjective			
317	14-230	hasten|hurry	verb	𓃹𓈖𓏭𓂻	wnj	
318	14-240	retard|delay	verb	𓅱𓂧𓆑𓈐𓂻	wdf	
319	14-250	begin|beginning	verb	𓆷𓄿𓂝𓏛	šꜣꜥ	
320	14-252	last|endure	verb	𓀼𓊃	šps	
321	14-260	end (temporal)	noun			
322	14-270	finish	verb	𓋴𓂝𓂋𓈎𓍼	sꜥrq	
323	14-280	cease|stop	verb	𓊃𓊪𓏲𓎛𓏲𓏭𓏛𓀜	spḥ	
324	14-290	ready	adjective	𓁷𓂋𓎅𓂡	ḥr	"# ""to be ready"""
325	14-310	always	adverb			
326	14-320	often	adverb			
327	14-330	sometimes	adverb			
328	14-331	soon	adverb			
329	14-332	long-time	adverb	𓅓𓇋𓄿𓂧𓏏𓏯𓈇𓏤𓏏𓇳𓉻𓏛	m jꜣdt ꜥꜣt	
330	14-340	never	adverb	𓂜𓊃𓊪𓊗	n sp	
331	14-350	again	adverb			
332	14-410	day	noun	𓂜𓊃𓊪𓊗	n sp	
333	14-420	night	noun	𓆼𓄿𓅱𓏭𓇰	ḫꜣwy	
334	14-430	dawn	noun	𓋴𓌉𓆓𓇳𓏤𓇾𓈇	sḥḏ tꜣ	
335	14-440	morning	noun	𓏏𓇼𓄿𓇳	dwꜣw	
336	14-450	noon|midday	noun	𓂸𓏏𓂋𓏏𓇳	mtrt	
337	14-451	afternoon	noun	𓏏𓂋𓇋𓆳𓇳𓈖𓂸𓏏𓂋𓏏𓇳	tr n mtrt	
338	14-460	evening	noun	𓅓𓂝𓈙𓂋𓃭𓅱𓇶	mšrw	
339	14-470	today	noun	𓅯𓄿𓉔𓏯𓇳𓏤	pꜣ hrw	
340	14-480	tomorrow	noun	𓃀𓅡𓂓𓇼	bkꜣ	
341	14-481	day-after-tomorrow	noun			
342	14-490	yesterday	noun	𓋴𓆑𓇳	sf	
343	14-491	day-before-yesterday	noun	𓃀𓅡𓂓𓇼	bkꜣ	
344	14-510	hour	noun	𓃹𓈖𓏌𓏏𓇼𓇳	wnwt	
345	14-530	clock|timepiece	noun			
346	14-610	week	noun	𓋴𓋴𓏲𓇳𓎆	sw mḏ	# 10 day week
347	14-620	Sunday	noun			
348	14-630	Monday	noun			
349	14-640	Tuesday	noun			
350	14-650	Wednesday	noun			
351	14-660	Thursday	noun			
352	14-670	Friday	noun			
353	14-680	Saturday	noun			
354	14-710	month	noun	𓇹𓇼𓏤𓂧𓇳𓏤	ꜣbd	
355	14-730	year	noun	𓆳𓏏𓏤	rnpt	
356	14-740	winter	noun			
357	14-750	spring	noun			
358	14-760	summer	noun	𓈙𓈖𓈖𓈖	šmw	
359	14-770	autumn	noun			
360	14-780	season	noun	𓏏𓂋𓇋𓆵𓇳	tr	
361	15-210	smell	verb	𓈙𓊪F63𓊡𓏲𓏥	šp	
362	15-212	sniff	verb	𓈙𓊪F63𓊡𓏲𓏥	šp	
363	15-220	smell	verb			
364	15-250	fragrant|good smelling	adjective			
365	15-260	stinking|bad smelling	adjective			
366	15-310	taste	verb	𓂧𓊪𓄓𓀁	dp	
367	15-350	sweet	adjective	𓃀𓈖𓂋𓇋𓇜𓏛	bnr	
368	15-360	salty	adjective			
369	15-370	bitter	adjective	𓂧𓁷𓂋𓇋𓏏𓐎𓅪	dḥr	
370	15-380	acid|sour	adjective			
371	15-390	brackish	adjective	𓆷𓄿𓈖𓈙𓈖𓈒𓏥	šns	
372	15-410	hear	verb	𓆷𓄿𓐝𓂝𓄔	šmꜥ	
373	15-420	listen	verb	𓊃𓆓𓅓𓄔	sḏm	
374	15-440	sound|noise	noun	𓐍𓂋𓊤𓃭𓅱𓀁	ḫrw	
375	15-450	loud	adjective			
376	15-460	quiet|silence	noun	𓎡𓏏𓎡𓏏𓀁	ktkt	
377	15-510	see	verb	𓂧𓎼𓄿𓇋𓇋𓁻	dgꜣ	
378	15-520	look|look at	verb	𓂧𓎼𓄿𓇋𓇋𓁻	dgꜣ	
