appear	verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		عَرْض	ʕarḍ	عَرْض	ʕarḍ	عَرْض	ʕarḍ	عَرْض	ʕarḍ	عَرْض	ʕarḍ	عَرْض	ʕarḍ	عَرْض	ʕarḍ
appear	passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		مَعْرُوض‎	maʕrūḍ	مَعْرُوض‎	maʕrūḍ	مَعْرُوض‎	maʕrūḍ	مَعْرُوض‎	maʕrūḍ	مَعْرُوض‎	maʕrūḍ	مَعْرُوض‎	maʕrūḍ	مَعْرُوض‎	maʕrūḍ
appear	passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول			
appear					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
appear					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
appear	past (perfect) indicativeالْمَاضِي		m		عُرِضْتُ‎	ʕuriḍtu	عُرِضْتَ‎	ʕuriḍta	عُرِضَ	ʕuriḍa			عُرِضْتُمَا‎	ʕuriḍtumā	عُرِضَا‎	ʕuriḍā			عُرِضْنَا‎	ʕuriḍnā	عُرِضْتُمْ‎	ʕuriḍtum	عُرِضُوا‎	ʕuriḍū		
appear	past (perfect) indicativeالْمَاضِي		f		عُرِضْتُ‎	ʕuriḍtu	عُرِضْتِ‎	ʕuriḍti	عُرِضَتْ‎	ʕuriḍat			عُرِضْتُمَا‎	ʕuriḍtumā	عُرِضَتَا‎	ʕuriḍatā			عُرِضْنَا‎	ʕuriḍnā	عُرِضْتُنَّ‎	ʕuriḍtunna	عُرِضْنَ‎	ʕuriḍna		
appear	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أُعْرَضُ‎	ʔuʕraḍu	تُعْرَضُ‎	tuʕraḍu	يُعْرَضُ‎	yuʕraḍu			تُعْرَضَانِ‎	tuʕraḍāni	يُعْرَضَانِ‎	yuʕraḍāni			نُعْرَضُ‎	nuʕraḍu	تُعْرَضُونَ‎	tuʕraḍūna	يُعْرَضُونَ‎	yuʕraḍūna		
appear	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أُعْرَضُ‎	ʔuʕraḍu	تُعْرَضِينَ‎	tuʕraḍīna	تُعْرَضُ‎	tuʕraḍu			تُعْرَضَانِ‎	tuʕraḍāni	تُعْرَضَانِ‎	tuʕraḍāni			نُعْرَضُ‎	nuʕraḍu	تُعْرَضْنَ‎	tuʕraḍna	يُعْرَضْنَ‎	yuʕraḍna		
appear	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أُعْرَضَ‎	ʔuʕraḍa	تُعْرَضَ‎	tuʕraḍa	يُعْرَضَ‎	yuʕraḍa			تُعْرَضَا‎	tuʕraḍā	يُعْرَضَا‎	yuʕraḍā			نُعْرَضَ‎	nuʕraḍa	تُعْرَضُوا‎	tuʕraḍū	يُعْرَضُوا‎	yuʕraḍū		
appear	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أُعْرَضَ‎	ʔuʕraḍa	تُعْرَضِي‎	tuʕraḍī	تُعْرَضَ‎	tuʕraḍa			تُعْرَضَا‎	tuʕraḍā	تُعْرَضَا‎	tuʕraḍā			نُعْرَضَ‎	nuʕraḍa	تُعْرَضْنَ‎	tuʕraḍna	يُعْرَضْنَ‎	yuʕraḍna		
appear	jussiveالْمُضَارِع الْمَجْزُوم		m		أُعْرَضْ‎	ʔuʕraḍ	تُعْرَضْ‎	tuʕraḍ	يُعْرَضْ‎	yuʕraḍ			تُعْرَضَا‎	tuʕraḍā	يُعْرَضَا‎	yuʕraḍā			نُعْرَضْ‎	nuʕraḍ	تُعْرَضُوا‎	tuʕraḍū	يُعْرَضُوا‎	yuʕraḍū		
appear	jussiveالْمُضَارِع الْمَجْزُوم		f		أُعْرَضْ‎	ʔuʕraḍ	تُعْرَضِي‎	tuʕraḍī	تُعْرَضْ‎	tuʕraḍ			تُعْرَضَا‎	tuʕraḍā	تُعْرَضَا‎	tuʕraḍā			نُعْرَضْ‎	nuʕraḍ	تُعْرَضْنَ‎	tuʕraḍna	يُعْرَضْنَ‎	yuʕraḍna		
appear	verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		تَعْرِيض‎	taʕrīḍ	تَعْرِيض‎	taʕrīḍ	تَعْرِيض‎	taʕrīḍ	تَعْرِيض‎	taʕrīḍ	تَعْرِيض‎	taʕrīḍ	تَعْرِيض‎	taʕrīḍ	تَعْرِيض‎	taʕrīḍ
appear	active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		مُعَرِّض‎	muʕarriḍ	مُعَرِّض‎	muʕarriḍ	مُعَرِّض‎	muʕarriḍ	مُعَرِّض‎	muʕarriḍ	مُعَرِّض‎	muʕarriḍ	مُعَرِّض‎	muʕarriḍ	مُعَرِّض‎	muʕarriḍ
appear	passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		مُعَرَّض‎	muʕarraḍ	مُعَرَّض‎	muʕarraḍ	مُعَرَّض‎	muʕarraḍ	مُعَرَّض‎	muʕarraḍ	مُعَرَّض‎	muʕarraḍ	مُعَرَّض‎	muʕarraḍ	مُعَرَّض‎	muʕarraḍ
appear	active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم			
appear					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
appear					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
appear	past (perfect) indicativeالْمَاضِي		m		عَرَّضْتُ‎	ʕarraḍtu	عَرَّضْتَ‎	ʕarraḍta	عَرَّضَ	ʕarraḍa			عَرَّضْتُمَا‎	ʕarraḍtumā	عَرَّضَا‎	ʕarraḍā			عَرَّضْنَا‎	ʕarraḍnā	عَرَّضْتُمْ‎	ʕarraḍtum	عَرَّضُوا‎	ʕarraḍū		
appear	past (perfect) indicativeالْمَاضِي		f		عَرَّضْتُ‎	ʕarraḍtu	عَرَّضْتِ‎	ʕarraḍti	عَرَّضَتْ‎	ʕarraḍat			عَرَّضْتُمَا‎	ʕarraḍtumā	عَرَّضَتَا‎	ʕarraḍatā			عَرَّضْنَا‎	ʕarraḍnā	عَرَّضْتُنَّ‎	ʕarraḍtunna	عَرَّضْنَ‎	ʕarraḍna		
appear	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أُعَرِّضُ‎	ʔuʕarriḍu	تُعَرِّضُ‎	tuʕarriḍu	يُعَرِّضُ‎	yuʕarriḍu			تُعَرِّضَانِ‎	tuʕarriḍāni	يُعَرِّضَانِ‎	yuʕarriḍāni			نُعَرِّضُ‎	nuʕarriḍu	تُعَرِّضُونَ‎	tuʕarriḍūna	يُعَرِّضُونَ‎	yuʕarriḍūna		
appear	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أُعَرِّضُ‎	ʔuʕarriḍu	تُعَرِّضِينَ‎	tuʕarriḍīna	تُعَرِّضُ‎	tuʕarriḍu			تُعَرِّضَانِ‎	tuʕarriḍāni	تُعَرِّضَانِ‎	tuʕarriḍāni			نُعَرِّضُ‎	nuʕarriḍu	تُعَرِّضْنَ‎	tuʕarriḍna	يُعَرِّضْنَ‎	yuʕarriḍna		
appear	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أُعَرِّضَ‎	ʔuʕarriḍa	تُعَرِّضَ‎	tuʕarriḍa	يُعَرِّضَ‎	yuʕarriḍa			تُعَرِّضَا‎	tuʕarriḍā	يُعَرِّضَا‎	yuʕarriḍā			نُعَرِّضَ‎	nuʕarriḍa	تُعَرِّضُوا‎	tuʕarriḍū	يُعَرِّضُوا‎	yuʕarriḍū		
appear	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أُعَرِّضَ‎	ʔuʕarriḍa	تُعَرِّضِي‎	tuʕarriḍī	تُعَرِّضَ‎	tuʕarriḍa			تُعَرِّضَا‎	tuʕarriḍā	تُعَرِّضَا‎	tuʕarriḍā			نُعَرِّضَ‎	nuʕarriḍa	تُعَرِّضْنَ‎	tuʕarriḍna	يُعَرِّضْنَ‎	yuʕarriḍna		
appear	jussiveالْمُضَارِع الْمَجْزُوم		m		أُعَرِّضْ‎	ʔuʕarriḍ	تُعَرِّضْ‎	tuʕarriḍ	يُعَرِّضْ‎	yuʕarriḍ			تُعَرِّضَا‎	tuʕarriḍā	يُعَرِّضَا‎	yuʕarriḍā			نُعَرِّضْ‎	nuʕarriḍ	تُعَرِّضُوا‎	tuʕarriḍū	يُعَرِّضُوا‎	yuʕarriḍū		
appear	jussiveالْمُضَارِع الْمَجْزُوم		f		أُعَرِّضْ‎	ʔuʕarriḍ	تُعَرِّضِي‎	tuʕarriḍī	تُعَرِّضْ‎	tuʕarriḍ			تُعَرِّضَا‎	tuʕarriḍā	تُعَرِّضَا‎	tuʕarriḍā			نُعَرِّضْ‎	nuʕarriḍ	تُعَرِّضْنَ‎	tuʕarriḍna	يُعَرِّضْنَ‎	yuʕarriḍna		
appear	imperativeالْأَمْر		m				عَرِّضْ	ʕarriḍ					عَرِّضَا‎	ʕarriḍā							عَرِّضُوا‎	ʕarriḍū				
appear	imperativeالْأَمْر		f				عَرِّضِي‎	ʕarriḍī					عَرِّضَا‎	ʕarriḍā							عَرِّضْنَ‎	ʕarriḍna				
appear	passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول			
