#voice	person	plurality	present indicative	past indicative	imperative   	subjunctive     	optative        	participle    	english-object    	object         	emoji-template           	formation-type                  	descendants                 	
active	3     	plural   	dʰédʰh₁nₒti       	dʰédʰh₁nₒt     	dʰédʰh₁nₒtu  	dʰédʰeh₁onti    	dʰédʰh₁ih₁nₒt   	dʰédʰh₁nₒts   	the work          	wérǵom         	{{subject}}<sup>🔧</sup>  	reduplicated-athematic          	                            	
middle	1     	singular 	dʰédʰh₁h₂er       	dʰédʰh₁h₂e     	             	dʰédʰeh₁oh₂er   	dʰédʰh₁ih₁h₂e   	dʰédʰh₁mₒh₁nos	                  	wérǵom         	{{subject}}🧍<sup>🔧</sup> 	{{subject}}🧍🔧                   	reduplicated-athematic      	
middle	2     	singular 	dʰédʰh₁th₂er      	dʰédʰh₁th₂e    	dʰédʰh₁so    	dʰédʰeh₁eth₂er  	dʰédʰh₁ih₁th₂e  	dʰédʰh₁mₒh₁nos	                  	wérǵom         	{{subject}}🧍<sup>🔧</sup> 	{{subject}}🧍🔧                   	reduplicated-athematic      	
middle	3     	singular 	dʰédʰh₁tor        	dʰédʰh₁to      	             	dʰédʰeh₁etor    	dʰédʰh₁ih₁to    	dʰédʰh₁mₒh₁nos	                  	wérǵom         	{{subject}}🧍<sup>🔧</sup> 	{{subject}}🧍🔧                   	reduplicated-athematic      	
middle	1     	dual     	dʰédʰh₁wosdʰh₂    	dʰédʰh₁wedʰh₂  	             	dʰédʰeh₁owosdʰh₂	dʰédʰh₁ih₁wedʰh₂	dʰédʰh₁mₒh₁nos	                  	wérǵom         	{{subject}}🧍<sup>🔧</sup> 	{{subject}}🧍🔧                   	reduplicated-athematic      	
middle	2     	dual     	                  	               	             	                	                	dʰédʰh₁mₒh₁nos	                  	wérǵom         	{{subject}}🧍<sup>🔧</sup> 	{{subject}}🧍🔧                   	reduplicated-athematic      	
middle	3     	dual     	                  	               	             	                	                	dʰédʰh₁mₒh₁nos	                  	wérǵom         	{{subject}}🧍<sup>🔧</sup> 	{{subject}}🧍🔧                   	reduplicated-athematic      	
middle	1     	plural   	dʰédʰh₁mosdʰh₂    	dʰédʰh₁medʰh₂  	             	dʰédʰeh₁omosdʰh₂	dʰédʰh₁ih₁medʰh₂	dʰédʰh₁mₒh₁nos	                  	wérǵom         	{{subject}}🧍<sup>🔧</sup> 	{{subject}}🧍🔧                   	reduplicated-athematic      	
middle	2     	plural   	dʰédʰh₁dʰh₂we     	dʰédʰh₁dʰh₂we  	dʰédʰh₁dʰh₂we	dʰédʰeh₁edʰh₂we 	dʰédʰh₁ih₁dʰh₂we	dʰédʰh₁mₒh₁nos	                  	wérǵom         	{{subject}}🧍<sup>🔧</sup> 	{{subject}}🧍🔧                   	reduplicated-athematic      	
middle	3     	plural   	dʰédʰh₁ror        	dʰédʰh₁ro      	             	dʰédʰeh₁oror    	dʰédʰh₁ih₁ro    	dʰédʰh₁mₒh₁nos	                  	wérǵom         	{{subject}}🧍<sup>🔧</sup> 	{{subject}}🧍🔧                   	reduplicated-athematic      	
active	1     	singular 	prₒsḱóh₂          	prₒsḱóm        	             	prₒsḱṓh₂        	prₒsḱóyh₁mₒ     	prₒsḱónts     	that person       	h₁léwdʰim      	{{subject}}🧍             	ske-suffix                      	                            	
active	2     	singular 	prₒsḱési          	prₒsḱés        	prₒsḱé       	prₒsḱḗsi        	prₒsḱóys        	prₒsḱónts     	that person       	h₁léwdʰim      	{{subject}}🧍             	ske-suffix                      	                            	
active	3     	singular 	prₒsḱéti          	prₒsḱét        	prₒsḱétu     	prₒsḱḗti        	prₒsḱóyt        	prₒsḱónts     	that person       	h₁léwdʰim      	{{subject}}🧍             	ske-suffix                      	                            	
active	1     	dual     	prₒsḱówos         	prₒsḱówe       	             	prₒsḱṓwos       	prₒsḱóywe       	prₒsḱónts     	that person       	h₁léwdʰim      	{{subject}}🧍             	ske-suffix                      	                            	
active	2     	dual     	prₒsḱétes         	prₒsḱétom      	prₒsḱétom    	prₒsḱḗtes       	prₒsḱóytom      	prₒsḱónts     	that person       	h₁léwdʰim      	{{subject}}🧍             	ske-suffix                      	                            	
active	3     	dual     	prₒsḱétes         	prₒsḱétām      	prₒsḱétām    	prₒsḱḗtes       	prₒsḱóytām      	prₒsḱónts     	that person       	h₁léwdʰim      	{{subject}}🧍             	ske-suffix                      	                            	
active	1     	plural   	prₒsḱómos         	prₒsḱóme       	             	prₒsḱṓmos       	prₒsḱóyme       	prₒsḱónts     	that person       	h₁léwdʰim      	{{subject}}🧍             	ske-suffix                      	                            	
active	2     	plural   	prₒsḱéte          	prₒsḱéte       	prₒsḱéte     	prₒsḱḗte        	prₒsḱóyte       	prₒsḱónts     	that person       	h₁léwdʰim      	{{subject}}🧍             	ske-suffix                      	                            	
active	3     	plural   	prₒsḱónti         	prₒsḱónt       	prₒsḱóntu    	prₒsḱṓnti       	prₒsḱóyh₁nₒt    	prₒsḱónts     	that person       	h₁léwdʰim      	{{subject}}🧍             	ske-suffix                      	                            	
middle	1     	singular 	prₒsḱóh₂er        	prₒsḱóh₂e      	             	prₒsḱṓh₂er      	prₒsḱóyh₂e      	prₒsḱómnos    	                  	               	🧍{{subject}}             	ske-suffix                      	                            	
middle	2     	singular 	prₒsḱéth₂er       	prₒsḱéth₂e     	prₒsḱéso     	prₒsḱḗth₂er     	prₒsḱóyth₂e     	prₒsḱómnos    	                  	               	🧍{{subject}}             	ske-suffix                      	                            	
middle	3     	singular 	prₒsḱétor         	prₒsḱéto       	             	prₒsḱḗtor       	prₒsḱóyto       	prₒsḱómnos    	                  	               	🧍{{subject}}             	ske-suffix                      	                            	
middle	1     	dual     	prₒsḱówosdʰh₂     	prₒsḱówedʰh₂   	             	prₒsḱṓwosdʰh₂   	prₒsḱóywedʰh₂   	prₒsḱómnos    	                  	               	🧍{{subject}}             	ske-suffix                      	                            	
middle	2     	dual     	                  	               	             	                	                	prₒsḱómnos    	                  	               	🧍{{subject}}             	ske-suffix                      	                            	
middle	3     	dual     	                  	               	             	                	                	prₒsḱómnos    	                  	               	🧍{{subject}}             	ske-suffix                      	                            	
middle	1     	plural   	prₒsḱómosdʰh₂     	prₒsḱómedʰh₂   	             	prₒsḱṓmosdʰh₂   	prₒsḱóymedʰh₂   	prₒsḱómnos    	                  	               	🧍{{subject}}             	ske-suffix                      	                            	
middle	2     	plural   	prₒsḱédʰh₂we      	prₒsḱédʰh₂we   	prₒsḱédʰh₂we 	prₒsḱḗdʰh₂we    	prₒsḱóydʰh₂we   	prₒsḱómnos    	                  	               	🧍{{subject}}             	ske-suffix                      	                            	
middle	3     	plural   	prₒsḱóror         	prₒsḱóro       	             	prₒsḱṓror       	prₒsḱóyro       	prₒsḱómnos    	                  	               	🧍{{subject}}             	ske-suffix                      	                            	
active	1     	singular 	tnₒnéwmi          	tnₒnḗm         	             	tnₒnéwoh₂       	tnₒnuyéh₁mₒ     	tnnₒwónts     	                  	               	{{subject}}→🧘            	nu-suffix                       	                            	
active	2     	singular 	tnₒnéwsi          	tnₒnéws        	tnₒnéw       	tnₒnéwesi       	tnₒnuyéh₁s      	tnnₒwónts     	                  	               	{{subject}}→🧘            	nu-suffix                       	                            	
active	3     	singular 	tnₒnéwti          	tnₒnéwt        	tnₒnéwtu     	tnₒnéweti       	tnₒnuyéh₁t      	tnnₒwónts     	                  	               	{{subject}}→🧘            	nu-suffix                       	                            	
active	1     	dual     	tnₒnuwós          	tnₒnuwé        	             	tnₒnéwowos      	tnnₒwih₁wé      	tnnₒwónts     	                  	               	{{subject}}→🧘            	nu-suffix                       	                            	
active	2     	dual     	tnₒnutés          	tnₒnutóm       	tnₒnutóm     	tnₒnéwetes      	tnnₒwih₁tóm     	tnnₒwónts     	                  	               	{{subject}}→🧘            	nu-suffix                       	                            	
active	3     	dual     	tnₒnutés          	tnₒnutā´m      	tnₒnutā´m    	tnₒnéwetes      	tnnₒwih₁tā´m    	tnnₒwónts     	                  	               	{{subject}}→🧘            	nu-suffix                       	                            	
active	1     	plural   	tnₒnumós          	tnₒnumé        	             	tnₒnéwomos      	tnnₒwih₁mé      	tnnₒwónts     	                  	               	{{subject}}→🧘            	nu-suffix                       	                            	
active	2     	plural   	tnₒnuté           	tnₒnuté        	tnₒnuté      	tnₒnéwete       	tnnₒwih₁té      	tnnₒwónts     	                  	               	{{subject}}→🧘            	nu-suffix                       	                            	
active	3     	plural   	tnnₒwénti         	tnnₒwént       	tnnₒwéntu    	tnₒnéwonti      	tnnₒwih₁ént     	tnnₒwónts     	                  	               	{{subject}}→🧘            	nu-suffix                       	                            	
middle	1     	singular 	tnₒnuh₂ér         	tnₒnuh₂é       	             	tnₒnéwoh₂er     	tnnₒwih₁h₂é     	tnnₒwmₒh₁nós  	                  	               	🧍{{subject}}→🧘           	nu-suffix                       	                            	
middle	2     	singular 	tnₒnuth₂ér        	tnₒnuth₂é      	tnₒnusó      	tnₒnéweth₂er    	tnnₒwih₁th₂é    	tnnₒwmₒh₁nós  	                  	               	🧍{{subject}}→🧘           	nu-suffix                       	                            	
middle	3     	singular 	tnₒnutór          	tnₒnutó        	             	tnₒnéwetor      	tnnₒwih₁tó      	tnnₒwmₒh₁nós  	                  	               	🧍{{subject}}→🧘           	nu-suffix                       	                            	
middle	1     	dual     	tnₒnuwósdʰh₂      	tnₒnuwédʰh₂    	             	tnₒnéwowosdʰh₂  	tnnₒwih₁wédʰh₂  	tnnₒwmₒh₁nós  	                  	               	🧍{{subject}}→🧘           	nu-suffix                       	                            	
middle	2     	dual     	                  	               	             	                	                	tnnₒwmₒh₁nós  	                  	               	🧍{{subject}}→🧘           	nu-suffix                       	                            	
middle	3     	dual     	                  	               	             	                	                	tnnₒwmₒh₁nós  	                  	               	🧍{{subject}}→🧘           	nu-suffix                       	                            	
middle	1     	plural   	tnₒnumósdʰh₂      	tnₒnumédʰh₂    	             	tnₒnéwomosdʰh₂  	tnnₒwih₁médʰh₂  	tnnₒwmₒh₁nós  	                  	               	🧍{{subject}}→🧘           	nu-suffix                       	                            	
middle	2     	plural   	tnₒnudʰh₂wé       	tnₒnudʰh₂wé    	tnₒnudʰh₂wé  	tnₒnéwedʰh₂we   	tnnₒwih₁dʰh₂wé  	tnnₒwmₒh₁nós  	                  	               	🧍{{subject}}→🧘           	nu-suffix                       	                            	
middle	3     	plural   	tnₒnurór          	tnₒnuró        	             	tnₒnéworor      	tnnₒwih₁ró      	tnnₒwmₒh₁nós  	                  	               	🧍{{subject}}→🧘           	nu-suffix                       	                            	
