chapter_id	entry_id	meaning	Nenets_Phonemic	comment
11	270	destroy	yaŋgumdasʸ; taxabtasʸ	
11	310	seek, look for	pʸur̃c̷ʸ	
11	320	find	xombasʸ; xosʸ	
11	330	lose	yoc̷ʸ	
11	340	release, let go	ŋedar̃asʸ	
11	430	money	yesʸa	
11	440	coin	yesʸa	
11	510	rich	teta; sawailʸenʸa	
11	520	poor	maŋgbada	
11	530	beggar	mʸador̃ta	
11	540	avaricious, stingy	mar̃o	
11	610	lend	ŋatʸewlambasʸ	
11	620	borrow	ŋatʸewlʸesʸ	
11	640	debt	ŋatʸebʸa	
11	650	pay (vb)	saldasʸ	
11	660	account, reckoning	tolɨr̃ʔʔ	
11	690	tax, tribute	ŋewaʔ mir̃ʔʔ	
11	770	hire	nʸedwaʔʔlʸesʸ	
11	780	wages	nʸedbʸa	
11	790	earn	nʸedwac̷ʸ	
11	810	buy	temdasʸ	
11	820	sell	mir̃dac̷ʸ	
11	830	trade, barter	mir̃dapasʸ	
11	840	merchant	waskuy; mir̃datana	
11	860	store, shop	lawka; temdolawa	
11	870	price	mir̃ʔʔ	
11	880	dear (costly, expensive)	mir̃ʸeta	
11	890	cheap	mir̃c̷ʸeda	
11	910	share (distribute)	tʸar̃pasʸ	
11	920	weigh	ŋɨdabasʸ; ŋɨdasʸ	
12	10	after	puna	
12	11	behind	tʸaxaʔ; punʸana	
12	20	beside	ir̃suʔ; xewxana	
