chapter_id	entry_id	meaning	Khanty_Phonemic	comment
9	720	mold (clay etc)	wʸer̃attɨ; laktɨ	
9	730	clay	suxta	
9	740	glass	lɨs	
9	750	weave, plait	sewtɨ	
9	760	basket	xʸint; xošap	
9	770	mat	lapi	
9	780	netbag	xolap	
9	791	fan (vb)	sɨstamttɨ	
9	810	carve	lʸaktɨ; wʸer̃attɨ	
9	820	sculptor	wʸer̃attɨ xoyat	
9	880	paint (noun)	olʸup	
9	890	paint (vb)	olʸuptatɨ	
10	110	move	xatlmatɨ; yelšak nʸoxtatɨ	
10	120	turn over	kar̃ematɨ	
10	130	turn around	lar̃ɨttɨ	
10	140	wind, wrap	yuwar̃matɨ	
10	150	roll	lar̃ɨttɨ	
10	160	drop (vb)	il pawattɨ	
10	170	twist	kar̃ematɨ; kʸer̃attɨ	
10	210	rise	nux wʸer̃latɨ; nux lolʸtɨ	
10	220	raise, lift	nux alumtɨ	
10	230	fall	il pitɨyltɨ	
10	240	drip	posɨtɨ; uwtɨ	
10	250	throw	wusʸkatɨ	
10	252	catch (ball)	katltɨ; weltɨ	
10	260	shake	par̃kattɨ	
10	320	flow	uwtɨ	
10	330	sink	yiŋka šəyittɨ	
10	340	float	wəsʸtɨ; wəsʸiyltɨ	
10	350	swim	wəsʸti; wəsʸiyltɨ	
10	351	dive	mar̃tatlʸatɨ; yiŋka wuxaltɨ	
10	352	splash	r̃uwtɨ; r̃uwaltɨ	
10	360	sail (vb)	wəsʸtɨ; wəsʸiyltɨ	
10	370	fly (vb)	pər̃latɨ	
10	380	blow	pultɨ	
10	410	creep, crawl	waŋkʸiyltɨ	
10	412	kneel	šanš əxtɨyn lolʸtɨ	
10	413	crouch	makar̃lɨyltɨ	
10	420	slide, slip	wulʸkʸematɨ	
10	430	jump, leap	nawar̃matɨ	
10	431	kick	šuŋxsatɨ	
10	440	dance	yaktɨ	
10	450	walk	mantɨ; yaŋxtɨ; šuštɨ	
10	451	limp	nuxtɨ	
10	460	run	xəxaltɨ	
10	470	go	mantɨ; šəšti	
10	471	go up	nux xəŋxtɨ	
10	472	climb	xəŋxtɨ; xəŋxʸiyltɨ	
10	473	go down	il eslasʸiyltɨ	
10	474	go out	kʸim etmiyltɨ; kʸim etlʸatɨ; kʸim etmatɨ	
10	480	come	yuxattɨ; yuxatɨyltɨ	
10	481	come back	yuxlɨ kʸer̃lɨyltɨ; yuxʸi yuxattɨ	
10	490	go away, depart	kʸim ettɨ	
10	491	disappear	wəšiyltɨ	
10	510	flee	xəxalti	
10	520	follow	kusʸtɨ; ar̃tasʸman wanttɨ	
10	530	pursue	nʸoxaltɨ	
10	550	reach, arrive	yuxattɨ	
10	560	approach	wanemiyltɨ	
10	570	enter	luŋtɨ	
10	610	carry (bear)	tətɨ; altɨ	
10	612	carry-in-hand	yoš lɨpʸiyn altɨ	
10	613	carry-on-shoulder	laŋkar̃ əxtɨyn altɨ	
10	614	carry-on-head	ux əxtɨyn alti	
10	615	carry-underarm	puxal lɨpʸiyn altɨ	
10	620	bring	tətɨ	
10	630	send	kittɨ	
10	640	lead (vb)	wanltatɨ; tətɨ	
10	650	drive	wošattɨ	
10	660	ride	mantɨ	
10	670	push, shove	pəxaltɨ	
10	710	road	yəš; pant	
10	720	path	yəš xər̃	
10	740	bridge	untas	
10	760	wheel	lak	
