chapter_id	entry_id	meaning	Hungarian_Standard	Hungarian_Phonemic	comment
8	940	bamboo	bambusz	bambus	
8	941	sugar cane	cukornád	c̷ukornaad	
8	970	nettle	czalán	čalaan	
8	980	mushroom	gomba	gomba	
9	110	do, make	tesz; czinál; készít	tes; činaal; keesiit	
9	120	work	dolgozik	dolgozik	
9	140	bend	haylít	hayliit	
9	150	fold	haytogat	haytogat	
9	160	tie, bind	köt	köt	
9	161	untie	kibont	kibont	
9	180	chain	lánc	laanc̷	
9	190	rope, cord	kötél	köteel	
9	192	knot (noun)	czomo	čomo	
9	210	strike (hit, beat)	üt; ver; czap	üt; wer; čap	
9	211	pound with fist	kalapál	kalapaal	
9	220	cut	vág	waag	
9	221	cut down	levág	lewaag	
9	222	chop, hew	hasogat; vág	hašogat; waag	
9	223	stab	szúr; megkésel	suur; megkeešel	
9	230	knife	kés	keeš	
9	240	scissors, shears	olló	olloo	
9	250	ax	balta; feysze	balta; feyse	
9	251	adze	bárd; feysze; bodnarkés	baard; feyse; bodnarkeeš	
9	260	break	tör	tör	
