chapter_id	entry_id	meaning	Erzya Mordvin_Phonemic	comment
10	150	roll	kever̃ʸdʸems	
10	160	drop (vb)	pr̃avtoms	
10	170	twist	pur̃davks	
10	210	rise	stʸams	
10	220	raise, lift	kepedʸems	
10	230	fall	pr̃ams	
10	240	drip	bayde; kolʸgems	
10	250	throw	yor̃toms	
10	252	catch (ball)	kundams	
10	260	shake	sor̃novtoms	
10	320	flow	čudʸems	
10	330	sink	vayams	
10	340	float	uyems	
10	350	swim	ekšelʸems	
10	351	dive	čopavtʸems	
10	352	splash	pur̃ksʸems	
10	360	sail (vb)	uyems	
10	370	fly (vb)	lʸivtʸams	
10	380	blow	puvams	
10	410	creep, crawl	yozmoldoms	
10	412	kneel	uytams peke kisʸke langso	
10	413	crouch	menčevems; komams	
10	420	slide, slip	kir̃ʸakstoms	
10	430	jump, leap	kir̃ʸnʸavtoms	
10	431	kick	psʸtʸidʸems	
10	440	dance	kištʸems	
10	450	walk	yakams	
10	451	limp	kr̃omozʸdʸems	
10	460	run	čiyems	
10	470	go	molʸems	
10	471	go up	kuzʸems	
10	472	climb	kuzʸems	
10	473	go down	valgoms	
10	474	go out	lʸisʸems	
10	480	come	sams	
10	481	come back	velʸavtoms	
10	490	go away, depart	lʸisʸems	
10	491	disappear	yomams	
10	510	flee	ar̃doms	
10	520	follow	var̃štams	
10	530	pursue	melʸga panʸc̷ʸems; melʸga vanoms	
10	550	reach, arrive	pačkodʸems	
10	560	approach	pačkodʸekšnʸems	
10	570	enter	sovams	
10	610	carry (bear)	kandoms	
10	612	carry-in-hand	kandoms	
10	613	carry-on-shoulder	kandɨc̷ʸa	
10	614	carry-on-head	kandɨc̷ʸa	
10	615	carry-underarm	kedʸse kandoma	
10	620	bring	kandoms	
10	630	send	kučoms	
10	640	lead (vb)	vetʸams	
10	650	drive	vetʸams	
10	660	ride	ar̃doms	
10	670	push, shove	tulkaems	
10	710	road	ki	
10	720	path	yan	
10	740	bridge	sedʸ	
10	750	carriage, wagon, cart	kr̃andaz	
10	760	wheel	čar̃ɨ	
10	770	axle	petʸkelʸ	
10	780	yoke	aško	
10	810	ship	venč	
10	830	boat	venč	
10	831	canoe	kanoe	
10	840	raft	plot	
10	850	oar	milʸo	
10	851	paddle (noun)	milʸo	
10	852	row (vb)	milʸoms	
10	860	rudder	r̃ulʸ	
10	870	mast	mačta	
10	880	sail (noun)	par̃us	
10	890	anchor	yakor̃ʸ	
10	910	harbor, port	gavanʸ	
10	920	land (vb)	moda langs čalgams	
11	110	have	ulʸems	
11	120	own, possess	kir̃ʸdʸems	
11	130	take	tʸeyems; sayems	
11	140	seize, grasp	kunʸc̷ʸems; avtor̃dams	
11	150	hold	kir̃ʸdʸems	
11	160	get, obtain	sayems	
11	170	keep, retain	kir̃ʸdʸems	
11	180	thing	tamaša	
11	210	give	maksoms	
11	220	give back	velʸavtoms	
11	240	preserve, look after	vanstoms	
11	250	save, rescue	idʸems	
11	270	destroy	kalavtoms	
11	280	harm, injure, damage	zɨyan kandoms	
11	310	seek, look for	vešnʸems	
11	320	find	mukšnoms	
11	330	lose	yomavtoms	
11	340	release, let go	noldams	
11	430	money	yar̃mak	
11	440	coin	yar̃mak	
11	510	rich	sʸupav	
11	520	poor	kažov	
11	530	beggar	pur̃nɨc̷ʸa	
11	540	avaricious, stingy	žadnoyči	
11	610	lend	maksoms	
11	620	borrow	dolks sayems	
11	630	owe	ulems dolkso	
11	640	debt	dolk	
