chapter_id	entry_id	meaning	Udmurt_Phonemic	comment
9	240	scissors, shears	kac̷ʸɩ	
9	250	ax	tɩr̃	
9	251	adze	lusyɩnɩ	
9	260	break	tɩyanɩ; sër̃ɩnɩ	
9	261	broken	tɩyasʸkem; sër̃isʸkem	
9	270	split	pilʸɩnɩ	
9	280	tear	kɩskanɩ; iškanɩ	
9	290	flay, skin	kesʸanɩ; nʸiɩnɩ	
9	310	rub, wipe	zɩr̃anɩ	
9	320	stretch	zoltɩnɩ; nuytɩnɩ	
9	330	pull	kɩskɩnɩ	
9	340	spread out	valʸɩnɩ	
9	341	hang up	ošɩnɩ	
9	342	press	pac̷ʸkatɩnɩ	
9	343	squeeze, wring	pac̷ʸkaton	
9	350	pour	kisʸtɩnɩ	
9	360	wash	misʸkɩnɩ	
9	370	sweep	čužɩnɩ	
9	380	broom	čužon	
9	422	tool	tir̃lɩk	
9	430	carpenter	lesʸtisʸkisʸ	
9	440	build	lesʸtɩnɩ; puktɩnɩ	
9	460	bore	por̃tɩnɩ	
9	461	hollow out	yar̃dur̃ez gɩltɩnɩ	
9	480	saw	bɩc̷ʸkɩ	
9	490	hammer	molot	
9	500	nail	kor̃tčog	
9	560	glue	lʸem	
9	600	smith, blacksmith	dur̃isʸ; dur̃isʸkisʸ	
9	610	forge	dur̃ɩnɩ	
9	620	anvil	sandal	
9	630	cast (metals)	kisʸtɩnɩ	
9	640	gold	zar̃nʸi	
9	650	silver	azvesʸ	
9	660	copper, bronze	ɩr̃gon	
9	670	iron	kor̃t	
9	680	lead (noun)	sʸëd uzvesʸ	
9	690	tin, tinplate	tëdʸɩ uzvesʸ	
9	710	potter	sʸuy posuda lesʸtisʸ	
9	720	mold (clay etc)	lesʸtɩnɩ	
9	730	clay	gor̃d sʸuy	
9	740	glass	piyala	
9	750	weave, plait	ker̃ttɩnɩ	
9	760	basket	kor̃zʸina	
9	770	mat	pic̷ʸi kovʸor̃	
9	771	rug	kovʸor̃	
9	780	netbag	sʸetka	
9	790	fan (noun)	veyer̃	
9	791	fan (vb)	šonasʸkɩnɩ	
9	810	carve	vandɩnɩ	
9	820	sculptor	skulʸptor̃	
9	830	statue	'statuya	
9	840	chisel	ožon	
9	880	paint (noun)	buyol	
9	890	paint (vb)	buyanɩ	
10	110	move	dongɩnɩ; vɩr̃ǰʸɩtɩnɩ	
10	120	turn over	ber̃ɩktɩnɩ	
10	130	turn around	ber̃gatɩnɩ	
10	140	wind, wrap	binʸɩnɩ; binʸaltɩnɩ	
10	150	roll	pogɩlʸtɩnɩ; pitɩr̃tɩnɩ	
10	160	drop (vb)	kuštɩnɩ; usʸkɩtɩnɩ	
10	170	twist	pozɩr̃tɩnɩ	
10	210	rise	sultɩnɩ	
10	220	raise, lift	ǰutɩnɩ	
10	230	fall	usʸɩnɩ	
10	240	drip	šapɩken viyanɩ	
10	250	throw	kuštɩnɩ; ser̃paltɩnɩ	
10	252	catch (ball)	kutɩnɩ	
10	260	shake	vɩr̃etɩnɩ	
10	320	flow	bɩzʸɩnɩ; viyanɩ	
10	330	sink	vɩyɩtɩnɩ; zɩmɩtɩnɩ	
10	340	float	uyanɩ	
10	350	swim	pɩlasʸkɩnɩ	
10	351	dive	zɩmɩnɩ	
10	352	splash	pazʸasʸkɩnɩ	
10	360	sail (vb)	uyanɩ	
10	370	fly (vb)	lobǰʸɩnɩ	
10	380	blow	pelʸtɩnɩ	
10	410	creep, crawl	nʸužtisʸkɩnɩ	
10	412	kneel	pɩdʸesyasʸkɩnɩ	
10	413	crouch	kuasalskɩnɩ	
10	420	slide, slip	gɩlǰʸɩnɩ; nʸiskɩlskɩnɩ	
10	430	jump, leap	tetc̷ʸɩnɩ	
