chapter_id	entry_id	meaning	Northern Saami_Phonemic	comment
6	750	necklace	čeɑbetviðyi	
6	760	bead	beɑr̃ɑl	
6	770	earring	beɑllyer̃iekkis	
6	780	headband, headdress	gallobaddi	
6	810	handkerchief, rag	ɲunneliidni; libɑr̃; lihpad͜zɑs	
6	820	towel	sihkɑldɑt	
6	910	comb	čohkun	
6	920	brush	gustɑ	
6	921	braid	bar̃gidit	
6	930	razor	rahkenniibi	
6	940	ointment	vuoiddɑs	
6	950	soap	saibu	
6	960	mirror	speɑdyɑl	
7	110	dwell, live	or̃r̃ut; assɑt	
7	120	house	viessu	
7	130	hut	stohpu	
7	140	tent	teɑlta	
7	150	yard, court	šillyu	
7	210	room	lɑtɲɑ	
7	220	door, gate	uksɑ	
7	221	doorpost, jamb	uksɑbeɑlis	
7	230	lock (noun)	lassɑ	
7	231	latch, door-bolt	liŋka	
7	240	key	čoɑvddɑ	
7	250	window	lase	
7	260	floor	lahtti	
7	270	wall	seɑidni	
7	310	fireplace	biise	
7	320	stove	oɑmɑ	
7	330	chimney	suovvɑbohc̷c̷i	
7	370	ladder	raidɑlɑs	
7	420	bed	seɑŋgɑ	
7	421	pillow	bolsttɑr̃	
7	430	chair	stuollu	
7	440	table	beɑvdi	
7	450	lamp, torch	lampa; spaiddɑr̃	
7	460	candle	ginttɑl	
7	470	shelf	hildu	
7	480	trough	gar̃r̃i	
7	510	roof	dahkki	
7	520	thatch	oɑlgɑ	
7	530	ridgepole	har̃yehir̃sɑ	
7	540	rafter	bielkɑ	
7	560	post, pole	čuoldɑ	
7	570	board	lavdi	
7	580	arch	geɑvli	
7	610	mason	muvr̃ar̃	
7	620	brick	diilɑ	
8	110	farmer	bondde	
8	120	field (for cultivation)	beɑldu	
8	130	garden	šɑddogar̃di	
8	150	cultivate, till	šɑddɑdit	
8	160	fence	aidi	
8	170	ditch	goivvohɑt	
8	210	plow	veltet	
8	220	dig	goɑivut	
8	230	spade	goɑivu	
8	240	shovel	goɑivu	
8	250	hoe	guohkki	
8	260	fork	haŋgu	
8	270	rake	har̃at	
8	310	sow	gilvit	
8	311	seed	siepmɑn	
8	320	mow, reap	laddyet	
8	330	sickle, scythe	sir̃pe	
8	340	thresh	gor̃dnet	
8	410	crop, harvest	šɑddu	
8	420	grain (barley, oats etc)	gor̃dni	
8	430	wheat	nisu	
8	440	barley	bivgi	
8	450	rye	r̃ogɑš	
8	460	oats	havvɑr̃	
8	470	maize, corn	maisɑ	
8	480	rice	r̃issi	
8	510	grass	r̃assi	
8	520	hay	suoidni	
8	530	plant (noun)	šɑddu	
8	531	plant (vb)	bidyɑt	
8	540	root	r̃uohtɑs	
8	550	branch	oɑksi	
8	560	leaf	lɑstɑ	
8	570	flower	lieðði	
8	600	tree	muor̃r̃ɑ	
8	610	oak	eɑikɑ	
8	620	beech	beɑikɑ	
8	630	birch	soɑhki	
8	640	pine	beɑhc̷i	
8	650	fir	guossɑ	
8	670	vine	viidnigoɑkc̷u	
8	680	tobacco	duhpat	
8	690	smoke (tobacco)	bor̃gguhit	
8	691	pipe	biipu	
8	720	tree stump	yɑlŋŋis	
8	730	tree trunk	gɑldɑ	
8	740	forked branch	oɑksi	
8	750	bark	gɑr̃r̃ɑ	
8	760	sap	maihli	
8	810	palm tree	balbmɑ	
8	820	coconut	kohkosnietti	
8	840	banana tree	bɑnanɑ muor̃r̃ɑ	
8	931	pumpkin, squash	gur̃bbet	
8	940	bamboo	bambu	
8	941	sugar cane	sohkɑr̃bohc̷c̷i	
8	970	nettle	boɑldalɑs	
8	980	mushroom	guoppɑr̃	
9	110	do, make	dɑhkɑt	
9	120	work	bɑr̃gɑt	
9	140	bend	soyɑhit	
9	150	fold	mahc̷c̷ɑstit	
9	160	tie, bind	čɑtnɑt	
9	161	untie	čoɑvdit	
9	180	chain	r̃iggi	
9	190	rope, cord	baddi	
9	192	knot (noun)	čuolbmɑ	
9	210	strike (hit, beat)	huškut	
9	211	pound with fist	čor̃bmɑdit	
9	220	cut	čuohppɑt	
9	221	cut down	ɲaskɑt	
9	222	chop, hew	čuollɑt	
