*	*	*	*	nominative	genitive	dative	accusative	vocative	#	attic														
cow	dual 	feminine	latin	bóe	booîn	booîn	bóe	bóe	#	3														
cow	plural	feminine	greek	βόες	βοῶν	βουσί / βουσίν	βοῦς	βόες	#	3														
cow	plural	feminine	latin	bóes	boôn	bousí(n)	boûs	bóes	#	3														
																								
old woman	singular 	feminine	greek	γραῦς	γρᾱός	γρᾱΐ	γραῦν	γραῦ	#	3														
old woman	singular 	feminine	latin	graûs	grāós	grāḯ	graûn	graû	#	3														
old woman	dual 	feminine	greek	γρᾶε	γρᾱοῖν	γρᾱοῖν	γρᾶε	γρᾶε	#	3														
old woman	dual 	feminine	latin	grâe	grāoîn	grāoîn	grâe	grâe	#	3														
old woman	plural	feminine	greek	γρᾶες	γρᾱῶν	γραυσῐ́ / γραυσῐ́ν	γραῦς	γρᾶες	#	3														
old woman	plural	feminine	latin	grâes	grāôn	grausí(n)	graûs	grâes	#	3														
																								
echo	singular 	feminine	greek	ἠχώ	ἠχοῦς	ἠχοῖ	ἠχώ	ἠχοῖ	#	3														
echo	singular 	feminine	latin	ēkhṓ	ēkhoûs	ēkhoî	ēkhṓ	ēkhoî	#	3														
																								
Clio	singular	feminine	greek	Κλειώ	Κλειοῦς	Κλειοῖ	Κλειώ	Κλειοῖ	#	3														
Clio	singular	feminine	latin	Kleiṓ	Kleioûs	Kleioî	Kleiṓ	Kleioî	#	3														
																								
crow	singular 	masculine	greek	κόρᾰξ	κόρᾰκος	κόρᾰκῐ	κόρᾰκᾰ	κόρᾰξ	#	3														
crow	singular 	masculine	latin	kórax	kórakos	kóraki	kóraka	kórax	#	3														
crow	dual 	masculine	greek	κόρᾰκε	κορᾰ́κοιν	κορᾰ́κοιν	κόρᾰκε	κόρᾰκε	#	3														
crow	dual 	masculine	latin	kórake	korákoin	korákoin	kórake	kórake	#	3														
crow	plural	masculine	greek	κόρᾰκες	κορᾰ́κων	κόρᾰξῐ / κόρᾰξῐν	κόρᾰκᾰς	κόρᾰκες	#	3														
crow	plural	masculine	latin	kórakes	korákōn	kóraxi(n)	kórakas	kórakes	#	3														
																								
vulture	singular 	masculine	greek	γῡ́ψ	γῡπός	γῡπῐ́	γῦπᾰ	γῡ́ψ	#	3														
vulture	singular 	masculine	latin	gū́ps	gūpós	gūpí	gûpa	gū́ps	#	3														
vulture	dual 	masculine	greek	γῦπε	γῡποῖν	γῡποῖν	γῦπε	γῦπε	#	3														
vulture	dual 	masculine	latin	gûpe	gūpoîn	gūpoîn	gûpe	gûpe	#	3														
vulture	plural	masculine	greek	γῦπες	γῡπῶν	γῡψῐ́ / γῡψῐ́ν	γῦπᾰς	γῦπες	#	3														
vulture	plural	masculine	latin	gûpes	gūpôn	gūpsí(n)	gûpas	gûpes	#	3														
																								
rug	singular 	masculine	greek	τᾰ́πης	τᾰ́πητος	τᾰ́πητῐ	τᾰ́πητᾰ	τᾰ́πης	#	3														
rug	singular 	masculine	latin	tápēs	tápētos	tápēti	tápēta	tápēs	#	3														
rug	dual 	masculine	greek	τᾰ́πητε	τᾰπήτοιν	τᾰπήτοιν	τᾰ́πητε	τᾰ́πητε	#	3														
rug	dual 	masculine	latin	tápēte	tapḗtoin	tapḗtoin	tápēte	tápēte	#	3														
rug	plural	masculine	greek	τᾰ́πητες	τᾰπήτων	τᾰ́πησῐ/τᾰ́πησῐν	τᾰ́πητᾰς	τᾰ́πητες	#	3														
rug	plural	masculine	latin	tápētes	tapḗtōn	tápēsi(n)	tápētas	tápētes	#	3														
																								
giant	singular 	masculine	greek	γίγας	γίγαντος	γίγαντι	γίγαντα	γίγαν	#	3														
giant	dual 	masculine	greek	γίγαντε	γιγάντοιν	γιγάντοιν	γίγαντε	γίγαντε	#	3														
giant	plural 	masculine	greek	γίγαντες	γιγάντων	γίγασι	γίγαντας	γίγαντες	#	3														
																								
tooth	singular 	masculine	greek	ὀδούς	ὀδόντος	ὀδόντῐ	ὀδόντᾰ	ὀδόν	#	3														
tooth	singular 	masculine	latin	odoús	odóntos	odónti	odónta	odón	#	3														
tooth	dual 	masculine	greek	ὀδόντε	ὀδόντοιν	ὀδόντοιν	ὀδόντε	ὀδόντε	#	3														
tooth	dual 	masculine	latin	odónte	odóntoin	odóntoin	odónte	odónte	#	3														
tooth	plural	masculine	greek	ὀδόντες	ὀδόντων	ὀδοῦσῐ/ὀδοῦσῐν	ὀδόντᾰς	ὀδόντες	#	3														
tooth	plural	masculine	latin	odóntes	odóntōn	odoûsi(n)	odóntas	odóntes	#	3														
																								
old man	singular 	masculine	greek	γέρων	γέροντος	γέροντῐ	γέροντᾰ	γέρον	#	3														
old man	singular 	masculine	latin	gérōn	gérontos	géronti	géronta	géron	#	3														
old man	dual 	masculine	greek	γέροντε	γερόντοιν	γερόντοιν	γέροντε	γέροντε	#	3														
old man	dual 	masculine	latin	géronte	geróntoin	geróntoin	géronte	géronte	#	3														
old man	plural	masculine	greek	γέροντες	γερόντων	γέρουσῐ/γέρουσῐν	γέροντᾰς	γέροντες	#	3														
old man	plural	masculine	latin	gérontes	geróntōn	gérousi(n)	gérontas	gérontes	#	3														
																								
property	singular 	neuter	greek	κτῆμᾰ	κτήμᾰτος	κτήμᾰτῐ	κτῆμᾰ	κτῆμᾰ	#	3														
property	singular 	neuter	latin	ktêma	ktḗmatos	ktḗmati	ktêma	ktêma	#	3														
property	dual 	neuter	greek	κτήμᾰτε	κτημᾰ́τοιν	κτημᾰ́τοιν	κτήμᾰτε	κτήμᾰτε	#	3														
property	dual 	neuter	latin	ktḗmate	ktēmátoin	ktēmátoin	ktḗmate	ktḗmate	#	3														
property	plural	neuter	greek	κτήμᾰτᾰ	κτημᾰ́των	κτήμᾰσῐ/κτήμᾰσῐν	κτήμᾰτᾰ	κτήμᾰτᾰ	#	3														
