dɪkʃnɛri	dictionary
baɪn	bine
lɒŋlaɪvd	long-lived
lɒŋlɪvd	long-lived
lidər	lieder
ɛkskəveɪt	excavate
hɪdælgəʊ	hidalgo
ɪdɑlgəʊ	hidalgo
eɪmɛnʃə	amentia
əmɛnʃə	amentia
æbətəsəz	abatises
bɛgz	begs
hɔɪsts	hoists
droʊvz	droves
peɪlz	pails
ɛdɪts	edits
dɪvɛləpərz	developers
klæps	claps
deɪnz	danes
glɪtʃɪz	glitches
ɔtɒmətə	automata
ɔtɑmətənz	automatons
ɔtɑmətɑnz	automatons
ɑtɑmətənz	automatons
ɑtɑmətɑnz	automatons
gʌltʃ	gulch
veɪnz	vanes
smɪθs	smiths
breɪz	brays
krɪmps	crimps
kluz	clues
gɪgz	gigs
sneərz	snares
ægəniz	agonies
nʌnz	nuns
eɪlɪənɪsts	alienists
æntɪks	antics
sɪmbəlz	cymbals
əlʌmni	alumnae
əlʌmneɪ	alumnae
traɪædz	triads
deɪlz	dales
pæstiz	pasties
peɪstiz	pasties
bʌnz	buns
æntiks	antiques
bleɪzɪz	blazes
daɪmz	dimes
kædz	cads
piks	piques
giks	geeks
gɒdmʌðəz	godmothers
dʒeɪlz	jails
æfəsiz	apheses
wɪgz	wigs
gɪnizoʊθ	genizoth
fʌŋks	funks
baʊntiz	bounties
pænəlz	panels
bɪgiz	biggies
pɪks	pics
æmps	amps
kaʊlz	cowls
fraɪts	frights
graʊlz	growls
neɪvz	knaves
spraɪts	sprites
talis	tallies
taɪpoʊz	typos
klæmz	clams
ædəlɪŋz	adelings
mɑdʒulz	modules
numənə	noumena
fjugz	fugues
bloʊks	blokes
kʌfs	cuffs
kʌnʃɛrti	concerti
ɒbləkwiz	obloquies
ɔbləkwiz	obloquies
haʊzɪŋz	housings
pædiz	paddies
ælbəkɔrz	albacores
sɛtɪŋz	settings
ɛlmz	elms
plumz	plumes
tɜrmənaɪ	termini
strætədʒəmz	stratagems
mɑdɪkə	modica
æluz	aloos
braʊzərs	browsers
brɪmz	brims
sɛləz	sellers
frɛnɪmiz	frenemies
stiliz	steles
gliks	gleeks
ɛrəlʌɪts	aerolites
nɑrkoʊsiz	narcoses
kɒgnoʊmənz	cognomens
kɒgnɒmənə	cognomina
jɑrdmɛn	yardmen
pæθɪks	pathics
sɪkwili	sequelae
stili	stelae
læʃɪŋz	lashings
hɪtɪŋz	hittings
graɪndɪŋz	grindings
ɪnʒɛkt	inject
dʒɛntʃn	gentian
drɑpə	drapa
ænθrəpɒmɪtrɪ	anthropometry
stəlæktaɪt	stalactite
stəlægmaɪt	stalagmite
əkrɒpəlɪs	acropolis
əlivieɪʃn	alleviation
bɜrbət	burbot
frɛnʃ meɪd	french maid
pɒdgərɪtsa	podgorica
weərəbl	wearable
bəboʊti	bobotie
boʊbəti	bobotie
ɪrɪspɛktɪv	irrespective
saɪkoʊpæθs	psychopaths
saɪkoʊpæθɪk	psychopathic
saɪkəpæθɪk	psychopathic
ɪgridʒəsli	egregiously
krɛm bruleɪ	crème brûlée
stupɪŋ	stooping
groʊnd	groaned
hɛlps	helps
tʃejst	chased
ədʒʌstɪd	adjusted
ədʒʌsts	adjusts
kʌpəld	coupled
spidɪŋ	speeding
saɪɪŋ	sighing
flʌdɪŋ	flooding
blɛndɪd	blended
bruzd	bruised
spaɪsɪz	spices
fjutjʊərɪti	futurity
fjutʃʊərɪti	futurity
skrɪpts	scripts
brɔdweɪ	broadway
dʒinz	genes
mɛrənɪm	meronym
əmaʊntɪd	amounted
biətrɪs	beatrice
biætrɪs	beatrice
noʊ	noh
sɪər	cere
kɛnədi	kennedy
ɪnʒɛnjuəs	ingenuous
boʊnɪŋ	boning
tənoʊ	tonneau
grʌbi	grubby
ɪrəspɑnsɪbəl	irresponsible
steɪdʒkoʊtʃ	stage-coach
swɔdəl	swaddle
swɑdəl	swaddle
maʊntɪnɪr	mountaineer
mãʊnniər	mountaineer
mæʊnniər	mountaineer
ilɛktrθlɪtɪk	electrolytic
ərɑtɪk æsɪd	orotic acid
frɪli	frilly
vɪʒuələzeɪʃn	visualization
vɪʒwələzeɪʃn	visualization
taɪlər	tyler
stɑrkərz	starkers
sɪnken	cinquain
trɪljənɛər	trillionaire
ɑrbɪtrɑʒ	arbitrage
ɑrbɪtrɪdʒ	arbitrage
kweɪntli	quaintly
wɛərwɪð	wherewith
wɛərwɪθ	wherewith
grulɪŋ	gruelling
gruəlɪŋ	gruelling
mɪnəstɪəriəm	ministerium
kwɑlɪfaɪər	qualifier
əskwɒt	asquat
səsɛptəbɪlɪti	susceptibility
spɛlɪŋz	spellings
hɪts	hits
ʌndrɛmt	undreamt
sgrəfitoʊ	sgraffito
skrəfitoʊ	sgraffito
fʊlgɪərəs	fulgurous
duʃbæg	douchebag
naɪtraɪdiŋ	nitriding
spæzmɑdɪk	spasmodic
kɑŋʃi	kangxi
bɔdɪli	bawdily
nægər	nagger
freɪzəl	phrasal
fasɔ də parle	façon de parler
tæriər	tarrier
tɑriər	tarrier
blidɪŋhɑt	bleeding-heart
ʃɔtkʌts	shortcuts
kik	keek
vɔrpl	vorpal
dɪdeɪliən	daedalian
ɪtərətɪv	iterative
ɪtəreɪtɪv	iterative
pɛrsənəlaɪzeɪʃn	personalization
-lɪzeɪʃn	personalization
wɪspi	wispy
gəʊdi	godi
ʃilɪŋ	shieling
ʃil	shiel
tɛləsɪneɪ	telecine
ɪgzʌlt	exult
ɑksɪmətər	oximeter
-tər	oximeter
smɛtənə	smetana
pərɪdətaɪt	peridotite
pɛrməfrɔst	permafrost
foʊr hʌndrəd	four hundred
fɔr hʌndrɪd	four hundred
sɪks hʌndrəd	six hundred
sɪks hʌndrɪd	six hundred
sɛvən hʌndrəd	seven hundred
sɛvən hʌndrɪd	seven hundred
eɪt hʌndrəd	eight hundred
eɪt hʌndrɪd	eight hundred
naɪn hʌndrəd	nine hundred
naɪn hʌndrɪd	nine hundred
blækfeɪs	blackface
butəniər	boutonniere
butənjɛr	boutonniere
drɛnʃ	drench
drɛnʃt	drenched
bɛgəri	beggary
fɪlz	fills
ədmɪts	admits
prɑsɛsərz	processors
groʊnz	groans
tjuns	tunes
bits	beats
stævz	staves
wɪlz	wills
wɔtərd	watered
steɪz	stays
ænɪkdoʊts	anecdotes
hɪli	hilly
bɛndz	bends
kæmps	camps
paʊdərd	powdered
fɛərər	fairer
soʊpi	soapy
kɪlz	kills
stæbd	stabbed
pærəglaɪdɪŋ	paragliding
taʊərɪŋ	towering
sɪŋsɒŋ	singsong
glimd	gleamed
ənælɪsiz	analyses
ənæləsiz	analyses
ænəlaɪzɪz	analyses
ænəlaɪzəz	analyses
graʊndbreɪkɪŋ	groundbreaking
dəbɛl	debel
gʌvərnərət	governorate
mɛgæpɒlɪs	megapolis
ɛkjumɛnɒpəlɪs	ecumenopolis
hibɪfrinɪə	hebephrenia
klɛpsɪdrə	clepsydra
hɒtspɜr	hotspur
mærəveɪdi	maravedi
əsɛptɪk	aseptic
swɪtʃbæk	switchback
sɪntægmə	syntagma
luʒvoʊ	lujvo
tænru	tanru
dʒɛmbeɪ	djembe
fɔɪst	foist
noʊ dɪgɪti	no diggity
pɪdɑmətər	pedometer
fɒsdʒin	phosgene
fɒzdʒin	phosgene
grɑ pri	grand prix
grɒ pri	grand prix
æbkulɑm	abcoulomb
dɪskəntɛntɛd	discontented
klæŋk	clank
dʌmiz	dummies
mɛtəfɪzɪkəl	metaphysical
brut fɔrs	brute force
dʒɛlətɒlədʒi	gelotology
dæsɪfɪləs	dasyphyllous
-sə-	dasyphyllous
fæbi	fabby
spʌtər	sputter
daɪədʒɛtɪk	diegetic
səʊlənt	solent
bɛn nɛvɪs	ben nevis
brɛkən	brecon
pærəlɪtɪk	paralytic
mɒntɪnigrɪn	montenegrin
-neɪgrɪn	montenegrin
tɛnsɪz	tenses
prɛpoʊzɪʃnz	prepositions
mæjoʊ	maillot
flʊrɑn	fleuron
flurɑn	fleuron
flɛrɑn	fleuron
spɛt	spet
fudz	foods
raɪmɪŋ	rhyming
vaʊəlz	vowels
vaʊlz	vowels
hɛdəs	headers
hɛdərs	headers
kaʊri	cowrie
dɪsɪluʒənmənt	disillusionment
ɪŋkrɛdɪbli	incredibly
kəmpleɪsəns	complacence
lɑkstɪtʃ	lockstitch
eɪnə	eina
kəlʌmnieɪt	calumniate
wɛrd	word
bjuti ɪz ɪn ði aɪ əv ði bɪhəʊldə	beauty is in the eye of the beholder
sɛnɑriəʊz	scenarios
kɑrbəneɪdoʊ	carbonado
rueɪ	roué
əʊvərprɪnt	overprint
sɜrtʃɑrdʒ	surcharge
rɛzəneɪt	resonate
keɪti	katy
dʒoʊdi	jody
dɑlin	darlene
ʃɑrlin	charlene
gwɪnɪvɪr	guinevere
kɑrmɪnətɪv	carminative
sʌkʃn	suction
kiɑŋ	kiang
sʌkʃn kʌp	suction cup
mɪnəstiriəl	ministerial
slʌts	sluts
mɑrvələs	marvelous
tʃɑrmər	charmer
rʌsts	rusts
murə	mura
njuk	nuc
rætaɪt	ratite
sɛnseɪʃnz	sensations
rɪkɒnəsəns	reconnaissance
rɛki	recce
rikɑn	recon
rɪkɑn	recon
rɒrkwəl	rorqual
kɛərn	cairn
strɪd	strid
bɛθləhɛm	bethlehem
bɛθlihɛm	bethlehem
dɪsjus	disuse
əsɪriən	assyrian
prɑsɛsəɑr	processor
fɔrəsi	phoresy
baɪrɪfrɪnʒəns	birefringence
glaɪdz	glides
hufs	hoofs
hʊfs	hoofs
hʊfɪŋ	hoofing
hʊft	hoofed
sɪnʃɪz	cinches
sɪnʃɪŋ	cinching
sɪnʃt	cinched
vaɪəleɪtɪŋ	violating
ʌnjuzd	unused
ʌnjust	unused
vaɪld	vild
dɛftli	deftly
ælɪmænɪk	alemannic
æləmænɪk	alemannic
eɪsɪŋkrənəs	asynchronous
swɛlt	swelt
klæg	clag
rɔs	ross
sɪdʒɪl	sigil
sɪdʒəl	sigil
hændəlbɑr	handlebar
rɪmuvər	remover
kæmpt	camped
krus	cruse
kruz	cruse
rædʒi	radgie
isɔ	esau
bətwinsɪləændkərɪbdɪs	between scylla and charybdis
bətwinsɪlərændkərɪbdɪs	between scylla and charybdis
sɛrdʒ	serge
kərtəl	kirtle
-təl	kirtle
rɪvɜrbəreɪt	reverberate
ɪgzænɪmɪt	exanimate
ɪgzænɪmeɪt	exanimate
sɛntrɪfjəgəl	centrifugal
sɛntrəfjugəl	centrifugal
bɑrbɪtjʊrɪk æsɪd	barbituric acid
kɔzətɪv	causative
fɛrbæŋks	fairbanks
bɛrtən	burton
bɛsi	bessie
wʊdstɒk	woodstock
glæstənbri	glastonbury
dɒrɪs	doris
neɪmspeɪs	namespace
ɒrɪs	rhymes:english/ɒɹɪs
pænenthiist	panentheist
pænenthiists	panentheists
dʌmpi	dumpy
dimətɪriəlaɪz	dematerialize
pænɛnθiɪstɪk	panentheistic
grɪdlɑk	gridlock
ripərkʌʃn	repercussion
rɛpərkʌʃn	repercussion
ɑfθəlmɑlədʒɪst	ophthalmologist
ɑpθəlmɑlədʒɪst	ophthalmologist
ɑfθælmɑlədʒɪst	ophthalmologist
ɪnfæləbəl	infallible
flæʃi	flashy
maɪdəs	midas
kilɔɪd	keloid
bɛdwɛtər	bedwetter
pɑlidʒɪnændri	polygynandry
æntaɪəkəs	antiochus
əbɪməlɛk	abimelech
æbzələm	absalom
idəm	edom
dʒəʊæb	joab
bɪzəntin ɛmpaɪər	byzantine empire
skoʊldɪŋ	scolding
vrɪdi	vrddhi
feɪdɪŋ	fading
ɛdʒd	edged
paɪlətɪŋ	piloting
paɪn nʌt	pine nut
tɔlɪst	tallest
oʊkər	ocher
dɪpliʃn	depletion
klaɪn	cline
sjupɜrmədʒɔrɪti	supermajority
kɑŋkjəbaɪnz	concubines
daʊnz	downs
paʊər kɔrd	power chord
fɪfθs	fifths
fɪθs	fifths
fɪfts	fifths
pænəndiɪzəm	panendeism
pænɛndiɪstɪk	panendeistic
gærɪk	garrick
pænendeɪists	panendeists
pænendeɪist	panendeist
lɔŋ aɪlənd	long island
lɔəŋg ɑɪlənd	long island
ɛərə	eire
bɛvəl	bevel
haɪpɜbətɒn	hyperbaton
pɒpaɪ	popeye
pʌpaɪ	popeye
sʌðərli	southerly
nɔrðərli	northerly
pɪnhɛd	pinhead
hɪstərəʊkɪnɛtɪk	hysterokinetic
kʊəgɑn	kurgan
tɔrpərɪfɪk	torporific
brætəl	brattle
gjugɔd	gewgawed
rɪdʒɪdɪti	rigidity
frədʒɪlɪti	fragility
ʌnʃeɪst	unchaste
praɪveɪʃn	privation
æntəni	antony
lɪŋ	ling
luθər	luther
keɪvz	caves
əkʌltʃəreɪt	acculturate
reɪnɪŋ	raining
hɛzɪteɪtɪŋ	hesitating
faɪts	fights
tʃuzɪz	chooses
ʃʌtɪŋ	shutting
preɪzɪŋ	praising
pupt	pooped
sæltaɪə	saltire
sɔl-	saltire
kætʃmənt	catchment
əʊgələr	ogler
ɒgələr	ogler
sɛst	cest
bɪhoʊldər	beholder
ɔtoʊgaɪnəfɪliə	autogynephilia
kænəbənɔɪd	cannabinoid
əkɒmədeɪtɪŋli	accommodatingly
spədʒɪrɪk	spagyric
rɛlɪvənsi	relevancy
aɪætroʊkɛmɪstri	iatrochemistry
aɪætroʊkɛmɪkəl	iatrochemical
dɪspɔɪl	despoil
stətɪstɪkli	statistically
noʊtɪfɪkeɪʃn	notification
vɜgə	virga
ənæpələ deɪ kips ðə dɑktər əweɪ	an apple a day keeps the doctor away
spɛnsər	spencer
bɪri	beery
æpəθiɪzəm	apatheism
wʊlfsbeɪn	wolfsbane
vælhælə	valhalla
vɑlhɑlə	valhalla
skɑtsmən	scotsman
wɒbɪgɒŋ	wobbegong
sæpi	sappy
nioʊneɪt	neonate
niəneɪt	neonate
fɔlbæk	fallback
bʊlzaɪ	bullseye
kærəvɛl	caravel
kɛ-	caravel
rup	roup
ɒlpi	olpe
kɑrθuʒən	carthusian
keɪst	cased
tɑrs	tarse
groʊt	groat
sɛmɛntɪʃəs	cementitious
sɛməntɪʃəs	cementitious
ʃæli	challis
ælɪbəl	alible
kɒmbi	combi
fɪltər	philter
mɪsəbl	missable
tʃikano	chicano
tʃɪkɑnəʊ	chicano
foʊbəs	phobos
daɪməs	deimos
mɪrændə	miranda
sɪprəflɑksəsɪn	ciprofloxacin
sɛrkəmnævɪgeɪt	circumnavigate
glɪbli	glibly
weɪsts	wastes
spɛndθrɪft	spendthrift
tʃɪpər	chipper
sərkəmvæleɪʃn	circumvallation
fɜrm	ferm
loʊkəmoʊtiv	locomotive
ləʊkəʊməʊtiv	locomotive
gʌnʃaɪ	gunshy
tɛflɒn	teflon
ləʊkəm	locum
əlæk	alack
miti	meaty
səsteɪnəbɪlɪti	sustainability
silɒmɪk	coelomic
trɪlbi	trilby
suɪsaɪdl	suicidal
rioʊ	rio
tɑrzæn	tarzan
prezbɪtɪriən	presbyterian
dʒɪəstrəʊfɪk	geostrophic
ʃʊtsʃtafəl	schutzstaffel
kəmændəri	commandery
kəmɑndəri	commandery
kɑməʃʊr	commissure
əkərsədnəs	accursedness
eɪvieɪtrɪsiz	aviatrices
ɔrəli	aurally
ɔdioʊvɪʒuəl	audiovisual
mɛtəkɒzəm	metacosm
ristɪnoʊsɪs	restenosis
stənoʊsɪs	stenosis
ədjuz	adieux
ədju	adieux
æbzəlut	absolute altimeter
æbzəljut	absolute altimeter
æltɪmɪtər	absolute altimeter
æltəmitər	absolute altimeter
ædʒəleɪt	adulate
riəksept	reaccept
ədɑptər	adopter
kaʊlɪk	cowlick
sɪriəs	sirius
klærəns	clarence
tæk	tac
pɛnɪŋ	penning
pɪnɪŋ	penning
drʌb	drub
kəmpætɪbɪlɪti	compatibility
kɑŋgrəgeɪʃnəlɪst	congregationalist
kʌnʒəreɪʃn	conjuration
kɒnʒəreɪʃn	conjuration
kɑnsənəntəl	consonantal
kjubɛb	cubeb
pænɛnθiɪstɪkl	panentheistical
hæzmæt	hazmat
mɛməri leɪn	memory lane
skeɪð	scathe
skɜr	scur
lɪŋkɪŋ	linking
ditʊər	detour
ditɔr	detour
ɑsjɛ reɪʒim	ancien régime
ɔrdɛrv	hors d'oeuvre
ɔrdʊv	hors d'oeuvre
seɪlɪnəti	salinity
mɑnoʊmeɪnɪæk	monomaniac
lɪgnɪfaɪ	lignify
kɑnvəlut	convolute
wɑspɪʃ	waspish
siks	sikhs
pɪloʊ faɪt	pillow fight
sprɪt	sprit
stædəl	staddle
drɛsi	dressy
kin	keane
məgaɪvər	macgyver
fɜriər	furrier
fɛriər	furrier
ædʒɛktaɪvəli	adjectivally
ədʒʌdʒ	adjudge
kæbɪdʒɪz	cabbages
wæg	wag
tʃeɪbʌl	chaebol
ɛndəmitriəm	endometrium
dɛrmætəplæstɪk	dermatoplastic
daɪəθətɪk	diathetic
daɪæθəsɪs	diathesis
fæŋgəʊ	fango
sɛmaɪt	semite
ruz	rues
daɪənɪziæk	dionysiac
daɪəniziæk	dionysiac
diə-	dionysiac
dɪsdʒɛnɪk	dysgenic
ɪnækʃn	inaction
ɪmprudns	imprudence
ɪgzækʃn	exaction
ɛnʒɔɪn	enjoin
ɪnʒɔɪn	enjoin
ənʒɔɪn	enjoin
ɪmpɑndərəbl	imponderable
ɪnsɪvɪlɪti	incivility
kɑndisɛnʃn	condescension
ɪmpɪnʒmənt	impingement
dɪstɪŋktɪvnɪs	distinctiveness
ɪmpɛrmɪsɪbl	impermissible
ɪmpɛrmiəbɪlɪti	impermeability
ɪmpɪriəlɪstɪk	imperialistic
ɪmpɛnɪtənt	impenitent
dʌbɪŋ	dubbing
pɪmpt	pimped
koʊmər	comber
kɑmbər	comber
kəmpɪər	compeer
kɒmpɪər	compeer
dɛstrɪə	destrier
dɛstrieɪ	destrier
streɪtəs	stratus
strætəs	stratus
fɛrn	foehn
feɪn	foehn
mægneɪlɪəm	magnalium
maɪældʒɪk	myalgic
klədɪstɪkəli	cladistically
nɪfɒlədʒi	nephology
pʊlæski	pulaski
blɛfərəʊspæzəm	blepharospasm
wəz	wuz
brɒtʃu	brocciu
tubz	tubes
nɪmaɪ ɪ ti	nimiety
rɛvənənt	revenant
plinɪlun	plenilune
lwɪs	luis
pʌgl	puggle
hɛrmənjutikəl	hermeneutical
waɪs	wis
dɑksɪsaɪklin	doxycycline
ræŋ	wrang
junɪfaɪd	unified
prɪl	prill
rɪvɪəd	revered
ɪrɪtəbɪlɪti	irritability
ɛld	eld
kɑlɪnz	collins
ful əbaʊt	fool about
bɛlədɑnə	belladonna
ɪrɪspɑnsəbli	irresponsibly
fɑrmlænd	farmland
gɪltləs	guiltless
ɪnəsəntli	innocently
sɛnsɔriəs	censorious
ɪrədiməbəl	irredeemable
ɪnkəmpætɪbɪlɪti	incompatibility
fətuɪti	fatuity
fətuiti	fatuity
kɒfəd	coffered
ɪreɪdieɪt	irradiate
ɪreɪdiət	irradiate
njuzrum	newsroom
ɛdɪfɪkeɪtəri	edificatory
ɪpswɪtʃ	ipswich
kæməlɒt	camelot
kæntəbəri	canterbury
dʒoʊvɑni	giovanni
dʒiəvɑni	giovanni
gænʒiz	ganges
bɛki	becky
reɪsər	racer
heɪli	hayley
præktɪkəm	practicum
swɪðə	swither
dʌvteɪl	dovetail
poʊɪzi	poesy
ʃɪmər	shimmer
prɪzmætɪk	prismatic
ɪərwərm	earworm
kræmpɑn	crampon
kræmpən	crampon
ɪnwərdz	inwards
skʌlk	skulk
ɪnt	in't
ɛmfætɪkli	emphatically
ɪnz	inns
bjud	bude
ɛdwɪn	edwin
kuz	coups
əbɑzə	abaza
pɑrməʒɑnə	parmigiana
dʌdli	dudley
əraɪvz	arrives
plɪməθ	plymouth
boʊdʒpʊəri	bhojpuri
ʃæmpɪnjən	champignon
kɔŋkəni	konkani
koŋkəni	konkani
kɒŋkəni	konkani
deɪmhʊd	damehood
fʌst	fust
fɜjmɔt	feuillemorte
bɪdiz	biddies
breɪsɪŋ	bracing
bʌtrɪs	buttress
fɔrpɔ	forepaw
fɔrpɑ	forepaw
dɪsidənt	decedent
mɪnəstroʊni	minestrone
strɑtʃiətɛlə	stracciatella
sɛməlinə	semolina
ɛtɑtɪzəm	etatisme
ɔlbəni	albany
ɒlbəni	albany
ɒbnjubɪleɪʃn	obnubilation
klaʊdɪŋ	clouding
klaʊdɪd	clouded
kɑksən	coxswain
dilɪdʒɪtɪmeɪʃn	delegitimation
ɛtɑtɪzəm	etatism
ɛtɑtɪzəm	étatisme
ɑrənʃinoʊ	arancino
wɛrʌntu	whereunto
lɔɪər	loir
hin	hean
tibəʊn	t-bone
jeɪgər	jäger
dʒærəd	jared
sɪŋsɒŋ	sing-song
kənɛlə	canella
frɛtfəl	fretful
ɪnvɛstɪgətɪv	investigative
ɪnvɛstɪgeɪtɪv	investigative
sisɪz	ceases
dʒaɪlz	giles
vərsaɪ	versailles
vərzaɪ	versailles
hɛərbəʊ	hairbow
hætləs	hatless
hɛdbænd	headband
hoʊm oʊk	holm oak
səsutu	sesotho
səsoʊtoʊ	sesotho
sɛ̀sútù	sesotho
sɪgnəlmən	signalman
mɑrseɪ	marseille
mɑrseɪl	marseille
krɪstəlz	crystals
əvɔɪdz	avoids
spɪk	spick
ɛgzɑstɪv	exhaustive
frʌntɪŋ	fronting
tʃɪŋ	ching
dɪsteɪst	distaste
kɒntʊər	contour
-tɔr	contour
kutiz	cooties
hɔθɔn	hawthorne
dɑnteɪ	dante
pɑr fər ðə kɔrs	par for the course
-kɔərs	par for the course
brifs	briefs
ɑsɑtru	ásatrú
mɪsəleɪnɪə	miscellanea
eɪsɪr	æsir
eɪsiər	æsir
eɪzɪr	æsir
eɪziər	æsir
hɒtki	hotkey
ʌnstrɛst	unstressed
seɪʃɪeɪʃn	satiation
pɔɪzd	poised
stəʊkər	stoker
spɛkəld	speckled
hɛdsɛt	headset
ʃəlæk	shellac
pɪnʌmbrəs	penumbrous
kənstɪtjuənsiz	constituencies
kənstɪtʃʊənsiz	constituencies
kaʊntəd	countered
kaʊntərd	countered
kɔrɔɪd	choroid
peɪɒf	pay-off
peɪɔf	pay-off
bukl	boucle
kredɪt	credited
dɪskloʊʒər	disclosure
sʌlkəs	sulcus
samplər	sampler
sampələr	sampler
kɑpri	capri
kəpri	capri
pitseɪ	pizze
junəfɔrmli	uniformly
ɛmjəleɪtər	emulator
fɔrθɔt	forethought
rɪmoʊtli	remotely
ænjəlɑti	agnolotti
ɑnjəlɑti	agnolotti
tʃitɪŋ	cheating
sætɪsfaɪs	satisfice
ɪrɪdiz	irides
aɪrɪdiz	irides
hʌʊsmʌðər	housemother
kælst	calced
oʊvərimoʊʃnəl	overemotional
hʌrɪən	hurrian
kəpɛli dænʒələʊ	capelli d'angelo
kəpɛli dɑnʒələʊ	capelli d'angelo
fɑrfɑleɪ	farfalle
rændoʊ	rando
mænɪkɑti	manicotti
mænəkɑti	manicotti
səbɔrtneɪʃn	subordination
geɪmpæd	gamepad
ɑskən	oscan
sɑdən	sodden
kɪldɪr	killdeer
fɒldərɒl	fol-de-rol
koʊnətɪv	conative
kɛrətoʊsɪs	keratosis
rɛprəbeɪʃn	reprobation
hʌsks	husks
rizlɪŋ	riesling
rislɪŋ	riesling
æŋgləʊfɪliə	anglophilia
æŋgləfɪlɪk	anglophilic
strudəl	strudel
pæpɑrdɛleɪ	pappardelle
rəʊtɛleɪ	rotelle
rɪgətoʊni	rigatoni
dʒæp	jap
supli	suppli
rɛgjuleɪtə	regulator
ærəgɑn	aragon
skæntɪli	scantily
θɪnli	thinly
ægrɪbɪznəs	agribusiness
-nɪs	agribusiness
frugæləti	frugality
eɪd dɪ kæmp	aide-de-camp
ɪdiəmɔrfɪk	idiomorphic
maɪtərd	mitred
maɪtər	miter
mitər	miter
sətaɪəti	satiety
θɔrp	thorp
fʌks	fucks
stili	steely
ɪntrɔɪt	introit
ən-	introit
tɔrtəlini	tortellini
mænədʒəbəl	manageable
ɪnleɪ	inlay
kipæd	keypad
tʃeɪmbərmeɪd	chambermaid
sɪmbɑlɪkli	symbolically
mætʃɪŋ	matching
nʌpʃəl	nuptial
slækən	slacken
greɪʃəsli	graciously
frʌstreɪtɪŋ	frustrating
frʌʃtʃreɪtɪŋ	frustrating
krimd	creamed
ɪntərvjuər	interviewer
pɪtmeɪfrəʊ	piet-my-vrou
wɜrl	whorl
mɜdɪvərəs	merdivorous
əlusɪv	allusive
sɪnθ	synth
wɑləru	wallaroo
ʃɪtən	shitten
ʒit	gîte
wɛnɛər	whene'er
kɑlɪt	collet
wil	weel
breɪ	braies
bətɑtə	batata
səlɑd	salade
fɪnɒkɪəʊ	finocchio
fɪnəʊkɪəʊ	finocchio
seɪləm	salem
kwɪntɛsɛnʃəli	quintessentially
aɪsɪli	icily
riəlaɪzəbl	realizable
ɛkstrədaɪt	extradite
brækɪts	brackets
naɪthɑk	nighthawk
ɪmpɪtreɪt	impetrate
ɪŋkəmbʌstɪbəl	incombustible
feɪsplænt	faceplant
pleɪsneɪm	placename
kəpreɪzi	caprese
hɛmənt	hemant
dʒunoʊ	juno
prɑspɛkt	prospect
waɪtɪʃ	whitish
rɛntəl	rental
rɪplɛnɪʃ	replenish
θætʃər	thatcher
aɪgəngraʊ	eigengrau
ætə	atter
stændərdaɪz	standardize
bridz	breeds
blaʊzi	blowsy
pɪdək	piddock
raɪnɑsəroʊts	rhinocerotes
mɛntə	menta
pəlɛntə	polenta
rədikjoʊ	radicchio
fɛtɪd	fœtid
pɛrslən	purslane
hɪkəmə	jicama
hikəmə	jicama
bætəlɜ	bateleur
aʊwi	owie
dʒæksoʊniən	jacksonian
daʊtɪŋ	doubting
kəmpraɪzɪŋ	comprising
mɛndeɪʃəsli	mendaciously
dɪkʌseɪt	decussate
dəgɛroʊtaɪp	daguerreotype
dəgɛrətaɪp	daguerreotype
ɒrəmoʊ	oromo
ɔroʊmoʊ	oromo
səlɛəriæk	celeriac
səlɪəriæk	celeriac
baɪbaɪ	bye-bye
bəbaɪ	bye-bye
faʊlər	fouler
hɛvɪnəs	heaviness
ða	tha
ʃutaʊt	shootout
bærəks	barracks
bɛ-	barracks
hɑrvərd	harvard
pændɛkt	pandect
pʌgri	puggree
nɛktərin	nectarine
naɪtgaʊn	nightgown
naɪtʃeɪd	nightshade
nʌnʃioʊ	nuncio
əʊlɪændə	oleander
ɛər mæs	air mass
ɛr mæs	air mass
uzi	oozy
ɔrətʌndɪti	orotundity
pəpaɪraɪ	papyri
pəpaɪri	papyri
pæpəraɪ	papyri
pæpəri	papyri
æbzkoʊpl	abscopal
pɛrɪwɪg	periwig
færɪnʒiz	pharynges
doʊtərd	dotard
draʊzɪŋ	drowsing
tɒmbəʊləʊ	tombolo
faɪkəʊ	fico
diz	dese
bædlændz	badlands
rɛdkɜrənt	red currant
rɛdkʌrənt	red currant
kənoʊli	cannoli
hʌkəl	huckle
kəsɑtə	cassata
bɒnzə	bonza
rɪteɪnɪŋ	retaining
kəsɑtə sɪtʃɪliɑnə	cassata siciliana
grənitə	granita
ɪntəsəsɛpʃn	intussusception
bɑtələr	bottler
bɑtlər	bottler
dɛŋgi fivər	dengue fever
dɛŋgeɪ fivər	dengue fever
ɑrθrældʒiə	arthralgia
slæpɪŋ	slapping
ədvaɪzəri	advisory
fuld	fooled
blæktɒp	blacktop
poʊltɪs	poultice
ɛkstʃɛkər	exchequer
ɪkstʃɛkər	exchequer
kənsidɪŋ	conceding
kwɪs	cuisse
trɪpi	trippy
ɔrlændoʊ	orlando
sæflaʊər	safflower
soʊtərn	sauternes
dʒɪŋkiz	jinkies
kɔrənɪt	coronet
kɔrənɛt	coronet
tʃeɪmbərlɪn	chamberlain
bɛl pɑeɪzi	bel paese
ɔtətroʊf	autotroph
