appear	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)															
displease	3rd plur.	3rd plur.	suututtaisivat	eivät suututtaisi	3rd plur.	olisivat suututtaneet	eivät olisi suututtaneet															
displease	passive	passive	suututettaisiin	ei suututettaisi	passive	olisi suututettu	ei olisi suututettu															
displease	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood															
displease	present	present	present	present	perfect	perfect	perfect															
displease	person	person	positive	negative	person	positive	negative															
displease	1st sing.	1st sing.	—	—	1st sing.	—	—															
displease	2nd sing.	2nd sing.	suututa	älä suututa	2nd sing.	ole suututtanut	älä ole suututtanut															
displease	3rd sing.	3rd sing.	suututtakoon	älköön suututtako	3rd sing.	olkoon suututtanut	älköön olko suututtanut															
displease	1st plur.	1st plur.	suututtakaamme	älkäämme suututtako	1st plur.	olkaamme suututtaneet	älkäämme olko suututtaneet															
displease	2nd plur.	2nd plur.	suututtakaa	älkää suututtako	2nd plur.	olkaa suututtaneet	älkää olko suututtaneet															
displease	3rd plur.	3rd plur.	suututtakoot	älkööt suututtako	3rd plur.	olkoot suututtaneet	älkööt olko suututtaneet															
displease	passive	passive	suututettakoon	älköön suututettako	passive	olkoon suututettu	älköön olko suututettu															
displease	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood															
displease	present	present	present	present	perfect	perfect	perfect															
displease	person	person	positive	negative	person	positive	negative															
displease	1st sing.	1st sing.	suututtanen	en suututtane	1st sing.	lienen suututtanut	en liene suututtanut															
displease	2nd sing.	2nd sing.	suututtanet	et suututtane	2nd sing.	lienet suututtanut	et liene suututtanut															
displease	3rd sing.	3rd sing.	suututtanee	ei suututtane	3rd sing.	lienee suututtanut	ei liene suututtanut															
displease	1st plur.	1st plur.	suututtanemme	emme suututtane	1st plur.	lienemme suututtaneet	emme liene suututtaneet															
displease	2nd plur.	2nd plur.	suututtanette	ette suututtane	2nd plur.	lienette suututtaneet	ette liene suututtaneet															
displease	3rd plur.	3rd plur.	suututtanevat	eivät suututtane	3rd plur.	lienevät suututtaneet	eivät liene suututtaneet															
displease	passive	passive	suututettaneen	ei suututettane	passive	lienee suututettu	ei liene suututettu															
displease	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms															
displease	infinitives	infinitives	infinitives	infinitives	participles	participles	participles															
displease			active	passive		active	passive															
displease	1st	1st	suututtaa	suututtaa	present	suututtava	suututettava															
displease	long 1st1	long 1st1	Possessive formsPersonsing.plur.1stsuututtaaksenisuututtaaksemme2ndsuututtaaksesisuututtaaksenne3rdsuututtaakseensuututtaaksensa	Possessive formsPersonsing.plur.1stsuututtaaksenisuututtaaksemme2ndsuututtaaksesisuututtaaksenne3rdsuututtaakseensuututtaaksensa	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	suututtaakseni	suututtaaksemme	2nd	suututtaaksesi	suututtaaksenne	3rd	suututtaakseensuututtaaksensa	suututtaakseensuututtaaksensa	past	suututtanut	suututettu
displease	possessive forms	possessive forms	possessive forms																			
displease	person	sing.	plur.																			
displease	1st	suututtaakseni	suututtaaksemme																			
displease	2nd	suututtaaksesi	suututtaaksenne																			
displease	3rd	suututtaakseensuututtaaksensa	suututtaakseensuututtaaksensa																			
displease	2nd	inessive2	suututtaessa	suututettaessa	agent3	suututtama	suututtama															
displease	2nd	inessive2	Possessive formsPersonsing.plur.1stsuututtaessanisuututtaessamme2ndsuututtaessasisuututtaessanne3rdsuututtaessaansuututtaessansa	Possessive formsPersonsing.plur.1stsuututtaessanisuututtaessamme2ndsuututtaessasisuututtaessanne3rdsuututtaessaansuututtaessansa	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	suututtaessani	suututtaessamme	2nd	suututtaessasi	suututtaessanne	3rd	suututtaessaansuututtaessansa	suututtaessaansuututtaessansa	negative	suututtamaton	suututtamaton
displease	2nd	possessive forms	possessive forms	possessive forms																		
displease	person	sing.	plur.																			
displease	1st	suututtaessani	suututtaessamme																			
displease	2nd	suututtaessasi	suututtaessanne																			
displease	3rd	suututtaessaansuututtaessansa	suututtaessaansuututtaessansa																			
displease	instructive	suututtaen	—	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.																
displease	3rd	inessive	suututtamassa	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	—															
displease	3rd	elative	suututtamasta	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	—															
displease	3rd	illative	suututtamaan	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	—															
displease	3rd	adessive	suututtamalla	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	—															
displease	3rd	abessive	suututtamatta	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	—															
displease	3rd	instructive	suututtaman	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	suututettaman															
displease	4th4	verbal noun	suututtaminen	suututtaminen	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.																
displease	5th1	5th1	Possessive formsPersonsing.plur.1stsuututtamaisillanisuututtamaisillamme2ndsuututtamaisillasisuututtamaisillanne3rdsuututtamaisillaansuututtamaisillansa	Possessive formsPersonsing.plur.1stsuututtamaisillanisuututtamaisillamme2ndsuututtamaisillasisuututtamaisillanne3rdsuututtamaisillaansuututtamaisillansa	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	suututtamaisillani	suututtamaisillamme	2nd	suututtamaisillasi	suututtamaisillanne	3rd	suututtamaisillaansuututtamaisillansa	suututtamaisillaansuututtamaisillansa	
displease	possessive forms	possessive forms	possessive forms	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form suututtaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.																
displease	person	sing.	plur.																			
displease	1st	suututtamaisillani	suututtamaisillamme																			
displease	2nd	suututtamaisillasi	suututtamaisillanne																			
displease	3rd	suututtamaisillaansuututtamaisillansa	suututtamaisillaansuututtamaisillansa																			
eat	inflection of syödä (kotus type 64/juoda, no gradation)	inflection of syödä (kotus type 64/juoda, no gradation)	inflection of syödä (kotus type 64/juoda, no gradation)	inflection of syödä (kotus type 64/juoda, no gradation)	inflection of syödä (kotus type 64/juoda, no gradation)	inflection of syödä (kotus type 64/juoda, no gradation)	inflection of syödä (kotus type 64/juoda, no gradation)															
eat	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood															
eat	present tense	present tense	present tense	present tense	perfect	perfect	perfect															
eat	person	person	positive	negative	person	positive	negative															
eat	1st sing.	1st sing.	syön	en syö	1st sing.	olen syönyt	en ole syönyt															
eat	2nd sing.	2nd sing.	syöt	et syö	2nd sing.	olet syönyt	et ole syönyt															
eat	3rd sing.	3rd sing.	syö	ei syö	3rd sing.	on syönyt	ei ole syönyt															
eat	1st plur.	1st plur.	syömme	emme syö	1st plur.	olemme syöneet	emme ole syöneet															
eat	2nd plur.	2nd plur.	syötte	ette syö	2nd plur.	olette syöneet	ette ole syöneet															
eat	3rd plur.	3rd plur.	syövät	eivät syö	3rd plur.	ovat syöneet	eivät ole syöneet															
eat	passive	passive	syödään	ei syödä	passive	on syöty	ei ole syöty															
eat	past tense	past tense	past tense	past tense	pluperfect	pluperfect	pluperfect															
eat	person	person	positive	negative	person	positive	negative															
eat	1st sing.	1st sing.	söin	en syönyt	1st sing.	olin syönyt	en ollut syönyt															
eat	2nd sing.	2nd sing.	söit	et syönyt	2nd sing.	olit syönyt	et ollut syönyt															
eat	3rd sing.	3rd sing.	söi	ei syönyt	3rd sing.	oli syönyt	ei ollut syönyt															
eat	1st plur.	1st plur.	söimme	emme syöneet	1st plur.	olimme syöneet	emme olleet syöneet															
eat	2nd plur.	2nd plur.	söitte	ette syöneet	2nd plur.	olitte syöneet	ette olleet syöneet															
eat	3rd plur.	3rd plur.	söivät	eivät syöneet	3rd plur.	olivat syöneet	eivät olleet syöneet															
eat	passive	passive	syötiin	ei syöty	passive	oli syöty	ei ollut syöty															
eat	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood															
eat	present	present	present	present	perfect	perfect	perfect															
eat	person	person	positive	negative	person	positive	negative															
eat	1st sing.	1st sing.	söisin	en söisi	1st sing.	olisin syönyt	en olisi syönyt															
eat	2nd sing.	2nd sing.	söisit	et söisi	2nd sing.	olisit syönyt	et olisi syönyt															
eat	3rd sing.	3rd sing.	söisi	ei söisi	3rd sing.	olisi syönyt	ei olisi syönyt															
eat	1st plur.	1st plur.	söisimme	emme söisi	1st plur.	olisimme syöneet	emme olisi syöneet															
eat	2nd plur.	2nd plur.	söisitte	ette söisi	2nd plur.	olisitte syöneet	ette olisi syöneet															
eat	3rd plur.	3rd plur.	söisivät	eivät söisi	3rd plur.	olisivat syöneet	eivät olisi syöneet															
eat	passive	passive	syötäisiin	ei syötäisi	passive	olisi syöty	ei olisi syöty															
eat	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood															
eat	present	present	present	present	perfect	perfect	perfect															
eat	person	person	positive	negative	person	positive	negative															
eat	1st sing.	1st sing.	—	—	1st sing.	—	—															
eat	2nd sing.	2nd sing.	syö	älä syö	2nd sing.	ole syönyt	älä ole syönyt															
eat	3rd sing.	3rd sing.	syököön	älköön syökö	3rd sing.	olkoon syönyt	älköön olko syönyt															
eat	1st plur.	1st plur.	syökäämme	älkäämme syökö	1st plur.	olkaamme syöneet	älkäämme olko syöneet															
eat	2nd plur.	2nd plur.	syökää	älkää syökö	2nd plur.	olkaa syöneet	älkää olko syöneet															
eat	3rd plur.	3rd plur.	syökööt	älkööt syökö	3rd plur.	olkoot syöneet	älkööt olko syöneet															
eat	passive	passive	syötäköön	älköön syötäkö	passive	olkoon syöty	älköön olko syöty															
eat	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood															
eat	present	present	present	present	perfect	perfect	perfect															
eat	person	person	positive	negative	person	positive	negative															
eat	1st sing.	1st sing.	syönen	en syöne	1st sing.	lienen syönyt	en liene syönyt															
eat	2nd sing.	2nd sing.	syönet	et syöne	2nd sing.	lienet syönyt	et liene syönyt															
eat	3rd sing.	3rd sing.	syönee	ei syöne	3rd sing.	lienee syönyt	ei liene syönyt															
eat	1st plur.	1st plur.	syönemme	emme syöne	1st plur.	lienemme syöneet	emme liene syöneet															
eat	2nd plur.	2nd plur.	syönette	ette syöne	2nd plur.	lienette syöneet	ette liene syöneet															
eat	3rd plur.	3rd plur.	syönevät	eivät syöne	3rd plur.	lienevät syöneet	eivät liene syöneet															
eat	passive	passive	syötäneen	ei syötäne	passive	lienee syöty	ei liene syöty															
eat	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms															
eat	infinitives	infinitives	infinitives	infinitives	participles	participles	participles															
eat			active	passive		active	passive															
eat	1st	1st	syödä	syödä	present	syövä	syötävä															
eat	long 1st1	long 1st1	Possessive formsPersonsing.plur.1stsyödäksenisyödäksemme2ndsyödäksesisyödäksenne3rdsyödäkseensyödäksensä	Possessive formsPersonsing.plur.1stsyödäksenisyödäksemme2ndsyödäksesisyödäksenne3rdsyödäkseensyödäksensä	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	syödäkseni	syödäksemme	2nd	syödäksesi	syödäksenne	3rd	syödäkseensyödäksensä	syödäkseensyödäksensä	past	syönyt	syöty
eat	possessive forms	possessive forms	possessive forms																			
eat	person	sing.	plur.																			
eat	1st	syödäkseni	syödäksemme																			
eat	2nd	syödäksesi	syödäksenne																			
eat	3rd	syödäkseensyödäksensä	syödäkseensyödäksensä																			
eat	2nd	inessive2	syödessä	syötäessä	agent3	syömä	syömä															
eat	2nd	inessive2	Possessive formsPersonsing.plur.1stsyödessänisyödessämme2ndsyödessäsisyödessänne3rdsyödessäänsyödessänsä	Possessive formsPersonsing.plur.1stsyödessänisyödessämme2ndsyödessäsisyödessänne3rdsyödessäänsyödessänsä	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	syödessäni	syödessämme	2nd	syödessäsi	syödessänne	3rd	syödessäänsyödessänsä	syödessäänsyödessänsä	negative	syömätön	syömätön
eat	2nd	possessive forms	possessive forms	possessive forms																		
eat	person	sing.	plur.																			
eat	1st	syödessäni	syödessämme																			
eat	2nd	syödessäsi	syödessänne																			
eat	3rd	syödessäänsyödessänsä	syödessäänsyödessänsä																			
eat	instructive	syöden	—	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
eat	3rd	inessive	syömässä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
eat	3rd	elative	syömästä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
eat	3rd	illative	syömään	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
eat	3rd	adessive	syömällä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
eat	3rd	abessive	syömättä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
eat	3rd	instructive	syömän	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	syötämän															
eat	4th4	verbal noun	syöminen	syöminen	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
