*	*	*	*	nominative	genitive	dative	accusative	vocative	#	epic												
arrow	dual 	neuter	latin	bélei/bélee 	beléoin 	beléoin 	bélei/bélee 	bélei/bélee 	#													
arrow	plural	neuter	greek	βέλεᾰ	βελέων	βέλεσῐ/βέλεσῐν/βελέεσσῐ/βελέεσσῐν	βέλεᾰ	βέλεᾰ	#													
arrow	plural	neuter	latin	bélea	beléōn	bélesi(n)/beléessi(n)	bélea	bélea 	#													
									#													
Ares	singular	masculine	greek	Ἄρης	Ἄρεος / Ἄρευς	Ἄρει / Ἄρεῐ̈	Ἄρεᾰ	Ἄρες	#													
Ares	singular	masculine	latin	Árēs	Áreos / Áreus	Árei / Áreï	Área	Áres 	#													
									#													
fire	singular	neuter	greek	πῦρ	πῠρός	πῠρῐ́	πῦρ	πῦρ	#													
fire	singular	neuter	latin	pûr	purós	purí	pûr	pûr 	#													
									#													
wood	singular 	neuter	greek	δόρῠ	δουρός/δούρᾰτος	δουρῐ́/δούρᾰτῐ	δόρῠ	δόρῠ	#													
wood	singular 	neuter	latin	dóru 	dourós/doúratos 	dourí/doúrati 	dóru 	dóru 	#													
wood	dual 	neuter	greek	δοῦρε	δούροιῐν	δούροιῐν	δοῦρε	δοῦρε	#													
wood	dual 	neuter	latin	doûre 	doúroiin 	doúroiin 	doûre 	doûre 	#													
wood	plural	neuter	greek	δοῦρᾰ/δούρᾰτᾰ	δούρων	δούρεσσῐ/δούροις	δοῦρᾰ/δούρᾰτᾰ	δοῦρᾰ/δούρᾰτᾰ	#													
wood	plural	neuter	latin	doûra/doúrata	doúrōn	doúressi/doúrois	doûra/doúrata	doûra/doúrata 	#													
									#													
liver	singular 	neuter	greek	ἧπᾰρ	ἥπᾰτος	ἥπᾰτῐ	ἧπᾰρ	ἧπᾰρ	#													
liver	singular 	neuter	latin	hêpar 	hḗpatos 	hḗpati 	hêpar 	hêpar 	#													
liver	dual 	neuter	greek	ἥπᾰτε	ἡπᾰ́τοιῐν	ἡπᾰ́τοιῐν	ἥπᾰτε	ἥπᾰτε	#													
liver	dual 	neuter	latin	hḗpate 	hēpátoiin 	hēpátoiin 	hḗpate 	hḗpate 	#													
liver	plural	neuter	greek	ἥπᾰτᾰ	ἡπᾰ́των	ἥπᾰσῐ/ἥπᾰσῐν/ἡπᾰ́τεσσῐ/ἡπᾰ́τεσσῐν/ἡπᾰ́τεσῐ/ἡπᾰ́τεσῐν	ἥπᾰτᾰ	ἥπᾰτᾰ	#													
liver	plural	neuter	latin	hḗpata	hēpátōn	hḗpasi(n)/hēpátessi(n)/hēpátesi(n)	hḗpata	hḗpata 	#													
									#													
ear	singular 	neuter	greek	οὖς	οὔᾰτος	οὔᾰτῐ	οὖς	οὖς	#													
ear	singular 	neuter	latin	oûs 	oúatos 	oúati 	oûs 	oûs 	#													
ear	plural	neuter	greek	οὔᾰτᾰ	οὐάτων	οὔᾰσῐ/οὔᾰσῐν/ὠσί/ὠσίν	οὔᾰτᾰ	οὔᾰτᾰ	#													
ear	plural	neuter	latin	oúata	ouátōn	oúasi(n)/ōsí(n)	oúata	oúata 	#													
									#													
water	singular 	neuter	greek	ῠ̔́δωρ	ῠ̔́δᾰτος	ῠ̔́δᾰτῐ	ῠ̔́δωρ	ῠ̔́δωρ	#													
water	singular 	neuter	latin	húdōr 	húdatos 	húdati 	húdōr 	húdōr 	#													
water	dual 	neuter	greek	ῠ̔́δᾰτε	ῠ̔δᾰ́τοιῐν	ῠ̔δᾰ́τοιῐν	ῠ̔́δᾰτε	ῠ̔́δᾰτε	#													
water	dual 	neuter	latin	húdate 	hudátoiin 	hudátoiin 	húdate 	húdate 	#													
water	plural	neuter	greek	ῠ̔́δᾰτᾰ	ῠ̔δᾰ́των	ῠ̔́δᾰσῐ/ῠ̔́δᾰσῐν/ῠ̔δᾰ́τεσσῐ/ῠ̔δᾰ́τεσσῐν/ῠ̔δᾰ́τεσῐ/ῠ̔δᾰ́τεσῐν	ῠ̔́δᾰτᾰ	ῠ̔́δᾰτᾰ	#													
water	plural	neuter	latin	húdata	hudátōn	húdasi(n)/hudátessi(n)/hudátesi(n)	húdata	húdata 	#													
